DATE,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY,COMPLIED/NOT COMPLIED,PENALTY ,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY
01/02/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/03/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/04/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/06/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/08/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/09/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/10/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/10/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/13/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/16/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/17/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,YES,10000
01/19/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/20/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/22/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,YES,10000
01/23/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/24/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/25/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/29/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,

Overall Summary

,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED,NOT COMPLIED,YES,NO,COMPLIED,NOT COMPLIED,COMPLIED,NOT COMPLIED,YES,NO
NO OF DAYS,18,0,18,0,18,0,18,0,16,2
SUB TOTAL PENALTY,0,,0,,0,,0,,20000,
TOTAL PENALTY,20000,,,,,,,,,
