DATE,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY,COMPLIED/NOT COMPLIED,PENALTY ,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY
11/01/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/01/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/02/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/02/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/05/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/05/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/05/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/06/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/06/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/07/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/07/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/08/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/08/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/08/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/09/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/09/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/10/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/10/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/11/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/11/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/11/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/11/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/11/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/12/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/12/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/14/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/14/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/15/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/15/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/16/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/16/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/18/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/18/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/19/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/19/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/20/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/20/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/21/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/21/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/23/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/23/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/25/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/25/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,

Overall Summary

,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED,NOT COMPLIED,YES,NO,COMPLIED,NOT COMPLIED,COMPLIED,NOT COMPLIED,YES,NO
NO OF DAYS,43,0,43,0,43,0,43,0,43,0
SUB TOTAL PENALTY,0,,0,,0,,0,,0,
TOTAL PENALTY,0,,,,,,,,,
