DATE,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY,COMPLIED/NOT COMPLIED,PENALTY ,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY
02/01/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
02/02/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
02/03/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
02/05/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
02/06/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,

Overall Summary

,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED,NOT COMPLIED,YES,NO,COMPLIED,NOT COMPLIED,COMPLIED,NOT COMPLIED,YES,NO
NO OF DAYS,5,0,5,0,5,0,5,0,5,0
SUB TOTAL PENALTY,0,,0,,0,,0,,0,
TOTAL PENALTY,0,,,,,,,,,
