DATE,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY,COMPLIED/NOT COMPLIED,PENALTY ,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY

Overall Summary

,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED,NOT COMPLIED,YES,NO,COMPLIED,NOT COMPLIED,COMPLIED,NOT COMPLIED,YES,NO
NO OF DAYS,0,0,0,0,0,0,0,0,0,0
SUB TOTAL PENALTY,0,,0,,0,,0,,0,
TOTAL PENALTY,0,,,,,,,,,
