DATE,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY,COMPLIED/NOT COMPLIED,PENALTY ,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY
01/07/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/08/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/09/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/10/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/11/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/12/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/13/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/14/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/15/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/16/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/17/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/18/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/19/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/20/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/21/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/22/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/23/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/24/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/25/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/26/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/27/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/28/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/29/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/30/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/31/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,

Overall Summary

,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED,NOT COMPLIED,YES,NO,COMPLIED,NOT COMPLIED,COMPLIED,NOT COMPLIED,YES,NO
NO OF DAYS,25,0,25,0,25,0,25,0,25,0
SUB TOTAL PENALTY,0,,0,,0,,0,,0,
TOTAL PENALTY,0,,,,,,,,,
