DATE,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY,COMPLIED/NOT COMPLIED,PENALTY ,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY
10/03/2017,COMPLIED,,YES,,COMPLIED,,NOT COMPLIED,10000,NO,
10/04/2017,COMPLIED,,YES,,COMPLIED,,NOT COMPLIED,10000,NO,
10/06/2017,COMPLIED,,YES,,COMPLIED,,NOT COMPLIED,10000,NO,
10/07/2017,COMPLIED,,YES,,COMPLIED,,NOT COMPLIED,10000,NO,
10/09/2017,COMPLIED,,YES,,COMPLIED,,NOT COMPLIED,10000,NO,

Overall Summary

,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED,NOT COMPLIED,YES,NO,COMPLIED,NOT COMPLIED,COMPLIED,NOT COMPLIED,YES,NO
NO OF DAYS,5,0,5,0,5,0,0,5,5,0
SUB TOTAL PENALTY,0,,0,,0,,50000,,0,
TOTAL PENALTY,50000,,,,,,,,,
