DATE,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY,COMPLIED/NOT COMPLIED,PENALTY ,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY
01/01/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/05/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/09/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/11/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/12/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/15/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/16/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/17/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/18/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,undefined,
01/22/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
01/25/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
02/01/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
02/01/2018,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,

Overall Summary

,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED,NOT COMPLIED,YES,NO,COMPLIED,NOT COMPLIED,COMPLIED,NOT COMPLIED,YES,NO
NO OF DAYS,13,0,13,0,13,0,13,0,12,0
SUB TOTAL PENALTY,0,,0,,0,,0,,0,
TOTAL PENALTY,0,,,,,,,,,
