DATE,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY,COMPLIED/NOT COMPLIED,PENALTY ,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY
11/01/2017,COMPLIED,,YES,,COMPLIED,,NOT COMPLIED,10000,NO,
11/06/2017,COMPLIED,,YES,,NOT COMPLIED,50000,NOT COMPLIED,10000,NO,
11/08/2017,COMPLIED,,YES,,COMPLIED,,NOT COMPLIED,10000,NO,
11/09/2017,COMPLIED,,YES,,COMPLIED,,NOT COMPLIED,10000,NO,
11/10/2017,COMPLIED,,YES,,COMPLIED,,NOT COMPLIED,10000,NO,
11/14/2017,COMPLIED,,YES,,COMPLIED,,NOT COMPLIED,10000,NO,
11/17/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/20/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/21/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
11/28/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,

Overall Summary

,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED,NOT COMPLIED,YES,NO,COMPLIED,NOT COMPLIED,COMPLIED,NOT COMPLIED,YES,NO
NO OF DAYS,10,0,10,0,9,1,4,6,10,0
SUB TOTAL PENALTY,0,,0,,50000,,60000,,0,
TOTAL PENALTY,110000,,,,,,,,,
