DATE,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY,COMPLIED/NOT COMPLIED,PENALTY ,COMPLIED/NOT COMPLIED,PENALTY,YES/NO,PENALTY
10/01/2017,COMPLIED,,NO,10000,COMPLIED,,COMPLIED,,NO,
10/01/2017,COMPLIED,,NO,10000,COMPLIED,,COMPLIED,,NO,
10/02/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/02/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/03/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/03/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/04/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/04/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/05/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/06/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/06/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/07/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/07/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/07/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/09/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/09/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/10/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/10/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/11/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/11/2017,undefined,,undefined,,undefined,,undefined,,undefined,
10/11/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/13/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/13/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/14/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/14/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/15/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/16/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/17/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/17/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/18/2017,undefined,,undefined,,undefined,,undefined,,undefined,
10/18/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/19/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/21/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/22/2017,COMPLIED,,NO,10000,COMPLIED,,COMPLIED,,YES,10000
10/23/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,YES,10000
10/24/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/25/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/26/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,YES,10000
10/27/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/30/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,
10/31/2017,COMPLIED,,YES,,COMPLIED,,COMPLIED,,NO,

Overall Summary

,DRESS CODE,,COMPANY ID CARD,,FOUR WHEEL VEHICLE AVAILABILITY, ,USAGE OF PROPER TOOLS,,VIOLATION OF STANDARDS,
,COMPLIED,NOT COMPLIED,YES,NO,COMPLIED,NOT COMPLIED,COMPLIED,NOT COMPLIED,YES,NO
NO OF DAYS,39,0,36,3,39,0,39,0,36,3
SUB TOTAL PENALTY,0,,30000,,0,,0,,30000,
TOTAL PENALTY,60000,,,,,,,,,
