RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-AD,EPA202103220014864,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,AD-RSFU,22-MAR-21
R-AD,EPA202103220015206,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,AD-RSFU,22-MAR-21
R-AD,AD202103300088954,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,AD-AD-OSP-NC,30-MAR-21
R-AD,EPA202103220014853,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,AD-RSFU,22-MAR-21
R-AD,KWA202007230086212,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,AD-RTOFFICE,21-AUG-20
R-AD,MWI202008190011043,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,AD-RTOFFICE,19-AUG-20
R-AD,AD202101080035830,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,AD-RTOFFICE,13-JAN-21
R-AD,AD202103250031738,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,AD-AD-OSP-NC,29-MAR-21
R-AD,GLE202101110091610,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,AD-RTOFFICE,31-MAR-21
R-AD,KWA202102050004519,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,AD-RTOFFICE,10-FEB-21
R-AD,EPA202103220015198,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,AD-RSFU,22-MAR-21
R-AD,AD202103240098275,AB-CAB,CREATE,3D<T<=7D,RESOLVE CONST ISSUE,AD-RTOFFICE,25-MAR-21
R-AD,GLE202101040009751,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,AD-RTOFFICE,11-FEB-21
R-AD,EPA202103220015194,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,AD-RSFU,22-MAR-21
R-AD,TBT202010060082593,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,AD-RTOFFICE,06-OCT-20
