RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-AP,AP202209150054346,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,15-SEP-22
R-AP,AP202209140046959,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,UHN202209140045606,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-UHN-OSP-NC,14-SEP-22
R-AP,AP202212070058905,AB-CAB,DELETE,7D<T<=1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,07-DEC-22
R-AP,UHN202209140098151,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-UHN-OSP-NC,14-SEP-22
R-AP,UHN202209140002003,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-UHN-OSP-NC,14-SEP-22
R-AP,UHN202209140099256,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-UHN-OSP-NC,14-SEP-22
R-AP,PDT202212030064047,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,AP-PDT-OSP-NC,03-DEC-22
R-AP,IN202209140000243,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-IN-OSP-NC,14-SEP-22
R-AP,AP202209140001828,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,PTV202209140001894,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-PTV-OSP-NC,14-SEP-22
R-AP,IN202209140099504,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-IN-OSP-NC,14-SEP-22
R-AP,AP202209150054620,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,15-SEP-22
R-AP,HIN202209140046063,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-HIN-OSP-NC,14-SEP-22
R-AP,MOY202209220047987,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-MOY-OSP-NC,22-SEP-22
R-AP,AP202209140099286,AB-CAB,DELETE,T>1M,WAIT FOR CANCELATION,AP-AP-OSP-NC,14-SEP-22
R-AP,AP202209140047124,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,AP202209140047049,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,AP202209140045605,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,AP202209150054584,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,15-SEP-22
R-AP,AP202209140047138,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,UHN202209140047997,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-UHN-OSP-NC,14-SEP-22
R-AP,AP202209140001800,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,PDT202209140047999,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-PDT-OSP-NC,14-SEP-22
R-AP,IN202209140048030,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-IN-OSP-NC,14-SEP-22
R-AP,MOY202209140048036,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-MOY-OSP-NC,14-SEP-22
R-AP,HIN202209140099428,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-HIN-OSP-NC,14-SEP-22
R-AP,AP202209140045486,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,AP202209140045990,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,AP202209220047965,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,22-SEP-22
R-AP,PDT202209140048044,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-PDT-OSP-NC,14-SEP-22
R-AP,AP202209140002078,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,IN202209140047359,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-IN-OSP-NC,14-SEP-22
R-AP,HIN202209140099168,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-HIN-OSP-NC,14-SEP-22
R-AP,AP202209140045448,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,UHN202209140000483,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-UHN-OSP-NC,14-SEP-22
R-AP,AP202209140000418,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,AP202209140000517,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,HIN202209140047302,AB-CAB,DELETE,T>1M,WAIT FOR CANCELATION,AP-HIN-OSP-NC,14-SEP-22
R-AP,AP202212070058887,AB-CAB,DELETE,7D<T<=1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,07-DEC-22
R-AP,AP202212070058893,AB-CAB,DELETE,7D<T<=1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,07-DEC-22
R-AP,UHN202210020048711,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-UHN-OSP-NC,02-OCT-22
R-AP,AP202209140047284,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,UHN202209140097901,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-UHN-OSP-NC,14-SEP-22
R-AP,HIN202209140099528,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-HIN-OSP-NC,14-SEP-22
R-AP,AP202209140045538,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,PDT202212100044710,AB-CAB,DELETE,3D<T<=7D,REMV OSP & VOICE CPE,AP-PDT-OSP-NC,10-DEC-22
R-AP,AP202209140097734,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,AP202209140000255,AB-CAB,DELETE,T>1M,WAIT FOR CANCELATION,AP-AP-OSP-NC,14-SEP-22
R-AP,UHN202209140000268,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-UHN-OSP-NC,14-SEP-22
R-AP,AP202209140047144,AB-CAB,DELETE,T>1M,WAIT FOR CANCELATION,AP-AP-OSP-NC,14-SEP-22
R-AP,AP202209140045368,AB-CAB,DELETE,T>1M,WAIT FOR CANCELATION,AP-AP-OSP-NC,14-SEP-22
R-AP,AP202209140097795,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,AP202209140047201,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,AP202209150054484,AB-CAB,DELETE,T>1M,WAIT FOR CANCELATION,AP-AP-OSP-NC,15-SEP-22
R-AP,HIN202209140047291,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-HIN-OSP-NC,14-SEP-22
R-AP,UHN202209140045357,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-UHN-OSP-NC,14-SEP-22
R-AP,AP202209140045458,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,AP202209140046051,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-AP-OSP-NC,14-SEP-22
R-AP,IN202209140001543,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,AP-IN-OSP-NC,14-SEP-22
