RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-AP,AP202212260036370,AB-CAB,CREATE-RECON,T<=3D,RESERVE FACILITIES,AP-RSFU,27-DEC-22
R-AP,HIN202211110074703,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,AP-HIN-OSP-NC,11-NOV-22
R-AP,AP202212200015561,AB-CAB,CREATE-RECON,3D<T<=7D,VERIFY CONSTRUCTION,AP-AP-OSP-NC,21-DEC-22
R-AP,AP202212260037869,AB-CAB,CREATE-RECON,T<=3D,RESERVE FACILITIES,AP-RSFU,27-DEC-22
R-AP,UHN202110220038920,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,AP-RTOFFICE,29-OCT-21
R-AP,PDT202212260034123,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,AP-PDT-OSP-NC,26-DEC-22
R-AP,AP202209280098086,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,AP-RTOFFICE,04-OCT-22
R-AP,AP202212140056859,AB-CAB,CREATE-RECON,7D<T<=1M,CONSTRUCT OSP,AP-AP-OSP-NC,14-DEC-22
R-AP,IN202212270067367,AB-CAB,CREATE-RECON,T<=3D,RESERVE FACILITIES,AP-RSFU,27-DEC-22
R-AP,AP202212160055511,AB-CAB,CREATE-RECON,7D<T<=1M,VERIFY CONSTRUCTION,AP-AP-OSP-NC,16-DEC-22
R-AP,UHN202212200013188,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,AP-UHN-OSP-NC,21-DEC-22
R-AP,UHN202212260037140,AB-CAB,CREATE-RECON,T<=3D,WIRE MSAN,AP-UHN-MDF,27-DEC-22
R-AP,IN202210100046487,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,AP-IN-OSP-NC,10-OCT-22
R-AP,MOY202002060051800,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,AP-RTOFFICE,06-FEB-20
R-AP,AP202211140022009,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,AP-RTOFFICE,17-DEC-22
R-AP,HIN202212080068880,AB-CAB,CREATE-RECON,7D<T<=1M,VERIFY CONSTRUCTION,AP-HIN-OSP-NC,08-DEC-22
R-AP,AP202212260035133,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,AP-AP-OSP-NC,26-DEC-22
R-AP,AP202212130028366,AB-CAB,MODIFY-LOCATION,7D<T<=1M,CONSTRUCT OSP,AP-AP-OSP-NC,13-DEC-22
R-AP,PTV202212270068933,AB-CAB,CREATE-RECON,T<=3D,RESERVE FACILITIES,AP-RSFU,27-DEC-22
R-AP,AP202212200013274,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,AP-AP-OSP-NC,21-DEC-22
R-AP,AP202212190080647,AB-CAB,CREATE-RECON,7D<T<=1M,VERIFY CONSTRUCTION,AP-AP-OSP-NC,20-DEC-22
R-AP,PTV202212260035136,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,AP-PTV-OSP-NC,26-DEC-22
R-AP,AP202212220066279,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,AP-AP-OSP-NC,22-DEC-22
R-AP,HIN202006010035434,AB-CAB,MODIFY-LOCATION,T>1M,IDENTIFY FACILITIES,AP-RSFU,01-JUN-20
R-AP,MOY202212050006595,AB-CAB,CREATE-RECON,7D<T<=1M,CONSTRUCT OSP,AP-MOY-OSP-NC,06-DEC-22
R-AP,AP202211160011925,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,AP-AP-OSP-NC,16-NOV-22
R-AP,AP202106070085661,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,AP-RTOFFICE,07-JUN-21
R-AP,HIN202201080061073,AB-CAB,CREATE-RECON,T>1M,RESOLVE CONST ISSUE,AP-RTOFFICE,08-JAN-22
R-AP,AP202212260034085,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,AP-AP-OSP-NC,26-DEC-22
R-AP,IN202212220066282,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,AP-IN-OSP-NC,22-DEC-22
R-AP,AP202212260036729,AB-CAB,CREATE-RECON,T<=3D,RESERVE FACILITIES,AP-RSFU,27-DEC-22
R-AP,AP202212270066735,AB-CAB,CREATE-RECON,T<=3D,RESERVE FACILITIES,AP-RSFU,27-DEC-22
R-AP,HIN202009160022051,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,AP-RTOFFICE,18-SEP-20
R-AP,UHN202212050006601,AB-CAB,CREATE-RECON,7D<T<=1M,RESOLVE CONST ISSUE,AP-RTOFFICE,06-DEC-22
R-AP,UHN202212260037916,AB-CAB,CREATE-RECON,T<=3D,RESERVE FACILITIES,AP-RSFU,27-DEC-22
R-AP,AP202212150009216,AB-CAB,CREATE-RECON,7D<T<=1M,CONSTRUCT OSP,AP-AP-OSP-NC,16-DEC-22
R-AP,AP202212240011810,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,AP-AP-OSP-NC,24-DEC-22
R-AP,AP202212230098301,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,AP-AP-OSP-NC,24-DEC-22
R-AP,UHN202212200013184,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,AP-UHN-OSP-NC,21-DEC-22
R-AP,UHN202212260034089,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,AP-UHN-OSP-NC,26-DEC-22
R-AP,AP202212260037371,AB-CAB,CREATE-RECON,T<=3D,RESERVE FACILITIES,AP-RSFU,27-DEC-22
R-AP,HIN202001230030751,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,AP-RTOFFICE,07-JUL-20
