RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-BD,BD202002090005088,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,09-FEB-20
R-BD,BD202001050039601,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,05-JAN-20
R-BD,BD202003100081921,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,10-MAR-20
R-BD,BD202006260051296,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,26-JUN-20
R-BD,MYN202105200031165,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,20-MAY-21
R-BD,BD202105200029666,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,20-MAY-21
R-BD,GKT202106020017993,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-GKT-OSP-NC,02-JUN-21
R-BD,BD202106040064789,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,04-JUN-21
R-BD,BD202106280034890,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,28-JUN-21
R-BD,BD202201240097185,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,24-JAN-22
R-BD,MYN202201260085507,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,26-JAN-22
R-BD,BD202001050039679,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,05-JAN-20
R-BD,MYN202106020018140,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,02-JUN-21
R-BD,BD202106020018191,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,02-JUN-21
R-BD,BD202106280034711,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,28-JUN-21
R-BD,BD202001050040015,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,05-JAN-20
R-BD,MYN202106040065418,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,04-JUN-21
R-BD,BD202106280034824,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,28-JUN-21
R-BD,PJ202201230067549,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-PJ-OSP-NC,23-JAN-22
R-BD,HE202201260067447,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-HE-OSP-NC,26-JAN-22
R-BD,BD202202180065000,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,18-FEB-22
R-BD,MYN202002090004945,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,09-FEB-20
R-BD,MYN202012200040295,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,20-DEC-20
R-BD,BD202104200008184,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,20-APR-21
R-BD,MYN202104200026690,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,20-APR-21
R-BD,HE202106020017861,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-HE-OSP-NC,02-JUN-21
R-BD,BD202106040065608,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,04-JUN-21
R-BD,MM202106280035513,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MM-OSP-NC,28-JUN-21
R-BD,MYN202201240016369,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,24-JAN-22
R-BD,MYN202201240077781,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,24-JAN-22
R-BD,MYN202201250064329,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,25-JAN-22
R-BD,GKT202202180028350,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-GKT-OSP-NC,18-FEB-22
R-BD,BD202104210066397,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,21-APR-21
R-BD,BD202104230032643,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,23-APR-21
R-BD,PJ202105200040214,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-PJ-OSP-NC,20-MAY-21
R-BD,MYN202107150055297,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,15-JUL-21
R-BD,BD202109300005550,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,30-SEP-21
R-BD,KDT202201230065223,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-KDT-OSP-NC,23-JAN-22
R-BD,MYN202201230068033,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,23-JAN-22
R-BD,GKT201909100020812,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-GKT-OSP-NC,10-SEP-19
R-BD,BD202105200050150,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,20-MAY-21
R-BD,BD202106280034996,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,28-JUN-21
R-BD,BD202106220072042,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,22-JUN-21
R-BD,MM202010030026464,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MM-OSP-NC,03-OCT-20
R-BD,BD202110250087521,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,25-OCT-21
R-BD,BD202001230037942,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,23-JAN-20
R-BD,BD202001250000824,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,25-JAN-20
R-BD,BD202202090060475,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,09-FEB-22
R-BD,MYN202202270089856,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,27-FEB-22
R-BD,MYN202007020026942,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,02-JUL-20
R-BD,BD202102250045039,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,25-FEB-21
R-BD,BD202104200095904,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,20-APR-21
R-BD,HE202105200054999,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-HE-OSP-NC,20-MAY-21
R-BD,PJ202105210079016,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-PJ-OSP-NC,21-MAY-21
R-BD,KDT202106280035146,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-KDT-OSP-NC,28-JUN-21
R-BD,MYN202110150054056,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,15-OCT-21
R-BD,BD202201240013132,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,24-JAN-22
R-BD,BD201912180010306,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,18-DEC-19
R-BD,BD202011250006146,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,25-NOV-20
R-BD,BD202105200004636,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-BD-OSP-NC,20-MAY-21
R-BD,HE202106280035736,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-HE-OSP-NC,28-JUN-21
R-BD,MYN202111140010971,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,14-NOV-21
R-BD,MYN202005200006726,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,BD-MYN-OSP-NC,20-MAY-20
