RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-BD,BD202207020066463,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,BD-RTOFFICE,05-JUL-22
R-BD,MYN202212300076502,AB-CAB,MODIFY-LOCATION,T<=3D,CONSTRUCT OSP,BD-MYN-OSP-NC,30-DEC-22
R-BD,BD202210050037389,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,BD-RTOFFICE,11-OCT-22
R-BD,BD202211280051038,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,BD-RTOFFICE,28-NOV-22
R-BD,BD202212080075433,AB-CAB,CREATE,7D<T<=1M,RESOLVE CONST ISSUE,BD-CNR,08-DEC-22
R-BD,MYN202212270073574,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,BD-MYN-OSP-NC,27-DEC-22
R-BD,NM202212300082671,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,BD-NM-OSP-NC,31-DEC-22
R-BD,BD202211160016948,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,BD-RTOFFICE,18-NOV-22
R-BD,BD202212280046646,AB-CAB,MODIFY-LOCATION,3D<T<=7D,CONSTRUCT OSP,BD-BD-OSP-NC,28-DEC-22
R-BD,BD202210050036982,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,BD-RTOFFICE,07-OCT-22
R-BD,BD202206300087602,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,BD-RTOFFICE,15-AUG-22
R-BD,PJ202212310012395,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,BD-PJ-OSP-NC,31-DEC-22
R-BD,BD202212260032527,AB-CAB,MODIFY-LOCATION,3D<T<=7D,CONSTRUCT OSP,BD-BD-OSP-NC,26-DEC-22
R-BD,MM202211250058256,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,BD-MM-OSP-NC,25-NOV-22
