RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-CW,RD201909260001022,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,07-OCT-19
R-CW,LW201911130050660,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,26-NOV-19
R-CW,LW201911200021128,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,26-NOV-19
R-CW,CW202104210064392,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,CW-RTOFFICE,24-APR-21
R-CW,MX202108180023752,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,CW-RTOFFICE,18-AUG-21
R-CW,BNG201909250075370,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,01-OCT-19
R-CW,MC202106300089232,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,CW-RTOFFICE,10-JUL-21
R-CW,MC202108090069627,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,CW-RTOFFICE,13-AUG-21
R-CW,BNG202007140012348,AB-CAB,MODIFY-LOCATION,T>1M,CANCEL SERVICE ORDER,CW-RTOFFICE,14-AUG-20
R-CW,CW202101220031140,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,CW-RTOFFICE,02-FEB-21
R-CW,MC202006080016288,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,06-JUL-20
R-CW,CW202010120021221,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,CW-RTOFFICE,12-NOV-20
R-CW,BNG201909250091027,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,10-OCT-19
R-CW,CW202107280093824,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,CW-RTOFFICE,29-JUL-21
R-CW,RD201902250015699,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,CW-RTOFFICE,27-FEB-19
R-CW,RD201910120092063,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,15-OCT-19
R-CW,BNG201909250091013,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,30-SEP-19
R-CW,MC202107140006899,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,CW-RTOFFICE,17-JUL-21
R-CW,LW201910170017135,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,29-OCT-19
R-CW,CW202006110015978,AB-CAB,MODIFY-LOCATION,T>1M,CANCEL SERVICE ORDER,CW-RTOFFICE,17-AUG-20
R-CW,CW202105180040289,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,CW-RTOFFICE,22-MAY-21
R-CW,BNG202007220045843,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,CW-RTOFFICE,27-JUL-20
R-CW,BNG201909250087636,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,01-OCT-19
R-CW,BNG201909240070309,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,27-SEP-19
R-CW,LW202107050042477,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,CW-RTOFFICE,08-JUL-21
R-CW,MC202104200012705,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,CW-RTOFFICE,30-APR-21
R-CW,BNG201910170016520,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,01-NOV-19
R-CW,CW201909090001185,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,CW-RTOFFICE,11-SEP-19
R-CW,BNG201909250091009,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,10-OCT-19
R-CW,LW201911130050661,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,01-DEC-19
R-CW,BNG202001300034567,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,CW-RTOFFICE,13-FEB-20
R-CW,MC201904020010695,AB-CAB,CREATE-OR,T>1M,IDENTIFY FACILITIES,CW-RTOFFICE,02-APR-19
R-CW,LW201904180059952,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,CW-RTOFFICE,21-JUN-19
R-CW,CW202101120031166,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,CW-RTOFFICE,20-JAN-21
R-CW,CW202106230005985,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,CW-RTOFFICE,02-JUL-21
R-CW,BNG202010250051373,AB-CAB,CREATE,T>1M,RESERVE FACILITIES,SALES-SME-NWP-ACCM,26-OCT-20
R-CW,MX201910140034887,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,CW-RTOFFICE,31-OCT-19
