RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-DB,DB202110120098158,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,DB-DB-OSP-NC,14-OCT-21
R-DB,LG201810180088417,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,DB-RTOFFICE,03-JUN-19
R-DB,BKM202103310018206,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,DB-RTOFFICE,06-APR-21
R-DB,HBR202001070082270,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,DB-RTOFFICE,14-JAN-20
R-DB,SIG202110130044421,AB-CAB,CREATE,3D<T<=7D,IDENTIFY FACILITIES,DB-RSFU,13-OCT-21
R-DB,GLW202009100082444,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,DB-RTOFFICE,10-SEP-20
R-DB,NL202009240055103,AB-CAB,CREATE,T>1M,CAB_AB_CREATION,DB-RSFU,25-SEP-20
R-DB,DB202101080021116,AB-CAB,CREATE,T>1M,WIRE MSAN,DB-RTOFFICE,08-JAN-21
R-DB,BKM202110130069434,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,DB-BKM-OSP-NC,14-OCT-21
R-DB,NL201903110013241,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,DB-RTOFFICE,16-MAR-19
R-DB,NL201907020006981,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,DB-RTOFFICE,07-JUL-19
R-DB,HBR202010200043932,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,DB-RTOFFICE,21-OCT-20
R-DB,HBR201903290083020,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,DB-RTOFFICE,04-APR-19
R-DB,HBR202102120084569,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,DB-RTOFFICE,13-FEB-21
R-DB,BKM202110130069442,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,DB-BKM-OSP-NC,14-OCT-21
R-DB,SIG202106100084096,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,DB-RTOFFICE,10-JUN-21
R-DB,DB202003110020218,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,DB-RTOFFICE,04-MAY-20
