RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-EMB,EMB202111160087350,AB-CAB,CREATE-RECON,T<=3D,WIRE MSAN,EMB-EMB-MDF,16-NOV-21
R-EMB,EMB201904100067704,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,EMB-RTOFFICE,21-NOV-19
R-EMB,EMB202111080025600,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,EMB-RTOFFICE,08-NOV-21
R-EMB,EMB202111170018665,AB-CAB,CREATE-RECON,T<=3D,IDENTIFY FACILITIES,EMB-RSFU,17-NOV-21
R-EMB,EMB202007030050079,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,EMB-CNR,13-JUL-20
R-EMB,EMB202111120075515,AB-CAB,MODIFY-LOCATION,3D<T<=7D,WIRE MSAN,EMB-EMB-MDF,12-NOV-21
R-EMB,EMB202001310063015,AB-CAB,MODIFY-LOCATION,T>1M,TEST SERVICE,EMB-RTOFFICE,05-FEB-20
R-EMB,EMB202007270074031,AB-CAB,CREATE,T>1M,RECONST OSP_MANUAL,EMB-CNR,13-AUG-20
R-EMB,EMB201911200016838,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,EMB-RTOFFICE,24-NOV-19
R-EMB,SVG202111170020267,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,EMB-RSFU,17-NOV-21
R-EMB,SVG202109160001657,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,RESOLVE CONST ISSUE,EMB-RTOFFICE,23-SEP-21
R-EMB,EMB202107290015722,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,RESOLVE CONST ISSUE,EMB-RTOFFICE,04-AUG-21
R-EMB,EMB202110070095478,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,RESOLVE CONST ISSUE,EMB-RTOFFICE,10-OCT-21
R-EMB,EMB202109080020074,AB-FTTH,CREATE,T>1M,RESOLVE CONST ISSUE,EMB-RTOFFICE,15-SEP-21
R-EMB,TBL202009230005045,AB-FTTH,CREATE,T>1M,CONSTRUCT OSP,EMB-CNR,23-SEP-20
R-EMB,EMB202110180029386,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,ASSIGN ONT,EMB-RTOFFICE,18-OCT-21
R-EMB,TBL202111160077873,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONSTRUCT OSP,EMB-CPE-NC,16-NOV-21
R-EMB,SVG202111160075246,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONSTRUCT OSP,EMB-CPE-NC,16-NOV-21
R-EMB,TBL202110180014808,AB-FTTH,CREATE,10D<T<=1M,ASSIGN ONT,EMB-RTOFFICE,18-OCT-21
R-EMB,TBL202111150036381,AB-FTTH,CREATE,T<=7D,CONSTRUCT OSP,EMB-CPE-NC,15-NOV-21
R-EMB,EMB202111080036244,AB-FTTH,CREATE,7D<T<=10D,RESOLVE CONST ISSUE,EMB-RTOFFICE,10-NOV-21
R-EMB,TBL202009230005057,AB-FTTH,CREATE,T>1M,CONSTRUCT OSP,EMB-CNR,23-SEP-20
R-EMB,EMB202108030018068,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,RESOLVE CONST ISSUE,EMB-RTOFFICE,12-AUG-21
R-EMB,TBL202003120032577,AB-FTTH,CREATE,T>1M,CONSTRUCT OSP,EMB-CNR,12-MAR-20
R-EMB,SVG202111090069858,AB-FTTH,CREATE,7D<T<=10D,CONFIRM  W CUSTOMER,EMB-CPE-NC,16-NOV-21
R-EMB,SVG202111090069892,IPTV,CREATE,7D<T<=1M,WAIT COMPLETE FAB,EMB-RSFU,16-NOV-21
R-EMB,TBL202009230005055,IPTV,CREATE,T>1M,WAIT FOR FACILITY,EMB-RTOFFICE,23-SEP-20
R-EMB,EMB202111020019019,IPTV,CREATE,7D<T<=1M,RESOLVE PEO TV ISSUE,EMB-RTOFFICE,03-NOV-21
R-EMB,EMB202110050034202,IPTV,CREATE,T>1M,WAIT FOR FACILITY,EMB-RTOFFICE,05-OCT-21
R-EMB,EMB202111080036267,IPTV,CREATE,7D<T<=1M,WAIT FOR FACILITY,EMB-RTOFFICE,08-NOV-21
R-EMB,EMB202111150031333,IPTV,CREATE,T<=3D,RESOLVE PEO TV ISSUE,EMB-RTOFFICE,16-NOV-21
R-EMB,EMB202109080020096,IPTV,CREATE,T>1M,WAIT FOR FACILITY,EMB-RTOFFICE,08-SEP-21
R-EMB,EMB202108190057513,IPTV,CREATE,T>1M,INSTALL STBS,EMB-RTOFFICE,19-AUG-21
R-EMB,SVG202007230092919,IPTV,CREATE,T>1M,RESOLVE PEO TV ISSUE,EMB-CNR,08-AUG-20
R-EMB,TBL202009230005109,IPTV,CREATE,T>1M,WAIT FOR FACILITY,EMB-RTOFFICE,23-SEP-20
