RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-GL,GL202012030048219,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,15-SEP-21
R-GL,HAR202012150090946,IPTV,MODIFY-LOCATION,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,15-SEP-21
R-GL,GL202012140044842,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,20-SEP-21
R-GL,GL201906260055398,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,18-SEP-21
R-GL,GL201909060052071,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,31-AUG-21
R-GL,GL202012220084288,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,21-SEP-21
R-GL,GL202012150086287,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,20-SEP-21
R-GL,GL202012230026825,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,21-SEP-21
R-GL,GL202011250092213,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,20-SEP-21
R-GL,HAR202012150090948,IPTV,MODIFY-LOCATION,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,15-SEP-21
R-GL,GL202012260093670,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,21-SEP-21
R-GL,GL202012070018266,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,20-SEP-21
R-GL,GL202012190032035,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,21-SEP-21
R-GL,GL202011200051811,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,20-SEP-21
R-GL,GL202011200051754,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,20-SEP-21
R-GL,GL202108170089966,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,24-SEP-21
R-GL,GL202011280078919,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,20-SEP-21
R-GL,GL202009080022232,IPTV,CREATE,T>1M,CANCEL SERVICE ORDER,GL-RTOFFICE,19-SEP-21
