RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-GP,PML202104210054883,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-PML-OSP-NC,21-APR-21
R-GP,GP202105110081927,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-GP-OSP-NC,11-MAY-21
R-GP,PN202105200009962,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-PN-OSP-NC,20-MAY-21
R-GP,GP202105080091960,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-GP-OSP-NC,08-MAY-21
R-GP,PN202104190087893,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-PN-OSP-NC,19-APR-21
R-GP,HS202105100047170,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-HS-OSP-NC,10-MAY-21
R-GP,GH202105210063229,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-GH-OSP-NC,21-MAY-21
R-GP,GO202104210047021,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-GO-OSP-NC,21-APR-21
R-GP,KAD202104200016499,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-KAD-OSP-NC,20-APR-21
R-GP,DOL202105200013562,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-DOL-OSP-NC,20-MAY-21
R-GP,GP202104210041859,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-GP-OSP-NC,21-APR-21
R-GP,PV202105110069577,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-PV-OSP-NC,11-MAY-21
R-GP,TP202104200094205,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-TP-OSP-NC,20-APR-21
R-GP,TP202104200025948,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-TP-OSP-NC,20-APR-21
R-GP,GH202104200030284,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-GH-OSP-NC,20-APR-21
R-GP,PML202105100032450,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-PML-OSP-NC,10-MAY-21
R-GP,PML202105210093124,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-PML-OSP-NC,21-MAY-21
R-GP,KAD202105110086425,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-KAD-OSP-NC,11-MAY-21
R-GP,GP202105110088559,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-GP-OSP-NC,11-MAY-21
R-GP,PV202105210092004,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-PV-OSP-NC,21-MAY-21
R-GP,PML202104200025724,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-PML-OSP-NC,20-APR-21
R-GP,TP202104190088213,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-TP-OSP-NC,19-APR-21
R-GP,GO202105070086879,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-GO-OSP-NC,07-MAY-21
R-GP,GP202105210064245,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-GP-OSP-NC,21-MAY-21
R-GP,KAD202104190071491,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-KAD-OSP-NC,19-APR-21
R-GP,NT202104200032553,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-NT-OSP-NC,20-APR-21
R-GP,PML202104240058979,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-PML-OSP-NC,24-APR-21
R-GP,PML202105080097678,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-PML-OSP-NC,08-MAY-21
R-GP,GP202105110083108,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-GP-OSP-NC,11-MAY-21
R-GP,PML202105210069283,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-PML-OSP-NC,21-MAY-21
R-GP,MUR202105200053061,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-MUR-OSP-NC,20-MAY-21
R-GP,MUR202105210065795,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-MUR-OSP-NC,21-MAY-21
R-GP,PML202105200035274,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-PML-OSP-NC,20-MAY-21
R-GP,GO202105310074101,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-GO-OSP-NC,31-MAY-21
R-GP,HS202104210035799,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-HS-OSP-NC,21-APR-21
R-GP,KAD202105200023881,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-KAD-OSP-NC,20-MAY-21
R-GP,PN202105190002189,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-PN-OSP-NC,19-MAY-21
R-GP,PML202104200032303,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,GP-PML-OSP-NC,20-APR-21
R-GP,PN202105120093327,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-PN-OSP-NC,12-MAY-21
R-GP,GH202105210088285,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,GP-GH-OSP-NC,21-MAY-21
