RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-GP,GP202201290066344,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KY-RTOFFICE,29-JAN-22
R-GP,NT202205170089701,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,GP-NT-OSP-NC,19-MAY-22
R-GP,HS202205210040747,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,GP-HS-OSP-MTCE,21-MAY-22
R-GP,PML201911230014733,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,25-NOV-19
R-GP,GP201912090029830,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,13-DEC-19
R-GP,PN202204010025809,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,GP-PN-OSP-NC,01-APR-22
R-GP,KAD201908200031810,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,23-AUG-19
R-GP,KAD202204050037193,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,GP-RTOFFICE,20-MAY-22
R-GP,PN202205040060320,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,GP-RTOFFICE,12-MAY-22
R-GP,HS201909120000128,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,19-SEP-19
R-GP,HS201908010033313,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,06-AUG-19
R-GP,KAD201908070087003,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,10-AUG-19
R-GP,GP202111030047946,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,GP-GP-OSP-NC,13-NOV-21
R-GP,GP201910090098332,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,16-OCT-19
R-GP,PML202112160027166,AB-CAB,MODIFY-LOCATION,T>1M,CANCEL SERVICE ORDER,GP-RTOFFICE,23-APR-22
R-GP,GP201910290001763,AB-CAB,MODIFY-LOCATION,T>1M,TEST SERVICE,GP-GP-OSP-NC,01-NOV-19
R-GP,GO201912130016751,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,GP-RTOFFICE,20-DEC-19
R-GP,GO202203230003050,AB-CAB,MODIFY-LOCATION,T>1M,IDENTIFY FACILITIES,GP-RTOFFICE,23-MAR-22
R-GP,GO202204190071339,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,GP-RTOFFICE,19-APR-22
R-GP,PN202201110061946,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,GP-RTOFFICE,22-JAN-22
R-GP,GP202203030023194,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,GP-RTOFFICE,18-MAR-22
R-GP,TP202204220076131,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,GP-TP-OSP-NC,22-APR-22
R-GP,GP202007030052681,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,GP-RTOFFICE,06-JUL-20
R-GP,PML201908160094468,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,20-AUG-19
R-GP,GP201907130098348,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,26-JUL-19
R-GP,HS201910120085664,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,15-OCT-19
R-GP,PN202009230019972,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,GP-RTOFFICE,24-SEP-20
R-GP,GP201906260054483,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,05-JUL-19
R-GP,PML201908260098169,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,28-AUG-19
R-GP,GP202205050091349,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,GP-RTOFFICE,11-MAY-22
R-GP,PML201910150054866,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,19-OCT-19
R-GP,PML202201280038089,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,GP-RTOFFICE,18-FEB-22
R-GP,GP201908080019301,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,15-AUG-19
R-GP,TP202203030033162,AB-CAB,CREATE-OR,T>1M,RESOLVE CONST ISSUE,GP-RTOFFICE,05-MAR-22
R-GP,HS202105110089395,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,SALES-SME-CPS-ACCM,11-MAY-21
R-GP,GP201909240061552,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,27-SEP-19
R-GP,MUR201904040055644,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,09-APR-19
R-GP,MUR201908070085267,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,GP-RTOFFICE,15-AUG-19
