RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-HO,MGA202109080028113,AB-CAB,CREATE,T>1M,CLOSE IDD PROVISION,HO-RTOFFICE,09-SEP-21
R-HO,MHG202203090001312,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,HO-RSFU,09-MAR-22
R-HO,HO202203070017785,AB-CAB,MODIFY-LOCATION,3D<T<=7D,WIRE MSAN,HO-HO-MDF,07-MAR-22
R-HO,MHG202112070055975,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,SALES-SME-WPSE-ACCM,07-DEC-21
R-HO,MHG202201120098614,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,HO-RTOFFICE,12-JAN-22
R-HO,HO202108050088531,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,HO-RTOFFICE,08-AUG-21
R-HO,HO202202100083801,AB-CAB,CREATE,7D<T<=1M,RECONST OSP_MANUAL,HO-HO-OSP-NC,10-FEB-22
R-HO,HO202203020085085,AB-CAB,MODIFY-LOCATION,7D<T<=1M,CONSTRUCT OSP,HO-HO-OSP-NC,02-MAR-22
R-HO,MTG202111230086007,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,HO-RTOFFICE,10-MAR-22
R-HO,PNG202101190093320,AB-CAB,MODIFY-LOCATION,T>1M,RECONSTRUCT OSP,CLARITY,24-JAN-21
R-HO,HO202107170019111,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,HO-RTOFFICE,27-JUL-21
R-HO,MHG202108120055556,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,HO-RTOFFICE,12-AUG-21
R-HO,MTG202112070043260,AB-CAB,MODIFY-LOCATION,T>1M,VERIFY CONSTRUCTION,HO-MTG-OSP-NC,09-DEC-21
R-HO,MHG202202280020607,AB-CAB,MODIFY-LOCATION,7D<T<=1M,CONSTRUCT OSP,HO-MHG-OSP-NC,28-FEB-22
R-HO,MTG202203030035720,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,HO-MTG-OSP-NC,10-MAR-22
R-HO,PNG202203090006255,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,HO-RSFU,09-MAR-22
R-HO,MHG202203010063388,AB-CAB,CREATE-RECON,7D<T<=1M,RESOLVE CONST ISSUE,HO-RTOFFICE,02-MAR-22
R-HO,HO202108050088424,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,HO-RTOFFICE,08-AUG-21
R-HO,RKG202203070030653,AB-CAB,CREATE,T<=3D,CONSTRUCT OSP,HO-RKG-OSP-NC,09-MAR-22
R-HO,MHG202203030035644,AB-CAB,CREATE-OR,3D<T<=7D,RESOLVE CONST ISSUE,HO-MHG-OSP-NC,05-MAR-22
R-HO,MHG202203070030668,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,HO-RSFU,07-MAR-22
R-HO,MTG202203100039657,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,HO-RSFU,10-MAR-22
R-HO,MGA202108090074397,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,HO-RTOFFICE,16-AUG-21
R-HO,MHG202107130069556,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,HO-RTOFFICE,19-JUL-21
R-HO,HO202108050088462,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,HO-RTOFFICE,08-AUG-21
R-HO,MHG202202280020602,AB-CAB,MODIFY-LOCATION,7D<T<=1M,CONSTRUCT OSP,HO-MHG-OSP-NC,28-FEB-22
R-HO,PNG202110260022519,AB-CAB,CREATE,T>1M,CAB_AB_CREATION,HO-RSFU,26-OCT-21
R-HO,MHG202106280020232,AB-CAB,MODIFY-LOCATION,T>1M,RECONSTRUCT OSP,CLARITY,01-JUL-21
R-HO,MHG202107280010713,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,HO-RTOFFICE,05-AUG-21
R-HO,MHG201903290087074,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,HO-RTOFFICE,07-APR-19
R-HO,MHG202203050071875,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,HO-MHG-OSP-NC,07-MAR-22
R-HO,MHG202203090001421,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,HO-RSFU,09-MAR-22
R-HO,HO202002200096170,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,HO-RTOFFICE,07-MAR-22
R-HO,MHG202203090000904,AB-CAB,MODIFY-LOCATION,T<=3D,WIRE MSAN,HO-MHG-MDF,09-MAR-22
R-HO,MGA202203070017351,AB-CAB,CREATE,3D<T<=7D,IDENTIFY FACILITIES,HO-RTOFFICE,07-MAR-22
R-HO,HO202203090001276,AB-CAB,CREATE,T<=3D,RESERVE FACILITIES,HO-RSFU,09-MAR-22
R-HO,HO202110280096706,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-ENT-MB-ACCM,28-OCT-21
R-HO,MHG202112070043641,AB-CAB,CREATE,T>1M,RECONST OSP_MANUAL,HO-RTOFFICE,07-DEC-21
R-HO,HO202108050088612,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,HO-RTOFFICE,08-AUG-21
R-HO,MHG202201070053255,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,HO-MHG-MDF,07-JAN-22
