RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-HT,HT202106280037111,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,HT-RTOFFICE,01-JUL-21
R-HT,GT202108100005714,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,HT-RTOFFICE,10-AUG-21
R-HT,NE202105070080321,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,HT-RTOFFICE,08-MAY-21
R-HT,HT201904090032701,AB-CAB,CREATE,T>1M,CONSTRUCT OSP,HT-RTOFFICE,09-APR-19
R-HT,HT201906010038503,AB-CAB,CREATE,T>1M,VERIFY CONSTRUCTION,HT-RTOFFICE,04-JUN-19
R-HT,HT202007230077107,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,HT-RTOFFICE,29-JUL-20
R-HT,HT202008210087604,AB-CAB,CREATE,T>1M,WIRE MSAN,HT-RTOFFICE,21-AUG-20
R-HT,GT202009290062477,AB-CAB,CREATE,T>1M,WIRE MSAN,HT-RTOFFICE,10-NOV-20
R-HT,HT201910100025712,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,HT-RTOFFICE,16-OCT-19
R-HT,HT202007060004136,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,HT-RTOFFICE,13-JUL-20
R-HT,HT202105060037831,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,HT-RTOFFICE,06-MAY-21
R-HT,HT202008180074228,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,HT-RTOFFICE,23-AUG-20
R-HT,HT202001230024229,AB-CAB,CREATE-RECON,T>1M,WAIT SOP  PROVISION2,HT-RTOFFICE,24-JAN-20
R-HT,HT201907230023793,AB-CAB,CREATE,T>1M,RECONSTRUCT OSP,HT-RTOFFICE,05-AUG-19
R-HT,HT202007080062588,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,HT-RTOFFICE,13-JUL-20
R-HT,HT202108140011506,AB-CAB,CREATE,T>1M,CLOSE IDD PROVISION,HT-RTOFFICE,14-AUG-21
R-HT,GT201904260018603,AB-CAB,CREATE,T>1M,RECONSTRUCT OSP,HT-RTOFFICE,27-APR-19
R-HT,AH202007180069463,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,HT-RTOFFICE,12-AUG-20
R-HT,HT202107140020570,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,HT-RTOFFICE,14-JUL-21
R-HT,TLK202108030037720,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,HT-RTOFFICE,03-AUG-21
R-HT,GT201910050033466,AB-CAB,CREATE,T>1M,RECONSTRUCT OSP,HT-RTOFFICE,25-OCT-19
R-HT,MSK202006130076325,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,HT-RTOFFICE,03-JUL-20
R-HT,WF202108040058233,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,HT-WF-OSP-NC,04-AUG-21
