RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-JA,JA202211240017724,AB-CAB,MODIFY-LOCATION,T<=3D,IDENTIFY FACILITIES,JA-RSFU,24-NOV-22
R-JA,JA202106110099772,AB-CAB,MODIFY-LOCATION,T>1M,WAIT VOICE SO,JA-RSFU,11-JUN-21
R-JA,JA202211090010979,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,JA-RTOFFICE,10-NOV-22
R-JA,JA202206070083814,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,JA-RTOFFICE,08-JUN-22
R-JA,PT202204010030625,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,JA-RTOFFICE,06-APR-22
R-JA,CVA202203250051897,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,JA-RTOFFICE,26-MAR-22
R-JA,JA202211040049926,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT SOP  PROVISION,JA-RTOFFICE,15-NOV-22
R-JA,PT202207110071016,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,JA-RTOFFICE,18-JUL-22
R-JA,MPI202105110066458,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,SALES-ENT-LB-ACCM,11-MAY-21
R-JA,KPY202204270023749,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,JA-RTOFFICE,27-APR-22
R-JA,CVA202208020054608,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,JA-RTOFFICE,08-AUG-22
R-JA,MPI202105110066237,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,SALES-ENT-LB-ACCM,11-MAY-21
R-JA,CKM202211240017870,AB-CAB,MODIFY-LOCATION,T<=3D,WIRE MSAN,JA-CKM-MDF,24-NOV-22
R-JA,PT202104050081922,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-ENT-MB-ACCM,06-APR-21
R-JA,JA202211250065378,AB-CAB,MODIFY-LOCATION,T<=3D,IDENTIFY FACILITIES,JA-RSFU,25-NOV-22
R-JA,JA202205310037812,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,JA-RTOFFICE,31-MAY-22
R-JA,JA202211080092657,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT SOP  PROVISION,JA-RTOFFICE,13-NOV-22
R-JA,JA202106110099411,AB-CAB,MODIFY-LOCATION,T>1M,WAIT VOICE SO,JA-RSFU,11-JUN-21
R-JA,PT202104050081923,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-ENT-MB-ACCM,06-APR-21
R-JA,JA202206240063602,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,JA-RTOFFICE,27-JUN-22
R-JA,JA202211260003233,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,JA-RSFU,26-NOV-22
R-JA,MPI202105110066106,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,SALES-ENT-LB-ACCM,11-MAY-21
R-JA,JA202204200024217,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,JA-RTOFFICE,21-APR-22
R-JA,CKM202211170048709,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,JA-RTOFFICE,17-NOV-22
R-JA,JA202211260003236,AB-CAB,CREATE,T<=3D,WAIT VOICE REG ID,JA-RTOFFICE,26-NOV-22
R-JA,STK202209150086985,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,JA-RTOFFICE,16-SEP-22
R-JA,PT202104050081925,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-ENT-MB-ACCM,06-APR-21
R-JA,JA202209060074632,AB-CAB,CREATE-OR,T>1M,VERIFY CONSTRUCTION,JA-JA-MDF,10-SEP-22
R-JA,JA202208290086403,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,JA-RTOFFICE,30-AUG-22
R-JA,JA202105280054473,AB-CAB,CREATE-OR,T>1M,CLOSE IDD PROVISION,JA-RTOFFICE,08-OCT-21
R-JA,CVA202210100057506,AB-CAB,MODIFY-LOCATION,T>1M,IDENTIFY FACILITIES,JA-RTOFFICE,10-OCT-22
R-JA,PT202211230078870,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONFIRM SERVICE,JA-RTOFFICE,26-NOV-22
R-JA,JA202211140011812,AB-FTTH,CREATE-OR,10D<T<=1M,IDENTIFY FACILITIES,VA-RTOFFICE,14-NOV-22
R-JA,JA202209050012680,AB-FTTH,CREATE,T>1M,IDENTIFY FACILITIES,SALES-ENT-GOV-ACCM,05-SEP-22
R-JA,STK202211250065896,AB-FTTH,CREATE,T<=7D,CONFIRM  W CUSTOMER,JA-RTOFFICE,26-NOV-22
R-JA,CVA202211250045615,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONFIRM SERVICE,JA-RTOFFICE,26-NOV-22
R-JA,STK202211250059682,AB-FTTH,CREATE,T<=7D,IDENTIFY FACILITIES,JA-RSFU,25-NOV-22
R-JA,CKM202211230073915,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONFIRM SERVICE,JA-RTOFFICE,26-NOV-22
R-JA,PT202211240017808,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RSFU,24-NOV-22
R-JA,PT202211250066246,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONFIRM SERVICE,JA-RTOFFICE,26-NOV-22
R-JA,STK202206300079127,AB-FTTH,CREATE,T>1M,IDENTIFY FACILITIES,SALES-SME-WPC2-ACCM,30-JUN-22
R-JA,PT202211230077288,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONFIRM SERVICE,JA-RTOFFICE,26-NOV-22
R-JA,JA202211240011853,AB-FTTH,CREATE,T<=7D,IDENTIFY FACILITIES,JA-RSFU,24-NOV-22
R-JA,PT202211260096337,AB-FTTH,CREATE,T<=7D,IDENTIFY FACILITIES,JA-RSFU,26-NOV-22
R-JA,JA202211240024165,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONFIRM SERVICE,JA-RTOFFICE,26-NOV-22
R-JA,PT202211250059520,AB-FTTH,CREATE,T<=7D,CONFIRM  W CUSTOMER,JA-RTOFFICE,26-NOV-22
R-JA,CKM202211260003265,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RSFU,26-NOV-22
R-JA,CVA202211230077084,AB-FTTH,CREATE,T<=7D,IDENTIFY FACILITIES,JA-RTOFFICE,23-NOV-22
R-JA,JA202211240003286,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RSFU,24-NOV-22
R-JA,JA202211250048142,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RSFU,25-NOV-22
R-JA,CVA202207210030076,AB-FTTH,CREATE,T>1M,IDENTIFY FACILITIES,JA-RTOFFICE,21-JUL-22
R-JA,JA202209120030365,AB-FTTH,MODIFY-LOCATION,T>1M,IDENTIFY FACILITIES,JA-RTOFFICE,12-SEP-22
R-JA,PT202211120075994,AB-FTTH,MODIFY-LOCATION,10D<T<=1M,WAIT NOTIFY CUSTOMER,JA-RTOFFICE,12-NOV-22
R-JA,PT202211240016545,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RSFU,24-NOV-22
R-JA,STK202211250064159,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RSFU,25-NOV-22
R-JA,CVA202211250066006,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RTOFFICE,25-NOV-22
R-JA,JA202211260003238,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RSFU,26-NOV-22
R-JA,JA202211260001051,AB-FTTH,CREATE,T<=7D,IDENTIFY FACILITIES,JA-RSFU,26-NOV-22
R-JA,PT202211250063989,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONFIRM SERVICE,JA-RTOFFICE,26-NOV-22
R-JA,JA202211250065395,AB-FTTH,CREATE,T<=7D,IDENTIFY FACILITIES,JA-RSFU,25-NOV-22
R-JA,CKM202211230080117,AB-FTTH,CREATE,T<=7D,CONFIRM  W CUSTOMER,JA-RTOFFICE,26-NOV-22
R-JA,CKM202211240024228,AB-FTTH,CREATE,T<=7D,IDENTIFY FACILITIES,JA-RTOFFICE,24-NOV-22
R-JA,JA202211240096872,AB-FTTH,MODIFY-LOCATION,T<=7D,WAIT COMPLETE CHILD,JA-RTOFFICE,25-NOV-22
R-JA,CKM202211230061488,AB-FTTH,CREATE,T<=7D,IDENTIFY FACILITIES,JA-RTOFFICE,23-NOV-22
R-JA,JA202111160073059,AB-FTTH,CREATE,T>1M,IDENTIFY FACILITIES,SALES-ENT-GOV-ACCM,16-NOV-21
R-JA,JA202211220049198,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONFIRM SERVICE,JA-RTOFFICE,26-NOV-22
R-JA,PT202211250065718,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RSFU,25-NOV-22
R-JA,CVA202211250045527,AB-FTTH,CREATE,T<=7D,CONFIRM  W CUSTOMER,JA-RTOFFICE,26-NOV-22
R-JA,PT202211240017955,AB-FTTH,CREATE,T<=7D,IDENTIFY FACILITIES,JA-RSFU,24-NOV-22
R-JA,STK202209110085499,AB-FTTH,CREATE,T>1M,IDENTIFY FACILITIES,JA-RTOFFICE,11-SEP-22
R-JA,CVA202211240024212,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RSFU,24-NOV-22
R-JA,JA202001030022255,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,JA-RTOFFICE,24-JAN-20
R-JA,PT202208270036766,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,IDENTIFY FACILITIES,JA-RTOFFICE,27-AUG-22
R-JA,CVA202211230080116,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RTOFFICE,23-NOV-22
R-JA,JA202210250021801,AB-FTTH,MODIFY-LOCATION,T>1M,IDENTIFY FACILITIES,JA-RTOFFICE,25-OCT-22
R-JA,PT202211260003261,AB-FTTH,CREATE,T<=7D,CONFIRM  W CUSTOMER,JA-RTOFFICE,26-NOV-22
R-JA,PT202211250060308,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONFIRM SERVICE,JA-RTOFFICE,26-NOV-22
R-JA,JA202211250072214,AB-FTTH,MODIFY-LOCATION,T<=7D,IDENTIFY FACILITIES,JA-RSFU,25-NOV-22
R-JA,JA202211240016774,AB-FTTH,CREATE,T<=7D,CONFIRM  W CUSTOMER,JA-RTOFFICE,26-NOV-22
R-JA,JA202211170061290,AB-FTTH,CREATE-OR,7D<T<=10D,IDENTIFY FACILITIES,VA-RTOFFICE,17-NOV-22
R-JA,PT202211250066153,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONFIRM SERVICE,JA-RTOFFICE,26-NOV-22
R-JA,JA202211260003229,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RSFU,26-NOV-22
R-JA,PT202211220052496,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RTOFFICE,22-NOV-22
R-JA,PT202211230077785,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,IDENTIFY FACILITIES,JA-RSFU,23-NOV-22
R-JA,CVA202207210030127,IPTV,CREATE,T>1M,WAIT FOR FACILITY,JA-RTOFFICE,21-JUL-22
R-JA,JA202111160073066,IPTV,CREATE,T>1M,WAIT FOR FACILITY,JA-RTOFFICE,16-NOV-21
