RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-KE,RK202109020006972,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,02-SEP-21
R-KE,UD202110200075328,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,20-OCT-21
R-KE,RK202111190086309,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,19-NOV-21
R-KE,KE202111090060866,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,09-NOV-21
R-KE,KV202112150066660,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,KE-RTOFFICE,15-DEC-21
R-KE,RK202111170028726,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,17-NOV-21
R-KE,RK202112030058657,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,KE-RTOFFICE,07-DEC-21
R-KE,KE202109290069274,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,29-SEP-21
R-KE,BU202107280093077,AB-CAB,CREATE,T>1M,RESERVE FACILITIES,KE-RTOFFICE,29-JUL-21
R-KE,UD202112070047784,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,KE-RTOFFICE,07-DEC-21
R-KE,KE202112280098082,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,KE-KE-MDF,28-DEC-21
R-KE,RK202112030075208,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,KE-RTOFFICE,03-DEC-21
R-KE,GLG202111010083905,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,KE-RTOFFICE,11-NOV-21
R-KE,KE202106220072918,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,22-JUN-21
R-KE,RK202110220033014,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,22-OCT-21
R-KE,RK202110200075348,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,20-OCT-21
R-KE,HMT202111170034907,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,17-NOV-21
R-KE,KE202112230088869,AB-CAB,MODIFY-LOCATION,3D<T<=7D,WIRE MSAN,KE-KE-MDF,23-DEC-21
R-KE,KE202110280008449,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,28-OCT-21
R-KE,RC202002170093323,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KE-RTOFFICE,20-FEB-20
R-KE,BU202101260026844,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,KE-RTOFFICE,26-JAN-21
R-KE,KE202112170065366,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,KE-RTOFFICE,17-DEC-21
R-KE,RK202106110002803,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,11-JUN-21
R-KE,MNA202111080026928,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,08-NOV-21
R-KE,UD202112030075898,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,KE-RTOFFICE,03-DEC-21
R-KE,DOW202109130025460,AB-CAB,CREATE,T>1M,RESERVE FACILITIES,KE-RTOFFICE,13-SEP-21
R-KE,KE202112080082972,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,KE-RTOFFICE,08-DEC-21
R-KE,MNA202111080027459,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,08-NOV-21
R-KE,KE201911140078556,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KE-RTOFFICE,15-NOV-19
R-KE,YA202011300086904,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,KE-RTOFFICE,30-NOV-20
R-KE,UD202112230088979,AB-CAB,CREATE,3D<T<=7D,IDENTIFY FACILITIES,KE-KE-OSP-CDM,23-DEC-21
R-KE,KE202111020020752,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,02-NOV-21
R-KE,KE202112070051209,AB-CAB,CREATE-OR,7D<T<=1M,IDENTIFY FACILITIES,KE-RTOFFICE,07-DEC-21
R-KE,KE202112170065198,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,KE-RTOFFICE,17-DEC-21
R-KE,MNA202112230093195,AB-CAB,CREATE,3D<T<=7D,IDENTIFY FACILITIES,KE-KE-OSP-CDM,23-DEC-21
R-KE,GLG202112240021583,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,KE-GLG-OSP-NC,26-DEC-21
R-KE,RC202109100082209,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KE-RTOFFICE,14-SEP-21
R-KE,KE202112210040698,AB-CAB,MODIFY-LOCATION,7D<T<=1M,CONSTRUCT OSP,KE-KE-OSP-NC,21-DEC-21
R-KE,RK202112020028324,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,KE-RTOFFICE,02-DEC-21
R-KE,KE202112120062779,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,KE-RTOFFICE,12-DEC-21
R-KE,RC202111220042789,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,22-NOV-21
R-KE,RK202111190086336,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,19-NOV-21
R-KE,RK202111080027494,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,08-NOV-21
R-KE,MNA202111100098421,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,10-NOV-21
R-KE,UD202112210034349,AB-CAB,CREATE,7D<T<=1M,RESOLVE CONST ISSUE,KE-RTOFFICE,21-DEC-21
R-KE,UD202109090068461,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,09-SEP-21
R-KE,RK202103240094616,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KE-RTOFFICE,26-MAR-21
R-KE,MNA201910300023465,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KE-RTOFFICE,30-OCT-19
R-KE,MNA202101040011861,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KE-RTOFFICE,17-JAN-21
R-KE,RC202110040009222,AB-CAB,CREATE,T>1M,WIRE MSAN,KE-RTOFFICE,04-OCT-21
R-KE,RK202110220026147,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,22-OCT-21
R-KE,MNA202112240021033,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,KE-MNA-OSP-NC,24-DEC-21
R-KE,HMT202107190097525,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,19-JUL-21
R-KE,UD202110270057415,AB-CAB,CREATE,T>1M,RESERVE FACILITIES,KE-RTOFFICE,27-OCT-21
R-KE,KE202110130053297,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,13-OCT-21
R-KE,MNA202106110009344,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,11-JUN-21
R-KE,KE202110150049020,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,15-OCT-21
R-KE,KE202111190085505,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,19-NOV-21
R-KE,KE202111080040929,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,08-NOV-21
R-KE,KE202112240020882,AB-CAB,CREATE,3D<T<=7D,IDENTIFY FACILITIES,KE-KE-OSP-CDM,24-DEC-21
R-KE,RC202111240014191,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,24-NOV-21
R-KE,KE202111250048024,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,25-NOV-21
R-KE,RC202110210091117,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,21-OCT-21
R-KE,RC202112280086876,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,KE-RTOFFICE,28-DEC-21
R-KE,MNA202112230092783,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,KE-MNA-OSP-NC,24-DEC-21
R-KE,WK202109090069191,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KE-RTOFFICE,21-SEP-21
R-KE,RK202112230088761,AB-CAB,MODIFY-LOCATION,3D<T<=7D,CONSTRUCT OSP,KE-RK-OSP-NC,23-DEC-21
R-KE,MNA202101220028482,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KE-RTOFFICE,26-JAN-21
R-KE,MNA202109100083198,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,10-SEP-21
R-KE,KE202111150030633,AB-CAB,CREATE-OR,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,15-NOV-21
R-KE,HMT202112170065894,AB-CAB,CREATE,7D<T<=1M,CANCEL SERVICE ORDER,KE-RTOFFICE,27-DEC-21
R-KE,RK202107020096667,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,02-JUL-21
R-KE,WK202110280096949,AB-CAB,MODIFY-LOCATION,T>1M,RECONSTRUCT OSP,CLARITY,01-NOV-21
R-KE,KE202112230090197,AB-CAB,MODIFY-LOCATION,3D<T<=7D,CONSTRUCT OSP,KE-KE-OSP-NC,23-DEC-21
R-KE,KV202112240021067,AB-CAB,MODIFY-LOCATION,3D<T<=7D,WIRE MSAN,KE-KV-MDF,24-DEC-21
R-KE,KE202110140000084,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KE-RTOFFICE,14-OCT-21
R-KE,KE202112090009609,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,KE-RTOFFICE,09-DEC-21
R-KE,KE202112150064136,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,KE-RTOFFICE,15-DEC-21
R-KE,GLG202112160011762,AB-CAB,MODIFY-LOCATION,7D<T<=1M,CONSTRUCT OSP,KE-GLG-OSP-NC,16-DEC-21
R-KE,KE202112020026272,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,KE-RTOFFICE,02-DEC-21
R-KE,MNA202112230088601,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,KE-MNA-OSP-NC,24-DEC-21
