RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-KG,KG202202100085075,AB-CAB,CREATE,7D<T<=1M,WAIT NOTIFY CUSTOMER,KG-RTOFFICE,10-FEB-22
R-KG,RGM202103040071401,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KG-RTOFFICE,07-MAR-21
R-KG,MG202201200091456,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,KG-RTOFFICE,25-JAN-22
R-KG,GGM202010260051892,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KG-RTOFFICE,26-OCT-20
R-KG,WP202202080005471,AB-CAB,CREATE,7D<T<=1M,WAIT NOTIFY CUSTOMER,KG-RTOFFICE,08-FEB-22
R-KG,RGM202202110014386,AB-CAB,MODIFY-LOCATION,3D<T<=7D,RESOLVE CONST ISSUE,KG-RGM-OSP-NC,17-FEB-22
R-KG,RGM202202110000785,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,KG-RTOFFICE,11-FEB-22
R-KG,NDP202110060067187,AB-CAB,MODIFY-LOCATION,T>1M,RECONSTRUCT OSP,CLARITY,22-OCT-21
R-KG,NDP202202150042263,AB-CAB,MODIFY-LOCATION,T<=3D,CONSTRUCT OSP,KG-NDP-OSP-NC,15-FEB-22
R-KG,PW202202110013596,AB-CAB,CREATE,3D<T<=7D,WIRE MSAN,KG-RTOFFICE,11-FEB-22
R-KG,IBG202202150041478,AB-CAB,CREATE,T<=3D,WIRE MSAN,KG-IBG-OSP-NC,15-FEB-22
R-KG,KG202109230020918,AB-CAB,MODIFY-LOCATION,T>1M,RECONSTRUCT OSP,CLARITY,30-SEP-21
R-KG,NDP202110260027031,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KG-RTOFFICE,27-OCT-21
R-KG,AB202111040075227,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KG-RTOFFICE,04-NOV-21
R-KG,KG202202100079264,AB-CAB,CREATE,7D<T<=1M,RESOLVE CONST ISSUE,KG-RTOFFICE,10-FEB-22
R-KG,IBG202202120033430,AB-CAB,CREATE,3D<T<=7D,WIRE MSAN,KG-RTOFFICE,12-FEB-22
R-KG,NDP202110040024294,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KG-RTOFFICE,04-OCT-21
