RTOM,SOD NO,Service,Order Type,Time Range 
R-KI,KI201912170071090,AB-CAB,CREATE,T>1M
R-KI,PUG202001130005367,AB-CAB,CREATE,T>1M
R-KI,KI202005200008739,AB-CAB,CREATE,T>1M
R-KI,VR202006180017429,AB-CAB,CREATE,T>1M
R-KI,KDW202006180017694,AB-CAB,CREATE,T>1M
R-KI,KI202006200082909,AB-CAB,CREATE,T>1M
R-KI,SIY202006220023284,AB-CAB,CREATE,T>1M
R-KI,DX202006270066666,AB-CAB,CREATE,T>1M
R-KI,DX202006290003441,AB-CAB,CREATE,T>1M
R-KI,KWL202007060005887,AB-CAB,CREATE,T>1M
R-KI,KI202007070040104,AB-CAB,CREATE,T>1M
R-KI,VR202007080067694,AB-CAB,CREATE,T>1M
R-KI,KI202007080069113,AB-CAB,CREATE,T>1M
R-KI,DX202007090099165,AB-CAB,CREATE,T>1M
R-KI,VR202007090010078,AB-CAB,CREATE,T>1M
R-KI,KDW202007160080623,AB-CAB,CREATE,T>1M
R-KI,KWL202007200002661,AB-CAB,CREATE,T>1M
R-KI,KDW202007290051317,AB-CAB,CREATE,T>1M
R-KI,KWL202007300083618,AB-CAB,CREATE,T>1M
R-KI,BIA202008010035067,AB-CAB,CREATE,T>1M
R-KI,VR202008040063918,AB-CAB,CREATE,T>1M
R-KI,KWL202008050073194,AB-CAB,CREATE,T>1M
R-KI,VR202008170017017,AB-CAB,CREATE,T>1M
R-KI,VR202008180071212,AB-CAB,CREATE,T>1M
R-KI,MAL202008210087436,AB-CAB,CREATE,T>1M
R-KI,KWL202008220030925,AB-CAB,CREATE,T>1M
R-KI,BIA202008270037619,AB-CAB,CREATE,T>1M
R-KI,KI202009040045131,AB-CAB,CREATE,T>1M
R-KI,MAN202009100092521,AB-CAB,CREATE,T>1M
R-KI,KI202009150008282,AB-CAB,CREATE,T>1M
R-KI,VR202009160015458,AB-CAB,CREATE,T>1M
R-KI,BIA202009180081672,AB-CAB,CREATE,T>1M
R-KI,DG202009230028949,AB-CAB,CREATE,T>1M
R-KI,BIA202009250094534,AB-CAB,CREATE,T>1M
R-KI,KWL202009280032164,AB-CAB,CREATE,T>1M
R-KI,KWL202009280044035,AB-CAB,CREATE,T>1M
R-KI,KWL202009290053105,AB-CAB,CREATE,T>1M
R-KI,KI202009300070778,AB-CAB,CREATE,7D<T<=1M
R-KI,DX202009300086605,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202010050050290,AB-CAB,CREATE,7D<T<=1M
R-KI,KWL202010050050432,AB-CAB,CREATE,7D<T<=1M
R-KI,DX202010060077052,AB-CAB,CREATE,7D<T<=1M
R-KI,KDW202010080042316,AB-CAB,CREATE,7D<T<=1M
R-KI,HEY202010080049124,AB-CAB,CREATE,7D<T<=1M
R-KI,KI202010120017142,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202010190099219,AB-CAB,CREATE,7D<T<=1M
R-KI,KDW202010190003352,AB-CAB,CREATE,7D<T<=1M
R-KI,KDW202010210061041,AB-CAB,CREATE,7D<T<=1M
R-KI,MAN202010270071791,AB-CAB,CREATE,T<=3D
R-KI,KDW202009080023454,AB-CAB,CREATE-RECON,T>1M
R-KI,KWL202009150008145,AB-CAB,CREATE-RECON,T>1M
R-KI,GIR202009290065312,AB-CAB,CREATE-RECON,7D<T<=1M
R-KI,BIA202010120019938,AB-CAB,CREATE-RECON,7D<T<=1M
R-KI,KI202010120025026,AB-CAB,CREATE-RECON,7D<T<=1M
R-KI,GIR202010210061126,AB-CAB,CREATE-RECON,7D<T<=1M
R-KI,KI202010210069923,AB-CAB,CREATE-RECON,7D<T<=1M
R-KI,KI201808310012358,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KWL201809200036729,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KWL201810050096549,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,SIY201810060014395,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,MAN201810310052484,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI201812010088965,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,BIA202001240069474,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KDW202006180017648,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,PUG202007090006677,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202007210023207,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KDW202007310012405,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202008080014488,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202008180076499,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202009020016861,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KDW202009240066506,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202009290053132,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,MAN202009290061153,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,MAL202010050061321,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,DG202010060083262,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,DG202010150006361,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,DG202010160029040,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,DG202010160029125,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,DX202010200038251,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,KI202010220094920,AB-CAB,MODIFY-LOCATION,3D<T<=7D
R-KI,VR201810080052394,AB-CAB,CREATE,T>1M
R-KI,KDW201905240041725,AB-CAB,CREATE,T>1M
R-KI,KWL202003130068778,AB-CAB,CREATE,T>1M
R-KI,KWL202006180017677,AB-CAB,CREATE,T>1M
R-KI,KI202006200082883,AB-CAB,CREATE,T>1M
R-KI,DX202006210099828,AB-CAB,CREATE,T>1M
R-KI,KWL202006210000020,AB-CAB,CREATE,T>1M
R-KI,DG202006220019576,AB-CAB,CREATE,T>1M
R-KI,KWL202006300037652,AB-CAB,CREATE,T>1M
R-KI,VR202007090097285,AB-CAB,CREATE,T>1M
R-KI,MAL202007090006724,AB-CAB,CREATE,T>1M
R-KI,KI202007160099981,AB-CAB,CREATE,T>1M
R-KI,MAN202007200000954,AB-CAB,CREATE,T>1M
R-KI,VR202007240011041,AB-CAB,CREATE,T>1M
R-KI,GIR202007240016918,AB-CAB,CREATE,T>1M
R-KI,KDW202007270084917,AB-CAB,CREATE,T>1M
R-KI,DG202007280028648,AB-CAB,CREATE,T>1M
R-KI,KWL202007290046875,AB-CAB,CREATE,T>1M
R-KI,KI202008070095386,AB-CAB,CREATE,T>1M
R-KI,VR202008070002788,AB-CAB,CREATE,T>1M
R-KI,KI202008070002789,AB-CAB,CREATE,T>1M
R-KI,BIA202008100045507,AB-CAB,CREATE,T>1M
R-KI,BIA202008100045523,AB-CAB,CREATE,T>1M
R-KI,VR202008110073331,AB-CAB,CREATE,T>1M
R-KI,DX202008150089935,AB-CAB,CREATE,T>1M
R-KI,KDW202008200050759,AB-CAB,CREATE,T>1M
R-KI,KWL202008270028252,AB-CAB,CREATE,T>1M
R-KI,KWL202009050056166,AB-CAB,CREATE,T>1M
R-KI,KWL202009070085188,AB-CAB,CREATE,T>1M
R-KI,KWL202009100096365,AB-CAB,CREATE,T>1M
R-KI,VR202009110010578,AB-CAB,CREATE,T>1M
R-KI,KWL202009150008151,AB-CAB,CREATE,T>1M
R-KI,KWL202009170037623,AB-CAB,CREATE,T>1M
R-KI,KI202009170046961,AB-CAB,CREATE,T>1M
R-KI,DG202009210037211,AB-CAB,CREATE,T>1M
R-KI,KI202009220090543,AB-CAB,CREATE,T>1M
R-KI,BIA202009230013633,AB-CAB,CREATE,T>1M
R-KI,DX202009300086595,AB-CAB,CREATE,7D<T<=1M
R-KI,GIR202009300086730,AB-CAB,CREATE,7D<T<=1M
R-KI,PUG202010060078422,AB-CAB,CREATE,7D<T<=1M
R-KI,BIA202010060083208,AB-CAB,CREATE,7D<T<=1M
R-KI,KDW202010080040028,AB-CAB,CREATE,7D<T<=1M
R-KI,IHA202010120015964,AB-CAB,CREATE,7D<T<=1M
R-KI,KI202010120015970,AB-CAB,CREATE,7D<T<=1M
R-KI,MAL202010130042359,AB-CAB,CREATE,7D<T<=1M
R-KI,KI202010130048285,AB-CAB,CREATE,7D<T<=1M
R-KI,SIY202010130051250,AB-CAB,CREATE,7D<T<=1M
R-KI,DX202010180096001,AB-CAB,CREATE,7D<T<=1M
R-KI,PUG202010190008537,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202010200033018,AB-CAB,CREATE,7D<T<=1M
R-KI,KI202010210062748,AB-CAB,CREATE,7D<T<=1M
R-KI,KDW202010260059346,AB-CAB,CREATE,T<=3D
R-KI,IHA202010280092722,AB-CAB,CREATE,T<=3D
R-KI,SIY202007210022762,AB-CAB,CREATE-OR,T>1M
R-KI,HEY202010150099588,AB-CAB,CREATE-OR,7D<T<=1M
R-KI,VR202010100096298,AB-CAB,CREATE-RECON,7D<T<=1M
R-KI,KDW202010130048199,AB-CAB,CREATE-RECON,7D<T<=1M
R-KI,VR201809030040083,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KDW201908020075378,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,VR201909070078693,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202006230042314,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202007010078959,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KWL202007010090545,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202007200094366,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,HEY202007200009949,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202008190011693,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202008210093777,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KDW202009040044717,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KDW202009070097763,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202009110017578,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202009150099905,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202009230019078,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KDW202009290061135,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,KWL202009290068418,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,VR202009290068450,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,KI202009300075994,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,IHA202010050058514,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,KDW202010060077657,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,KI202010080037739,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,KI202010200042995,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,KI202001140042368,AB-CAB,CREATE,T>1M
R-KI,VR202006110004020,AB-CAB,CREATE,T>1M
R-KI,SIY202006130071484,AB-CAB,CREATE,T>1M
R-KI,KI202006160044503,AB-CAB,CREATE,T>1M
R-KI,MAL202006170091108,AB-CAB,CREATE,T>1M
R-KI,KDW202006180017696,AB-CAB,CREATE,T>1M
R-KI,HEY202006250020936,AB-CAB,CREATE,T>1M
R-KI,KDW202006300034209,AB-CAB,CREATE,T>1M
R-KI,KI202007040074720,AB-CAB,CREATE,T>1M
R-KI,KWL202007060002490,AB-CAB,CREATE,T>1M
R-KI,MAN202007070024914,AB-CAB,CREATE,T>1M
R-KI,KWL202007080063723,AB-CAB,CREATE,T>1M
R-KI,VR202007090003261,AB-CAB,CREATE,T>1M
R-KI,VR202007090006768,AB-CAB,CREATE,T>1M
R-KI,DX202007090010185,AB-CAB,CREATE,T>1M
R-KI,KI202007100027153,AB-CAB,CREATE,T>1M
R-KI,VR202007180059695,AB-CAB,CREATE,T>1M
R-KI,KWL202007230078904,AB-CAB,CREATE,T>1M
R-KI,PUG202007270083692,AB-CAB,CREATE,T>1M
R-KI,VR202007290056433,AB-CAB,CREATE,T>1M
R-KI,DG202008100049448,AB-CAB,CREATE,T>1M
R-KI,KI202008220032935,AB-CAB,CREATE,T>1M
R-KI,KWL202008280058787,AB-CAB,CREATE,T>1M
R-KI,VR202009140065251,AB-CAB,CREATE,T>1M
R-KI,SIY202009140065296,AB-CAB,CREATE,T>1M
R-KI,KWL202009140065445,AB-CAB,CREATE,T>1M
R-KI,KWL202009150002855,AB-CAB,CREATE,T>1M
R-KI,KWL202009170037629,AB-CAB,CREATE,T>1M
R-KI,KWL202009240053201,AB-CAB,CREATE,T>1M
R-KI,VR202009250008182,AB-CAB,CREATE,T>1M
R-KI,PUG202009300086639,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202009300086722,AB-CAB,CREATE,7D<T<=1M
R-KI,KWL202010030024391,AB-CAB,CREATE,7D<T<=1M
R-KI,HEY202010050040050,AB-CAB,CREATE,7D<T<=1M
R-KI,BIA202010060082789,AB-CAB,CREATE,7D<T<=1M
R-KI,BIA202010060083571,AB-CAB,CREATE,7D<T<=1M
R-KI,BIA202010060083627,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202010060087281,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202010080046230,AB-CAB,CREATE,7D<T<=1M
R-KI,SIY202010120016684,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202010170070145,AB-CAB,CREATE,7D<T<=1M
R-KI,KI202010180095988,AB-CAB,CREATE,7D<T<=1M
R-KI,MAN202010200038664,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202010200044938,AB-CAB,CREATE,7D<T<=1M
R-KI,PUG202010230015633,AB-CAB,CREATE,3D<T<=7D
R-KI,KI202010240035330,AB-CAB,CREATE,3D<T<=7D
R-KI,DX202008180077663,AB-CAB,CREATE-RECON,T>1M
R-KI,BIA202010170062965,AB-CAB,CREATE-RECON,7D<T<=1M
R-KI,HEY201812180084775,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI201909030074725,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI201910030093255,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202001060042083,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,BIA202006120042086,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202006120053255,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,BIA202006200082947,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,BIA202006260038607,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,VR202007030056595,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202007110060462,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202007210023559,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,MAL202008180054548,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202008220032929,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202009020016360,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202009020016578,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,VR202009160018253,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,VR202009180088442,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KWL202009220077118,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202010030024538,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,MAN202010140065791,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,KWL202001230020398,AB-CAB,CREATE,T>1M
R-KI,KI202006110012070,AB-CAB,CREATE,T>1M
R-KI,SIY202006290011026,AB-CAB,CREATE,T>1M
R-KI,PUG202007010094851,AB-CAB,CREATE,T>1M
R-KI,KDW202007020034003,AB-CAB,CREATE,T>1M
R-KI,VR202007060091685,AB-CAB,CREATE,T>1M
R-KI,MAN202007070024926,AB-CAB,CREATE,T>1M
R-KI,MAL202007090091939,AB-CAB,CREATE,T>1M
R-KI,VR202007090001438,AB-CAB,CREATE,T>1M
R-KI,SIY202007170021414,AB-CAB,CREATE,T>1M
R-KI,KWL202007170033746,AB-CAB,CREATE,T>1M
R-KI,DX202007200004830,AB-CAB,CREATE,T>1M
R-KI,MAL202007240023794,AB-CAB,CREATE,T>1M
R-KI,SIY202007300091732,AB-CAB,CREATE,T>1M
R-KI,DX202008020043573,AB-CAB,CREATE,T>1M
R-KI,KDW202008140067991,AB-CAB,CREATE,T>1M
R-KI,VR202008140070282,AB-CAB,CREATE,T>1M
R-KI,DX202008170031359,AB-CAB,CREATE,T>1M
R-KI,KWL202008180069914,AB-CAB,CREATE,T>1M
R-KI,VR202008210003016,AB-CAB,CREATE,T>1M
R-KI,IHA202009020023135,AB-CAB,CREATE,T>1M
R-KI,IHA202009020026545,AB-CAB,CREATE,T>1M
R-KI,KWL202009140062593,AB-CAB,CREATE,T>1M
R-KI,IHA202009140065292,AB-CAB,CREATE,T>1M
R-KI,KWL202009150099813,AB-CAB,CREATE,T>1M
R-KI,KWL202009150004702,AB-CAB,CREATE,T>1M
R-KI,KWL202009150008207,AB-CAB,CREATE,T>1M
R-KI,PUG202009160028454,AB-CAB,CREATE,T>1M
R-KI,GIR202009230032224,AB-CAB,CREATE,T>1M
R-KI,DX202009240053200,AB-CAB,CREATE,T>1M
R-KI,PUG202009240053238,AB-CAB,CREATE,T>1M
