RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-KL,KL202209030061364,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,08-SEP-22
R-KL,KL202212220066992,AB-CAB,MODIFY-LOCATION,3D<T<=7D,WIRE MSAN,KL-KL-MDF,22-DEC-22
R-KL,KL202212220071559,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,KL-KL-OSP-NC,24-DEC-22
R-KL,KL202206160032429,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,22-JUN-22
R-KL,KL202212230085316,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,KL-KL-OSP-NC,23-DEC-22
R-KL,KL202212220071494,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,KL-KL-OSP-NC,23-DEC-22
R-KL,AKP202205050094597,AB-CAB,CREATE-RECON,T>1M,RESOLVE CONST ISSUE,KL-RTOFFICE,06-MAY-22
R-KL,KL202206030062021,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KL-RTOFFICE,07-JUN-22
R-KL,KL202206220093472,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,28-JUL-22
R-KL,KL202212270066179,AB-CAB,CREATE-RECON,T<=3D,IDENTIFY FACILITIES,KL-RSFU,27-DEC-22
R-KL,AKP202212240016187,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,KL-AKP-OSP-NC,25-DEC-22
R-KL,NTV202212160052172,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,KL-NTV-MDF,16-DEC-22
R-KL,KL202205170081743,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KL-RTOFFICE,09-JUN-22
R-KL,KL202212260039706,AB-CAB,CREATE-RECON,T<=3D,IDENTIFY FACILITIES,KL-RSFU,26-DEC-22
R-KL,KL202205030043017,AB-CAB,CREATE-RECON,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,14-MAY-22
R-KL,KL202211290002008,AB-CAB,CREATE-RECON,7D<T<=1M,RECONSTRUCT OSP,KL-KL-OSP-NC,01-DEC-22
R-KL,KL202206100046046,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,KL-RTOFFICE,10-JUN-22
R-KL,KL202210200032851,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KL-RTOFFICE,02-NOV-22
R-KL,KL202205150063481,AB-CAB,CREATE-RECON,T>1M,RESOLVE CONST ISSUE,KL-RTOFFICE,17-MAY-22
R-KL,KL202212220065827,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,KL-KL-OSP-NC,23-DEC-22
R-KL,OV202212240016223,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,KL-OV-OSP-NC,25-DEC-22
R-KL,AKP202212230085195,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,KL-AKP-OSP-NC,23-DEC-22
R-KL,KL202212240016455,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,KL-KL-OSP-NC,25-DEC-22
R-KL,KL202210110001384,AB-CAB,MODIFY-LOCATION,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,31-OCT-22
R-KL,KL202212240015642,AB-CAB,MODIFY-LOCATION,T<=3D,WIRE MSAN,KL-KL-MDF,24-DEC-22
R-KL,KL202210140008739,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,21-OCT-22
R-KL,TKV202204290005671,AB-CAB,MODIFY-LOCATION,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,05-DEC-22
R-KL,AKP202205190054825,AB-CAB,CREATE-RECON,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,23-AUG-22
R-KL,KL202208080044440,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KL-RTOFFICE,08-AUG-22
R-KL,KL202212220065446,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,KL-KL-OSP-NC,23-DEC-22
R-KL,KL202212230085169,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,KL-KL-OSP-NC,23-DEC-22
R-KL,KL202204010026549,AB-CAB,CREATE-RECON,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,26-APR-22
R-KL,KL202212010083015,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,KL-KL-MDF,01-DEC-22
R-KL,KL202205090078850,AB-CAB,CREATE,T>1M,RECONST OSP_MANUAL,KL-RTOFFICE,12-MAY-22
R-KL,KL202208170046944,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,31-AUG-22
R-KL,KL202211280034705,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,KL-KL-MDF,28-NOV-22
R-KL,AKP202212050023063,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,KL-AKP-MDF,05-DEC-22
R-KL,KL202212010083050,AB-CAB,CREATE-RECON,7D<T<=1M,CANCEL SERVICE ORDER,KL-RTOFFICE,20-DEC-22
R-KL,KL202202230094373,AB-CAB,CREATE-RECON,T>1M,RESOLVE CONST ISSUE,KL-RTOFFICE,24-FEB-22
R-KL,KL202204010025256,AB-CAB,CREATE-RECON,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,04-APR-22
R-KL,KL202212240016247,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,KL-KL-OSP-NC,25-DEC-22
R-KL,KL202208190024723,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KL-RTOFFICE,31-AUG-22
R-KL,KL202204040098281,AB-CAB,CREATE-RECON,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,20-APR-22
R-KL,AKP202204280074043,AB-CAB,CREATE-RECON,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,06-MAY-22
R-KL,AKP202207070018729,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KL-RTOFFICE,22-AUG-22
