RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-KON,AN202102130093771,AB-CAB,CREATE,T>1M,WIRE MSAN,KON-OSP-PL,13-FEB-21
R-KON,WI202111160091510,AB-CAB,CREATE-RECON,T>1M,WAIT VOICE REG ID,KON-RTOFFICE,16-NOV-21
R-KON,AN202111300057528,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KON-RTOFFICE,02-DEC-21
R-KON,KDL202105060042770,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,KON-OSP-PL,06-MAY-21
R-KON,AN202107240018861,AB-CAB,MODIFY-LOCATION,T>1M,IDENTIFY FACILITIES,KON-CNR,24-JUL-21
R-KON,WI202112150064245,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,KON-RTOFFICE,18-DEC-21
R-KON,KDL202106300002304,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,KON-OSP-PL,30-JUN-21
R-KON,WI202111120091493,AB-CAB,CREATE,T>1M,WIRE MSAN,KON-OSP-PL,13-NOV-21
R-KON,WI202201030028267,AB-CAB,CREATE,T<=3D,VERIFY CONSTRUCTION,KON-WI-OSP-NC,03-JAN-22
R-KON,AN202006190069444,AB-CAB,CREATE-OR,T>1M,WAIT SOP  PROVISION,KON-RTOFFICE,19-JUN-20
R-KON,AN202010060080462,AB-CAB,CREATE-OR,T>1M,RESERVE FACILITIES,WT-RTOFFICE,06-OCT-20
R-KON,WI202006190070351,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KON-RTOFFICE,22-JUN-20
R-KON,WI202108020007355,AB-CAB,CREATE,T>1M,WIRE MSAN,KON-OSP-PL,09-AUG-21
R-KON,KDL202201010093394,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,KON-KDL-OSP-NC,01-JAN-22
R-KON,KDL202106230085779,AB-CAB,MODIFY-LOCATION,T>1M,CANCEL SERVICE ORDER,KON-RTOFFICE,15-DEC-21
R-KON,AN202111120091740,AB-CAB,CREATE,T>1M,WIRE MSAN,KON-OSP-PL,13-NOV-21
R-KON,AN202106250064938,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KON-RTOFFICE,30-JUN-21
R-KON,AN202111300061614,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KON-RTOFFICE,30-NOV-21
R-KON,KDL202112300060653,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,KON-KDL-OSP-NC,30-DEC-21
R-KON,WI202201040053627,AB-CAB,MODIFY-LOCATION,T<=3D,VERIFY CONSTRUCTION,KON-WI-OSP-NC,05-JAN-22
R-KON,IDH202109070004200,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KON-RTOFFICE,09-SEP-21
R-KON,WI202110280015057,AB-CAB,CREATE,T>1M,WIRE MSAN,KON-OSP-PL,29-OCT-21
R-KON,AN202102170089529,AB-CAB,CREATE,T>1M,WIRE MSAN,KON-OSP-PL,17-FEB-21
R-KON,WI202108310063510,AB-CAB,CREATE,T>1M,WIRE MSAN,KON-OSP-PL,31-AUG-21
R-KON,IDH202112310079152,AB-CAB,MODIFY-LOCATION,3D<T<=7D,CONSTRUCT OSP,KON-IDH-OSP-NC,31-DEC-21
R-KON,AN202110210099948,AB-CAB,CREATE,T>1M,WIRE MSAN,KON-OSP-PL,21-OCT-21
R-KON,KDL202112280082670,AB-CAB,CREATE-OR,7D<T<=1M,CONSTRUCT OSP,KON-KDL-OSP-NC,28-DEC-21
R-KON,MAB202201030026790,AB-CAB,CREATE-OR,T<=3D,CONSTRUCT OSP,KON-MAB-OSP-NC,03-JAN-22
R-KON,KDL201905230011923,AB-CAB,CREATE-OR,T>1M,WAIT NOTIFY CUSTOMER,KON-RTOFFICE,28-MAY-19
R-KON,IDH202112300059659,AB-CAB,MODIFY-LOCATION,3D<T<=7D,VERIFY CONSTRUCTION,KON-IDH-OSP-NC,05-JAN-22
R-KON,AN202201040056707,AB-CAB,MODIFY-LOCATION,T<=3D,WIRE MSAN,KON-AN-MDF,04-JAN-22
R-KON,AN202201050083695,AB-CAB,CREATE,T<=3D,WIRE MSAN,KON-AN-MDF,05-JAN-22
R-KON,WI202108170093288,AB-CAB,MODIFY-LOCATION,T>1M,VERIFY CONSTRUCTION,KON-WI-OSP-NC,20-AUG-21
R-KON,WI202112290037526,AB-CAB,MODIFY-LOCATION,3D<T<=7D,WAIT SOP  PROVISION,KON-RTOFFICE,01-JAN-22
R-KON,AN202201040056922,AB-CAB,MODIFY-LOCATION,T<=3D,IDENTIFY FACILITIES,KON-CNR,04-JAN-22
R-KON,AN202201040067578,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,KON-AN-OSP-NC,05-JAN-22
R-KON,KDL202109030029726,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,KON-CNR,03-SEP-21
R-KON,KDL202112060028163,AB-CAB,MODIFY-LOCATION,7D<T<=1M,CONSTRUCT OSP,KON-KDL-OSP-NC,06-DEC-21
R-KON,AN202109290076530,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KON-RTOFFICE,09-OCT-21
R-KON,KDL202107210071203,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,KON-OSP-PL,21-JUL-21
R-KON,KDL202201040057267,AB-CAB,CREATE,T<=3D,CONSTRUCT OSP,KON-KDL-OSP-NC,04-JAN-22
R-KON,WI202111220034042,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KON-RTOFFICE,26-NOV-21
R-KON,KDL202112060028162,AB-CAB,MODIFY-LOCATION,7D<T<=1M,CONSTRUCT OSP,KON-KDL-OSP-NC,06-DEC-21
R-KON,AN202112200012455,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,KON-AN-MDF,20-DEC-21
R-KON,AN201911070030768,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KON-RTOFFICE,11-NOV-19
R-KON,AN202106250064511,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,KON-OSP-PL,25-JUN-21
R-KON,AN202107150068428,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KON-RTOFFICE,18-JUL-21
