RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-KT,KT202103220028745,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,KT-KT-OSP-NC,22-MAR-21
R-KT,BT202103220014352,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,KT-BT-OSP-NC,22-MAR-21
R-KT,KT202103220024752,AB-FTTH,DELETE,T<=7D,COLLECT ONT,KT-CPE-NC,22-MAR-21
R-KT,KT202103220019052,AB-FTTH,DELETE,T<=7D,COLLECT ONT,KT-CPE-NC,22-MAR-21
R-KT,BR202102230073307,AB-FTTH,DELETE,10D<T<=1M,COLLECT ONT,KT-CPE-NC,23-FEB-21
R-KT,BT202103150011300,AB-FTTH,DELETE,7D<T<=10D,COLLECT ONT,KT-CPE-NC,15-MAR-21
R-KT,KT202011260031513,AB-FTTH,DELETE,T>1M,COLLECT ONT,KT-CPE-NC,26-NOV-20
R-KT,BR202103110059213,AB-FTTH,DELETE,10D<T<=1M,COLLECT ONT,KT-CPE-NC,11-MAR-21
R-KT,KT202012030056870,AB-FTTH,DELETE,T>1M,COLLECT ONT,KT-CPE-NC,03-DEC-20
R-KT,KT202103180037141,AB-FTTH,DELETE,T<=7D,COLLECT ONT,KT-CPE-NC,18-MAR-21
R-KT,KT202103130095018,AB-FTTH,DELETE,7D<T<=10D,COLLECT ONT,KT-CPE-NC,13-MAR-21
R-KT,KT202102020053596,AB-FTTH,DELETE,T>1M,COLLECT ONT,KT-CPE-NC,02-FEB-21
R-KT,BT202103130094717,AB-FTTH,DELETE,7D<T<=10D,COLLECT ONT,KT-CPE-NC,13-MAR-21
R-KT,MGM202101220037655,AB-FTTH,DELETE,T>1M,COLLECT ONT,KT-CPE-NC,22-JAN-21
R-KT,BT202103160055261,AB-FTTH,DELETE,T<=7D,COLLECT ONT,KT-CPE-NC,16-MAR-21
R-KT,MGM202103180017201,AB-FTTH,DELETE,T<=7D,COLLECT ONT,KT-CPE-NC,18-MAR-21
R-KT,MGM202102020051074,AB-FTTH,DELETE,T>1M,COLLECT ONT,KT-CPE-NC,02-FEB-21
R-KT,BT202103190060260,AB-FTTH,DELETE,T<=7D,COLLECT ONT,KT-CPE-NC,19-MAR-21
R-KT,KT202102050009879,AB-FTTH,DELETE-OR,T>1M,COLLECT ONT,KT-CPE-NC,05-FEB-21
R-KT,KT202102060012608,AB-FTTH,DELETE,T>1M,COLLECT ONT,KT-CPE-NC,06-FEB-21
R-KT,KT202101290071503,AB-FTTH,DELETE,T>1M,COLLECT ONT,KT-CPE-NC,29-JAN-21
R-KT,KT202102180027664,IPTV,DELETE,T>1M,COLLECT STBS,KT-CPE-NC,18-FEB-21
R-KT,BT202103220025673,IPTV,DELETE,T<=3D,COLLECT STBS,KT-CPE-NC,22-MAR-21
R-KT,MGM202102020051073,IPTV,DELETE,T>1M,COLLECT STBS,KT-CPE-NC,02-FEB-21
R-KT,BT202103130094718,IPTV,DELETE,7D<T<=1M,COLLECT STBS,KT-CPE-NC,13-MAR-21
