RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-KT,MGM202103040073626,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,KT-KT-OSP-CDM,05-MAR-21
R-KT,MGE202103180027295,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,KT-MGE-MDF,19-MAR-21
R-KT,MGM202101210007982,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KT-RTOFFICE,29-JAN-21
R-KT,MGM202101300093432,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KT-RTOFFICE,30-JAN-21
R-KT,KT202101260029240,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KT-RTOFFICE,09-FEB-21
R-KT,BT202103010075900,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,KT-BT-MDF,01-MAR-21
R-KT,KT202103230053265,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,KT-KT-OSP-NC,23-MAR-21
R-KT,KT202103240001092,AB-CAB,MODIFY-LOCATION,T<=3D,WIRE MSAN,KT-KT-MDF,24-MAR-21
R-KT,BT201903310094293,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KT-RTOFFICE,05-APR-19
R-KT,MGM202103080071146,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,KT-MGM-MDF,08-MAR-21
R-KT,BR202103090094106,AB-CAB,MODIFY-LOCATION,7D<T<=1M,IDENTIFY FACILITIES,KT-BR-OSP-NC,09-MAR-21
R-KT,BT202103090003920,AB-CAB,CREATE-RECON,7D<T<=1M,WIRE MSAN,KT-KT-OSP-CDM,09-MAR-21
R-KT,MGM202103250016116,AB-CAB,CREATE,T<=3D,WIRE MSAN,KT-MGM-MDF,25-MAR-21
R-KT,MGM202103010074153,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,KT-KT-OSP-CDM,01-MAR-21
R-KT,KT202103220013614,AB-CAB,CREATE,3D<T<=7D,WIRE MSAN,KT-KT-MDF,22-MAR-21
R-KT,MGM202103170094658,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,KT-KT-OSP-CDM,19-MAR-21
R-KT,BR202103050001141,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,KT-BR-MDF,05-MAR-21
R-KT,KT202103260036061,AB-CAB,CREATE,T<=3D,WIRE MSAN,KT-KT-MDF,26-MAR-21
R-KT,MGM202101080037658,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KT-RTOFFICE,08-JAN-21
R-KT,MGM202103150020356,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,KT-MGM-MDF,15-MAR-21
R-KT,MGM202103180020045,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,KT-MGM-MDF,18-MAR-21
R-KT,KT202103170088567,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,KT-KT-MDF,17-MAR-21
R-KT,KT202103250024947,AB-CAB,CREATE-RECON,T<=3D,IDENTIFY FACILITIES,KT-KT-OSP-NC,25-MAR-21
R-KT,KT201903180086250,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KT-RTOFFICE,22-MAR-19
R-KT,DGD202103250017518,AB-CAB,CREATE,T<=3D,WIRE MSAN,KT-DGD-MDF,25-MAR-21
R-KT,KT202103090094232,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,KT-RTOFFICE,13-MAR-21
R-KT,KT202103050011910,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,KT-KT-MDF,05-MAR-21
R-KT,KT202010080039981,AB-CAB,CREATE,T>1M,CLOSE IDD PROVISION,KT-RTOFFICE,10-OCT-20
R-KT,BT202103190073563,AB-CAB,CREATE,3D<T<=7D,WIRE MSAN,KT-BT-MDF,19-MAR-21
R-KT,BT202103190062687,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,KT-BT-OSP-NC,19-MAR-21
R-KT,MGM202103250017968,AB-CAB,CREATE-RECON,T<=3D,IDENTIFY FACILITIES,KT-MGM-OSP-NC,25-MAR-21
R-KT,MGM202103160042913,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,KT-MGM-MDF,16-MAR-21
R-KT,KUN202103170080142,AB-CAB,CREATE,7D<T<=1M,RECONSTRUCT OSP,KT-KUN-OSP-NC,17-MAR-21
R-KT,DGD201912240025369,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KT-RTOFFICE,27-DEC-19
R-KT,KT202103220018861,AB-CAB,MODIFY-LOCATION,3D<T<=7D,WIRE MSAN,KT-KT-MDF,22-MAR-21
R-KT,KT202103090098841,AB-CAB,CREATE,7D<T<=1M,CONSTRUCT OSP,KT-KT-OSP-NC,09-MAR-21
