RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-KX,KX202111050094759,AB-CAB,CREATE,T>1M,WIRE MSAN,SALES-SME-METC2-ACCM,05-NOV-21
R-KX,KX202212230088563,AB-CAB,CREATE-OR,7D<T<=1M,WIRE MSAN,KX-KX-MDF,02-JAN-23
R-KX,KX202201070054331,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KX-RTOFFICE,20-JAN-22
R-KX,KX202212090011177,AB-CAB,CREATE,7D<T<=1M,CONSTRUCT OSP,KX-KX-OSP-NC,11-DEC-22
R-KX,KX202210050026339,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KX-RTOFFICE,07-OCT-22
R-KX,BAT202205250076978,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KX-RTOFFICE,07-JUN-22
R-KX,MDW202212290024374,AB-CAB,MODIFY-LOCATION,3D<T<=7D,WIRE MSAN,KX-MDW-MDF,29-DEC-22
R-KX,KX202203280000279,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KX-RTOFFICE,02-APR-22
R-KX,KX202203090097969,AB-CAB,CREATE,T>1M,WIRE MSAN,SALES-ENT-GOV-ACCM,09-MAR-22
R-KX,KX202211290082079,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KX-RTOFFICE,30-NOV-22
R-KX,BAT202007150058609,AB-CAB,CREATE-OR,T>1M,WIRE MSAN,SALES-SME-METS-ACCM,28-SEP-21
R-KX,HC202111150047925,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KX-RTOFFICE,21-NOV-21
R-KX,KX202010280097324,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-SME-WPC2,28-OCT-20
R-KX,HC202301020072673,AB-CAB,CREATE,T<=3D,WIRE MSAN,KX-HC-MDF,02-JAN-23
R-KX,HC202212300078672,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,KX-HC-OSP-NC,30-DEC-22
R-KX,KX202110300039920,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,SALES-SME-METC2-ACCM,30-OCT-21
R-KX,KX202201050084975,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,SALES-ENT-GOV-ACCM,05-JAN-22
R-KX,HC202211280055355,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,KX-HC-MDF,28-NOV-22
R-KX,KX202112180088732,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,SALES-ENT-GOV-ACCM,06-JAN-22
R-KX,KOT202301010033807,AB-CAB,MODIFY-LOCATION,T<=3D,WIRE MSAN,KX-KOT-MDF,01-JAN-23
R-KX,KX202111030053098,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KX-RTOFFICE,08-NOV-21
R-KX,TAN202209240085755,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KX-RTOFFICE,24-SEP-22
R-KX,TAL202211110060402,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,KX-TAL-MDF,11-NOV-22
R-KX,MLE201911080068902,AB-CAB,CREATE,T>1M,WIRE MSAN,SALES-ENT-MB-ACCM,26-AUG-20
R-KX,HC202111300054877,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KX-RTOFFICE,08-DEC-21
R-KX,BAT202209300076719,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KX-RTOFFICE,04-OCT-22
R-KX,TAN202212300076095,AB-CAB,CREATE-RECON,3D<T<=7D,WIRE MSAN,KX-TAN-MDF,30-DEC-22
R-KX,KX202204060074092,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KX-RTOFFICE,30-APR-22
R-KX,HC202208220059610,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KX-RTOFFICE,16-SEP-22
R-KX,KX202210220096690,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KX-RTOFFICE,16-NOV-22
R-KX,KX202208150059945,AB-CAB,CREATE-RECON,T>1M,CANCEL SERVICE ORDER,KX-RTOFFICE,20-SEP-22
R-KX,KOT202211280053334,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KX-RTOFFICE,28-NOV-22
