RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-KY,DIN202101180058920,AB-CAB,CREATE,7D<T<=1M,CONSTRUCT OSP,KY-DIN-OSP-NC,21-JAN-21
R-KY,PKL201911220090821,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,28-NOV-19
R-KY,KY202011020060841,AB-CAB,CREATE-OR,T>1M,WAIT VOICE REG ID,KY-RTOFFICE,02-NOV-20
R-KY,RKL201904290048217,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KY-RTOFFICE,07-MAY-19
R-KY,KY202007290059741,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KY-RTOFFICE,05-AUG-20
R-KY,DIN202008060083259,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KY-RTOFFICE,07-OCT-20
R-KY,DIN202009210041453,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KY-RTOFFICE,24-SEP-20
R-KY,KY202012020027248,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KY-RTOFFICE,06-DEC-20
R-KY,KS202102030064270,AB-CAB,MODIFY-LOCATION,3D<T<=7D,VERIFY  CONSTRUCTION,KY-KS-OSP-NC,08-FEB-21
R-KY,TTY202101220030165,AB-CAB,CREATE-RECON,7D<T<=1M,IDENTIFY FACILITIES,KY-TTY-OSP-NC,22-JAN-21
R-KY,KY202101270048844,AB-CAB,MODIFY-LOCATION,7D<T<=1M,VERIFY  CONSTRUCTION,KY-KY-OSP-NC,06-FEB-21
R-KY,TTY201904050081617,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,08-APR-19
R-KY,DIN202010240032280,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,KY-RTOFFICE,24-OCT-20
R-KY,KY201903060066012,AB-CAB,CREATE-RECON,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,19-MAR-19
R-KY,AKU202102050006607,AB-CAB,CREATE-RECON,3D<T<=7D,WIRE MSAN,KY-AKU-MDF,08-FEB-21
R-KY,PKL202006160049940,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KY-RTOFFICE,17-JUN-20
R-KY,DIN202102090077689,AB-CAB,CREATE,T<=3D,RESERVE FACILITIES,KY-RSFU,09-FEB-21
R-KY,KS202101270052486,AB-CAB,MODIFY-LOCATION,7D<T<=1M,IDENTIFY FACILITIES,KY-RTOFFICE,27-JAN-21
R-KY,AKU201910020066794,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,07-OCT-19
R-KY,PKL202102080039077,AB-CAB,CREATE-RECON,T<=3D,IDENTIFY FACILITIES,KY-PKL-OSP-NC,08-FEB-21
R-KY,KY201907100053295,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,19-JUL-19
R-KY,KY202010210060277,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KY-RTOFFICE,14-NOV-20
R-KY,KY202011120059197,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KY-RTOFFICE,14-NOV-20
R-KY,PKL202101180057209,AB-CAB,MODIFY-LOCATION,7D<T<=1M,VERIFY CONSTRUCTION,KY-PKL-OSP-NC,20-JAN-21
R-KY,PKL202101190099203,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT SOP  PROVISION,KY-RTOFFICE,27-JAN-21
R-KY,WH202101150077189,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,KY-RTOFFICE,15-JAN-21
R-KY,KY202010150016335,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KY-RTOFFICE,23-OCT-20
R-KY,KY201908300096430,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,KY-RTOFFICE,04-SEP-19
R-KY,KY202008310002311,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KY-RTOFFICE,03-SEP-20
R-KY,KY202010120021014,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KY-RTOFFICE,19-OCT-20
R-KY,KY202012160002493,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KY-RTOFFICE,21-DEC-20
R-KY,KY201905310024888,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,10-JUN-19
R-KY,WH202012240078018,AB-CAB,CREATE,T>1M,CONSTRUCT OSP,KY-WH-OSP-NC,24-DEC-20
R-KY,KY202101010060182,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KY-RTOFFICE,04-JAN-21
R-KY,TTY202101080038735,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,KY-RTOFFICE,13-JAN-21
R-KY,AKU202102010024227,AB-CAB,CREATE,7D<T<=1M,CONSTRUCT OSP,KY-AKU-OSP-NC,02-FEB-21
R-KY,KS202101180054164,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT SOP  PROVISION,KY-RTOFFICE,22-JAN-21
R-KY,TTY201911130050883,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,19-NOV-19
R-KY,GG202101120023407,AB-CAB,CREATE,7D<T<=1M,VERIFY CONSTRUCTION,KY-GG-OSP-NC,12-JAN-21
R-KY,KY202102020034684,AB-CAB,CREATE,7D<T<=1M,RESOLVE CONST ISSUE,KY-KY-OSP-NC,02-FEB-21
R-KY,TTY201904050079798,AB-CAB,CREATE-RECON,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,31-MAY-19
R-KY,KY201911160043151,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,24-NOV-19
R-KY,GG202101080038629,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KY-CPE-NC,08-JAN-21
R-KY,KY202009300071746,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KY-RTOFFICE,30-SEP-20
R-KY,AKU202101260041550,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,KY-RTOFFICE,04-FEB-21
R-KY,KS201909090009466,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,15-SEP-19
R-KY,KS201910080093506,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,11-OCT-19
R-KY,PKL202102090066668,AB-CAB,CREATE,T<=3D,WIRE MSAN,KY-PKL-MDF,09-FEB-21
R-KY,KY201904070002319,AB-CAB,CREATE-RECON,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,09-MAY-19
R-KY,AKU202010270074081,AB-CAB,CREATE-RECON,T>1M,RESERVE FACILITIES,KY-AKU-OSP-NC,27-OCT-20
R-KY,KY202002100039027,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KY-RTOFFICE,25-FEB-20
R-KY,GG202010140068349,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,KY-GG-OSP-NC,27-OCT-20
R-KY,KY202010150016203,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KY-RTOFFICE,24-OCT-20
R-KY,WH201903270061275,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,10-APR-19
R-KY,PKL201906030058313,AB-CAB,CREATE-OR,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,06-JUN-19
R-KY,KY202006240000847,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KY-RTOFFICE,27-JUN-20
R-KY,KY202009300081742,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KY-RTOFFICE,30-SEP-20
R-KY,KY202011240074653,AB-CAB,CREATE-OR,T>1M,VERIFY CONSTRUCTION,KY-RTOFFICE,27-NOV-20
R-KY,AKU201910220014627,AB-CAB,CREATE-RECON,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,30-DEC-19
R-KY,TTY202006240082889,AB-CAB,MODIFY-LOCATION,T>1M,TEST SERVICE,KY-CNR,18-JUL-20
R-KY,KY201907230014667,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,03-AUG-19
R-KY,AKU201905230016294,AB-CAB,CREATE-RECON,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,27-MAY-19
R-KY,GG202101230070694,AB-CAB,CREATE-RECON,7D<T<=1M,IDENTIFY FACILITIES,KY-RTOFFICE,23-JAN-21
R-KY,WH201910030081368,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,07-OCT-19
R-KY,GG201910030082076,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,07-OCT-19
R-KY,KY202101200043896,AB-CAB,CREATE,7D<T<=1M,RESOLVE CONST ISSUE,KY-RTOFFICE,20-JAN-21
R-KY,RA201903310093681,AB-CAB,CREATE-OR,T>1M,WAIT VOICE REG ID,KY-RTOFFICE,31-MAR-19
R-KY,WH201809210078135,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KY-RTOFFICE,27-SEP-18
R-KY,KS201909040098060,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KY-RTOFFICE,06-SEP-19
R-KY,KS202102030064270,AB-CAB,MODIFY-LOCATION,3D<T<=7D,VERIFY CONSTRUCTION,KY-KS-OSP-NC,08-FEB-21
R-KY,KY202009300070245,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KY-RTOFFICE,06-OCT-20
R-KY,KS202102080044318,AB-CAB,CREATE,T<=3D,WIRE MSAN,KY-KS-MDF,09-FEB-21
R-KY,KS202012090093788,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KY-RTOFFICE,09-DEC-20
R-KY,KY201904020015388,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,08-APR-19
R-KY,TTY201908200011454,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,22-AUG-19
R-KY,AKU202101110088855,AB-CAB,CREATE-RECON,7D<T<=1M,RESOLVE CONST ISSUE,KY-RTOFFICE,12-JAN-21
R-KY,WH202102030065831,AB-CAB,CREATE,3D<T<=7D,IDENTIFY FACILITIES,KY-RSFU,03-FEB-21
R-KY,AKU202001290002135,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,31-JAN-20
R-KY,TTY202010070012202,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KY-RTOFFICE,12-OCT-20
R-KY,DIN202012150097991,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,KY-RTOFFICE,15-DEC-20
R-KY,KY201904270030996,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,02-MAY-19
R-KY,TTY201908190095925,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,27-AUG-19
R-KY,DIN201906180020364,AB-CAB,CREATE-RECON,T>1M,WAIT VOICE REG ID,KY-RTOFFICE,18-JUN-19
R-KY,KY202007060097934,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KY-RTOFFICE,09-JUL-20
R-KY,KY202102030062982,AB-CAB,MODIFY-LOCATION,3D<T<=7D,VERIFY CONSTRUCTION,KY-KY-OSP-NC,07-FEB-21
R-KY,KY201904030020307,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,05-APR-19
R-KY,RKL202101200064049,AB-CAB,CREATE,7D<T<=1M,RESOLVE CONST ISSUE,KY-RTOFFICE,22-JAN-21
R-KY,KS202011110020509,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,KY-RTOFFICE,11-NOV-20
R-KY,DIN201909090012347,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,KY-RTOFFICE,16-SEP-19
R-KY,DIN202012180082002,AB-CAB,CREATE,T>1M,WIRE MSAN,KY-RTOFFICE,30-DEC-20
R-KY,WH202101130064499,AB-CAB,CREATE,7D<T<=1M,CLOSE IDD PROVISION,KY-RTOFFICE,15-JAN-21
R-KY,KS202102010012873,AB-CAB,CREATE,7D<T<=1M,VERIFY CONSTRUCTION,KY-KS-OSP-NC,02-FEB-21
