RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-MB,MB202207210017980,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,21-JUL-22
R-MB,MB202207150057617,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,15-JUL-22
R-MB,MB202208260015662,AB-FTTH,DELETE,10D<T<=1M,COLLECT ONT,MB-CPE-NC,26-AUG-22
R-MB,MB202107150065287,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,15-JUL-21
R-MB,MB202204190083387,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,19-APR-22
R-MB,MB202207210017165,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,21-JUL-22
R-MB,MB202203020002708,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,02-MAR-22
R-MB,MB202203030020809,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,03-MAR-22
R-MB,MB202206290045393,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,29-JUN-22
R-MB,MB202208010030009,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,01-AUG-22
R-MB,MB202204010045936,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,01-APR-22
R-MB,MB202205050097569,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,05-MAY-22
R-MB,MB202207210017398,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,21-JUL-22
R-MB,MB202207210017272,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,21-JUL-22
R-MB,MB202207210023782,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,21-JUL-22
R-MB,MB202104190084168,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,19-APR-21
R-MB,MB202204040091051,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,04-APR-22
R-MB,MB202207210025395,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,21-JUL-22
R-MB,MB202207210018492,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,21-JUL-22
R-MB,MB202203310084947,AB-FTTH,DELETE,T>1M,COLLECT ONT,MB-CPE-NC,31-MAR-22
R-MB,MB202208010030008,IPTV,DELETE,T>1M,COLLECT STBS,MB-CPE-NC,01-AUG-22
R-MB,MB202203310084940,IPTV,DELETE,T>1M,COLLECT STBS,MB-CPE-NC,31-MAR-22
R-MB,MB202206060022714,IPTV,DELETE,T>1M,COLLECT STBS,MB-CPE-NC,06-JUN-22
R-MB,MB202207230087218,IPTV,DELETE,T>1M,COLLECT STBS,MB-CPE-NC,23-JUL-22
R-MB,MB202207210017399,IPTV,DELETE,T>1M,COLLECT STBS,MB-CPE-NC,21-JUL-22
R-MB,MB202204020068104,IPTV,DELETE,T>1M,COLLECT STBS,MB-CPE-NC,02-APR-22
R-MB,MB202201120080647,IPTV,DELETE,T>1M,COLLECT STBS,MB-CPE-NC,12-JAN-22
R-MB,MB202201120085919,IPTV,DELETE,T>1M,COLLECT STBS,MB-CPE-NC,12-JAN-22
R-MB,MB202111090058801,IPTV,DELETE,T>1M,COLLECT STBS,MD-CPE-NC,09-NOV-21
R-MB,MB202112240025324,IPTV,DELETE,T>1M,COLLECT STBS,MB-CPE-NC,24-DEC-21
