RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-MD,CEN202204210051081,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CEN-OSP-NC,21-APR-22
R-MD,CEN202204210054835,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CEN-OSP-NC,21-APR-22
R-MD,CEN202204210054883,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CEN-OSP-NC,21-APR-22
R-MD,CEN202204210051249,AB-CAB,DELETE-OR,T<=3D,REMOVE OSP,MD-CEN-OSP-NC,21-APR-22
R-MD,CEN202204210054681,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CEN-OSP-NC,21-APR-22
R-MD,CEN202204210054663,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CEN-OSP-NC,21-APR-22
R-MD,MTK202204210055036,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-MTK-OSP-NC,21-APR-22
R-MD,CEN202204210054594,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CEN-OSP-NC,21-APR-22
R-MD,MD202204210056968,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-MD-OSP-NC,21-APR-22
R-MD,MD202204210056881,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-MD-OSP-NC,21-APR-22
R-MD,MTK202204210055137,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-MTK-OSP-NC,21-APR-22
R-MD,CEN202204210056759,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CEN-OSP-NC,21-APR-22
R-MD,CEN202204210054617,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CEN-OSP-NC,21-APR-22
R-MD,CEN202204210054819,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CEN-OSP-NC,21-APR-22
R-MD,CEN202204210054555,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CEN-OSP-NC,21-APR-22
R-MD,CEN202204210054735,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CEN-OSP-NC,21-APR-22
R-MD,CEN202204210054788,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CEN-OSP-NC,21-APR-22
R-MD,MD202204210056932,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-MD-OSP-NC,21-APR-22
R-MD,CEN202204210054715,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CEN-OSP-NC,21-APR-22
R-MD,CHR202204210055066,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,MD-CHR-OSP-NC,21-APR-22
R-MD,MD202204020070961,AB-FTTH,DELETE,10D<T<=1M,COLLECT ONT,MD-CPE-NC,02-APR-22
R-MD,MD202204010022669,AB-FTTH,DELETE,10D<T<=1M,COLLECT ONT,MD-CPE-NC,01-APR-22
R-MD,CEN202203310089690,AB-FTTH,DELETE,10D<T<=1M,COLLECT ONT,MD-CPE-NC,31-MAR-22
R-MD,MD202204030081372,AB-FTTH,DELETE,10D<T<=1M,COLLECT ONT,MD-CPE-NC,03-APR-22
