RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-MD,MD202301020075022,AB-CAB,MODIFY-LOCATION,T<=3D,CONSTRUCT OSP,MD-MD-OSP-NC,02-JAN-23
R-MD,CEN202211160001938,AB-CAB,CREATE,T>1M,CONSTRUCT OSP,MD-CEN-OSP-NC,16-NOV-22
R-MD,CEN202209190010086,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,MD-RTOFFICE,23-SEP-22
R-MD,MD202211220036211,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,MD-RTOFFICE,01-DEC-22
R-MD,SI202101020074581,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-ENT-GOV-ACCM,03-JAN-21
R-MD,CEN202112060024594,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,SALES-ENT-LB-ACCM,06-DEC-21
R-MD,CEN202008040063017,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,CEN-CNR,09-SEP-20
R-MD,CEN202205090071296,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,MD-RTOFFICE,19-MAY-22
R-MD,CEN202112140031233,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,SALES-ENT-GOV-ACCM,14-DEC-21
R-MD,CEN202208120013084,AB-CAB,CREATE,T>1M,CLOSE IDD PROVISION,MD-RTOFFICE,12-AUG-22
R-MD,CEN202212190074954,AB-CAB,CREATE,7D<T<=1M,CONSTRUCT OSP,MD-CEN-OSP-NC,20-DEC-22
R-MD,MD202211170053670,AB-CAB,CREATE-RECON,T>1M,RECONST OSP_MANUAL,MD-RTOFFICE,17-NOV-22
R-MD,CEN202206160038736,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,MD-RTOFFICE,20-JUN-22
R-MD,CEN202208180099950,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,MD-RTOFFICE,22-SEP-22
R-MD,CEN202001210072043,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,CEN-CNR,11-AUG-20
R-MD,CEN202211290079238,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,MD-CEN-OSP-NC,29-NOV-22
R-MD,CEN202211170046258,AB-CAB,CREATE,T>1M,CONSTRUCT OSP,MD-CEN-OSP-NC,17-NOV-22
R-MD,MD202211230075481,AB-CAB,CREATE,T>1M,CLOSE IDD PROVISION,MD-RTOFFICE,23-NOV-22
R-MD,MD202209130066308,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,MD-RTOFFICE,23-SEP-22
R-MD,CEN202005280097156,AB-CAB,CREATE,T>1M,WAIT VOICE REG ID,MD-RTOFFICE,28-MAY-20
R-MD,MTK202211090009815,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,MD-RTOFFICE,10-NOV-22
R-MD,MD202210060061182,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,MD-RTOFFICE,07-OCT-22
R-MD,CEN202211220042962,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,MD-CEN-OSP-NC,22-NOV-22
R-MD,CEN202212190064340,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,MD-CEN-MDF,19-DEC-22
R-MD,MD202108030029012,AB-CAB,MODIFY-LOCATION,T>1M,RECONSTRUCT OSP,CLARITY,06-AUG-21
R-MD,CEN202209160024714,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,MD-RTOFFICE,19-SEP-22
R-MD,CEN202212220068550,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,MD-CEN-MDF,22-DEC-22
R-MD,CEN202212060045023,AB-CAB,CREATE,7D<T<=1M,WAIT NOTIFY CUSTOMER,MD-RTOFFICE,06-DEC-22
R-MD,MD202208190025050,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,MD-RTOFFICE,23-AUG-22
R-MD,CEN202210220085789,AB-CAB,MODIFY-LOCATION,T>1M,VERIFY CONSTRUCTION,MD-CEN-OSP-NC,25-OCT-22
R-MD,MD202212210032333,AB-CAB,MODIFY-LOCATION,7D<T<=1M,CONSTRUCT OSP,MD-MD-OSP-NC,21-DEC-22
R-MD,MD202212240018347,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,MD-MD-MDF,24-DEC-22
R-MD,MD202212240018353,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,MD-MD-MDF,24-DEC-22
R-MD,MD202206200030576,AB-CAB,CREATE-OR,T>1M,CLOSE IDD PROVISION,MD-RTOFFICE,28-JUN-22
R-MD,CEN202210110077877,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,MD-CEN-MDF,11-OCT-22
