RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-ND,ND202112280092080,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-ENT-MB-ACCM,28-DEC-21
R-ND,GNA202204040007606,AB-CAB,MODIFY-LOCATION,3D<T<=7D,WAIT SOP  PROVISION,ND-RTOFFICE,06-APR-22
R-ND,EMU202204070000060,AB-CAB,CREATE,T<=3D,WIRE MSAN,ND-EMU-MDF,07-APR-22
R-ND,KIR202203030035728,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,07-MAR-22
R-ND,KIR202106110002453,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,14-JUN-21
R-ND,KIR202110070087309,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,SALES-ENT-GOV-ACCM,07-OCT-21
R-ND,BS202112010094159,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,SALES-SME-NCP-ACCM,01-DEC-21
R-ND,BS202107090019774,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,14-AUG-21
R-ND,ND202203310089997,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,ND-RTOFFICE,01-APR-22
R-ND,GNA202012150080248,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,SALES-ENT-MB-ACCM,21-DEC-20
R-ND,ND202108040065396,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,08-AUG-21
R-ND,KAU202007200012229,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,ND-RTOFFICE,21-JUL-20
R-ND,EMU202202210023312,AB-CAB,CREATE,T>1M,WAIT VOICE REG ID,ND-RTOFFICE,21-FEB-22
R-ND,BS202104270099609,AB-CAB,CREATE,T>1M,WIRE MSAN,SALES-ENT-LB-ACCM,27-APR-21
R-ND,GNA202204010034317,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,ND-RTOFFICE,04-APR-22
R-ND,GNA202204040002029,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,ND-GNA-OSP-NC,04-APR-22
R-ND,ND202001130003901,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,ND-RTOFFICE,29-JAN-20
R-ND,KIR202106110002432,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,14-JUN-21
R-ND,ND202112280092184,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-ENT-MB-ACCM,28-DEC-21
R-ND,ND202203310088129,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,ND-RTOFFICE,01-APR-22
R-ND,ND202203310091179,AB-CAB,CREATE-RECON,7D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,31-MAR-22
R-ND,ND202104230020333,AB-CAB,CREATE,T>1M,RESERVE FACILITIES,WT-RTOFFICE,23-APR-21
R-ND,BS202107160092881,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,16-AUG-21
R-ND,ND202107150076291,AB-CAB,MODIFY-LOCATION,T>1M,VERIFY  CONSTRUCTION,SALES-SME-METS-ACCM,17-AUG-21
R-ND,EMU202203220075697,AB-CAB,CREATE-OR,7D<T<=1M,WIRE MSAN,ND-EMU-MDF,22-MAR-22
R-ND,ND202107120017840,AB-CAB,MODIFY-LOCATION,T>1M,VERIFY  CONSTRUCTION,SALES-SME-METS-ACCM,23-AUG-21
R-ND,EMU202008280057619,AB-CAB,CREATE,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,28-AUG-20
R-ND,KIR202204040003654,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,ND-KIR-OSP-NC,04-APR-22
R-ND,KIR202203180017590,AB-CAB,CREATE-OR,7D<T<=1M,IDENTIFY FACILITIES,MD-CNR,18-MAR-22
R-ND,BS202112080085404,AB-CAB,CREATE-OR,T>1M,CLOSE IDD PROVISION,ND-RTOFFICE,15-DEC-21
R-ND,GNA202203110086217,AB-CAB,CREATE-RECON,7D<T<=1M,WIRE MSAN,ND-CNR,11-MAR-22
R-ND,ND202202220073080,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,ND-RTOFFICE,15-MAR-22
R-ND,ND202204080050137,AB-CAB,CREATE-OR,T<=3D,WIRE MSAN,ND-ND-MDF,08-APR-22
R-ND,KIR202204060068210,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,ND-KIR-OSP-NC,06-APR-22
R-ND,ND202203310088008,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,ND-RTOFFICE,01-APR-22
R-ND,KIR202112100043704,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,SALES-ENT-GOV-ACCM,23-DEC-21
R-ND,ND202201070044055,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,SALES-SME-WPSE,13-JAN-22
R-ND,ND202107120017840,AB-CAB,MODIFY-LOCATION,T>1M,VERIFY CONSTRUCTION,SALES-SME-METS-ACCM,23-AUG-21
R-ND,EMU202008280057729,AB-CAB,CREATE,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,28-AUG-20
R-ND,ND202204070014049,AB-CAB,MODIFY-LOCATION,T<=3D,WIRE MSAN,ND-ND-MDF,07-APR-22
R-ND,ND202204020062346,AB-CAB,CREATE,3D<T<=7D,VERIFY CONSTRUCTION,ND-ND-OSP-NC,02-APR-22
R-ND,ND202204060060895,AB-CAB,CREATE,T<=3D,CONSTRUCT OSP,ND-ND-OSP-NC,06-APR-22
R-ND,BS202111300043645,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,05-DEC-21
R-ND,EMU202105040072396,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-SME-METS-ACCM,04-MAY-21
R-ND,ND202102180041034,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-SME-WPN-ACCM,24-FEB-21
R-ND,ND202202220071015,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,26-FEB-22
R-ND,ND202204070013026,AB-CAB,CREATE,T<=3D,WIRE MSAN,ND-ND-MDF,07-APR-22
R-ND,KIR202202070079121,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,ND-RTOFFICE,08-FEB-22
R-ND,GNA202203250049198,AB-CAB,MODIFY-LOCATION,7D<T<=1M,CONSTRUCT OSP,ND-GNA-OSP-NC,25-MAR-22
R-ND,ND202107150076291,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,SALES-SME-METS-ACCM,17-AUG-21
R-ND,ND202203240027523,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,ND-RTOFFICE,31-MAR-22
R-ND,BS202112280094359,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,31-DEC-21
R-ND,BS202203190026162,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,ND-CNR,19-MAR-22
R-ND,KAU202110110060776,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,SALES-ENT-GOV-ACCM,11-OCT-21
R-ND,BS202204070002656,AB-CAB,CREATE-RECON,T<=3D,WIRE MSAN,ND-BS-MDF,07-APR-22
R-ND,ND202203250048836,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT SOP  PROVISION,ND-RTOFFICE,06-APR-22
R-ND,ND202112270054907,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,31-DEC-21
R-ND,BS202112310070618,AB-CAB,CREATE,T>1M,WIRE MSAN,SALES-SME-WPS-ACCM,31-DEC-21
R-ND,ND202108180038221,AB-CAB,MODIFY-LOCATION,T>1M,RECONSTRUCT OSP,CLARITY,23-AUG-21
R-ND,GNA202202230089325,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,26-FEB-22
R-ND,GNA202204050046152,AB-CAB,CREATE,T<=3D,RESERVE FACILITIES,SALES-ENT-GOV-ACCM,07-APR-22
R-ND,ND202204080040666,AB-CAB,CREATE,T<=3D,WIRE MSAN,ND-ND-MDF,08-APR-22
R-ND,ND202203280093696,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT SOP  PROVISION,ND-RTOFFICE,06-APR-22
R-ND,KAU202202170012871,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,SALES-SME-METS-ACCM,17-FEB-22
R-ND,GNA202103010079383,AB-CAB,CREATE,T>1M,WIRE MSAN,SALES-ENT-GOV-ACCM,01-MAR-21
R-ND,ND202203120031876,AB-CAB,CREATE-OR,7D<T<=1M,CONSTRUCT OSP,ND-ND-OSP-NC,12-MAR-22
R-ND,ND202107150076291,AB-CAB,MODIFY-LOCATION,T>1M,VERIFY CONSTRUCTION,SALES-SME-METS-ACCM,17-AUG-21
R-ND,ND202107120017840,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,SALES-SME-METS-ACCM,23-AUG-21
R-ND,EMU202008280057492,AB-CAB,CREATE,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,28-AUG-20
R-ND,ND202101210007960,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,SALES-SME-METS-ACCM,21-JAN-21
R-ND,ND202112210048554,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,06-JAN-22
R-ND,ND202110290024016,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,ND-RTOFFICE,04-NOV-21
R-ND,KIR202201200068874,AB-CAB,CREATE,T>1M,WIRE MSAN,SALES-ENT-GOV-ACCM,20-JAN-22
R-ND,GNA202107090025158,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,SALES-ENT-GOV-ACCM,09-JUL-21
R-ND,ND202012230038101,AB-CAB,CREATE,T>1M,WIRE MSAN,SALES-SME-METS-ACCM,23-DEC-20
