RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-NTB,MI202012230028520,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,NTB-RTOFFICE,23-DEC-20
R-NTB,MI202202170095525,AB-CAB,CREATE,T>1M,RESERVE FACILITIES,NTB-MI-OSP-CDM,17-FEB-22
R-NTB,PC202201230071644,AB-CAB,CREATE,T>1M,RESERVE FACILITIES,NTB-PC-OSP-CDM,23-JAN-22
R-NTB,MI202203140090055,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,NTB-RTOFFICE,14-MAR-22
R-NTB,VG202203210040379,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,NTB-RTOFFICE,21-MAR-22
R-NTB,MI202203250053485,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,NTB-MI-OSP-CDM,25-MAR-22
R-NTB,MI202204050037190,AB-CAB,CREATE,7D<T<=1M,CONSTRUCT OSP,NTB-MI-OSP-NC,08-APR-22
R-NTB,MI202204080041353,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,NTB-RTOFFICE,08-APR-22
R-NTB,PC202203110091731,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,NTB-PC-OSP-CDM,11-MAR-22
R-NTB,PC202204060069701,AB-CAB,CREATE-RECON,7D<T<=1M,IDENTIFY FACILITIES,NTB-RTOFFICE,06-APR-22
R-NTB,VG202111110035400,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,NTB-RTOFFICE,18-DEC-21
R-NTB,RAN202112300058949,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,NTB-RTOFFICE,04-JAN-22
R-NTB,VG202201050099239,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,NTB-RTOFFICE,12-JAN-22
R-NTB,MI202101130067218,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,NTB-RTOFFICE,13-JAN-21
R-NTB,KDY202102110046930,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,NTB-RTOFFICE,11-FEB-21
R-NTB,MI202112160038905,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,NTB-RTOFFICE,16-DEC-21
R-NTB,VG202203090096618,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,NTB-RTOFFICE,09-MAR-22
R-NTB,VG202204010028667,AB-CAB,CREATE-OR,7D<T<=1M,WAIT VOICE REG ID,NTB-RTOFFICE,01-APR-22
R-NTB,MI202203070024884,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,NTB-RTOFFICE,24-MAR-22
R-NTB,KAL202204070010444,AB-CAB,CREATE,7D<T<=1M,IDENTIFY FACILITIES,NTB-KAL-OSP-CDM,07-APR-22
R-NTB,KAL202006090031601,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,NTB-RTOFFICE,10-JUN-20
R-NTB,VG202106290046693,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,NTB-RTOFFICE,01-AUG-21
R-NTB,VG202110210005387,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,NTB-RTOFFICE,13-NOV-21
R-NTB,VG202111120086384,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,NTB-RTOFFICE,01-DEC-21
R-NTB,VG202111190071975,AB-CAB,MODIFY-LOCATION,T>1M,RECONSTRUCT OSP,CLARITY,03-DEC-21
R-NTB,RAN202204060066024,AB-CAB,MODIFY-LOCATION,7D<T<=1M,CONSTRUCT OSP,NTB-RAN-OSP-NC,06-APR-22
R-NTB,PC202012010025269,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,NTB-RTOFFICE,01-DEC-20
