RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-NW,NW202109220068493,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,NW-RTOFFICE,23-SEP-21
R-NW,NW202206270005555,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,NW-NW-OSP-NC,27-JUN-22
R-NW,NW202003170089979,AB-CAB,CREATE,T>1M,RECONST OSP_MANUAL,SALES-SME-CEP-ACCM,09-JUL-20
R-NW,NW202206230024504,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,NW-NW-OSP-NC,23-JUN-22
R-NW,NW202112280001013,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,NW-RTOFFICE,29-DEC-21
R-NW,NW202110060080630,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,NW-RTOFFICE,15-OCT-21
R-NW,RB202109080032706,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,NW-RTOFFICE,26-APR-22
R-NW,NW202007140018696,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,NW-RTOFFICE,22-JUL-20
R-NW,HGY202207070017743,AB-CAB,CREATE,7D<T<=1M,CONSTRUCT OSP,NW-HGY-OSP-NC,08-JUL-22
R-NW,NW202207150057248,AB-CAB,CREATE-RECON,7D<T<=1M,CONSTRUCT OSP,NW-NW-OSP-NC,15-JUL-22
R-NW,RB202201010093761,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,NW-RTOFFICE,12-FEB-22
R-NW,NW202205180019269,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,NW-NW-OSP-NC,20-MAY-22
R-NW,WTM202203100051642,AB-CAB,CREATE-RECON,T>1M,CANCEL SERVICE ORDER,NW-RTOFFICE,06-APR-22
R-NW,NW202108090078823,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,NW-RTOFFICE,09-AUG-21
R-NW,NW202205270070595,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,NW-NW-OSP-NC,27-MAY-22
R-NW,NW202010220089084,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,NW-RTOFFICE,25-OCT-20
R-NW,NW202206210068189,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,NW-NW-OSP-NC,21-JUN-22
R-NW,NW202205180019240,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,NW-RTOFFICE,20-MAY-22
R-NW,NW202006220017120,AB-CAB,MODIFY-LOCATION,T>1M,CANCEL SERVICE ORDER,NW-RTOFFICE,20-JAN-21
R-NW,HGY202110300049679,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,NW-RTOFFICE,08-APR-22
R-NW,NW202207270091611,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,NW-NW-OSP-NC,27-JUL-22
R-NW,NW202203220086718,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,NW-RTOFFICE,22-MAR-22
R-NW,NW202203300063654,AB-CAB,CREATE,T>1M,VERIFY CONSTRUCTION,NW-RTOFFICE,31-MAR-22
R-NW,NW202108090078804,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,NW-RTOFFICE,09-AUG-21
R-NW,NW202002180021222,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,NW-RTOFFICE,18-FEB-20
R-NW,NW202203220075354,AB-CAB,CREATE,T>1M,CLOSE IDD PROVISION,NW-RTOFFICE,22-MAR-22
