RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-PH,PH202007140015334,AB-CAB,CREATE,T>1M,RECONST OSP_MANUAL,PH-CNR,16-OCT-20
R-PH,BDG202103280062424,AB-CAB,CREATE,3D<T<=7D,RESOLVE CONST ISSUE,PH-BDG-OSP-NC,28-MAR-21
R-PH,PH202010260054762,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,PH-CNR,26-OCT-20
R-PH,BDG202103270059941,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,PH-RTOFFICE,28-MAR-21
R-PH,WDW202103280062446,AB-CAB,CREATE,3D<T<=7D,WIRE MSAN,PH-RTOFFICE,28-MAR-21
R-PH,PH202104010033550,AB-CAB,CREATE,T<=3D,WIRE MSAN,PH-PH-MDF,01-APR-21
R-PH,PH202104030062688,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,PH-RSFU,03-APR-21
R-PH,PH201906040089218,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,PH-RTOFFICE,05-JUN-19
R-PH,BDG201906110020921,AB-CAB,MODIFY-LOCATION,T>1M,IDENTIFY FACILITIES,PH-PPL,11-JUN-19
R-PH,BDG201912220086503,AB-CAB,CREATE-OR,T>1M,TEST SERVICE,PH-PPL,07-FEB-20
R-PH,WDW202008050075201,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,PH-RTOFFICE,14-SEP-20
R-PH,PH202010050048882,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,PH-RTOFFICE,14-NOV-20
R-PH,PH202101080036837,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,PH-RTOFFICE,09-JAN-21
R-PH,WDW202103110063710,AB-CAB,MODIFY-LOCATION,7D<T<=1M,RESOLVE CONST ISSUE,PH-WDW-OSP-NC,16-MAR-21
R-PH,PH202103180021344,AB-CAB,MODIFY-LOCATION,7D<T<=1M,VERIFY CONSTRUCTION,PH-RTOFFICE,23-MAR-21
R-PH,PH202103190061570,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,PH-RTOFFICE,24-MAR-21
R-PH,PH202007310025200,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,PH-RTOFFICE,14-SEP-20
R-PH,PH202012140039766,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,PH-RTOFFICE,23-DEC-20
R-PH,PH202102030069758,AB-CAB,MODIFY-LOCATION,T>1M,VERIFY  CONSTRUCTION,PH-RTOFFICE,16-FEB-21
R-PH,KSW202102100017000,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,PH-RTOFFICE,16-FEB-21
R-PH,PH202102120081515,AB-CAB,MODIFY-LOCATION,T>1M,VERIFY  CONSTRUCTION,SALES-SME-WPS-ACCM,02-MAR-21
R-PH,PH202103150010240,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,PH-RTOFFICE,20-MAR-21
R-PH,BDG202103290069398,AB-CAB,MODIFY-LOCATION,3D<T<=7D,CONSTRUCT OSP,PH-BDG-OSP-NC,29-MAR-21
R-PH,BDG201904290045758,AB-CAB,CREATE,T>1M,RECONSTRUCT OSP,PH-CONTRACTOR,05-MAY-19
R-PH,BDG202007280029322,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,PH-RTOFFICE,15-SEP-20
R-PH,PH201910160090674,AB-CAB,CREATE,T>1M,WIRE MSAN,PH-RTOFFICE,16-OCT-19
R-PH,BDG201910180050048,AB-CAB,CREATE,T>1M,WIRE MSAN,PH-PPL,18-OCT-19
R-PH,BDG202103040068047,AB-CAB,CREATE,T>1M,WIRE MSAN,RM-RTOFFICE,04-MAR-21
R-PH,WDW202103100025304,AB-CAB,CREATE,7D<T<=1M,WIRE MSAN,PH-RTOFFICE,10-MAR-21
R-PH,PH202103180022430,AB-CAB,CREATE,7D<T<=1M,RESOLVE CONST ISSUE,PH-PH-OSP-NC,18-MAR-21
R-PH,PH202103260048012,AB-CAB,CREATE,7D<T<=1M,CONSTRUCT OSP,PH-PH-OSP-NC,26-MAR-21
