RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-RM,PYL202209060075864,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-PYL-OSP-NC,06-SEP-22
R-RM,PYL202209060076808,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-PYL-OSP-NC,06-SEP-22
R-RM,MAK202209120025396,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-MAK-OSP-NC,12-SEP-22
R-RM,PYL202210250014225,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,RM-PYL-OSP-NC,25-OCT-22
R-RM,PYL202209060076523,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-PYL-OSP-NC,06-SEP-22
R-RM,MV202209120026236,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-MV-OSP-NC,12-SEP-22
R-RM,MRA202209060078260,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-MRA-OSP-NC,06-SEP-22
R-RM,MV202210180032519,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,RM-MV-OSP-NC,18-OCT-22
R-RM,EGD202209060078369,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-EGD-OSP-NC,06-SEP-22
R-RM,HON202209070080720,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-HON-OSP-NC,07-SEP-22
R-RM,BAK202209120024764,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-BAK-OSP-NC,12-SEP-22
R-RM,MAK202209220034933,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,RM-MAK-OSP-NC,22-SEP-22
R-RM,MAK202209060076916,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-MAK-OSP-NC,06-SEP-22
R-RM,WET202209070080718,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-WET-OSP-NC,07-SEP-22
R-RM,MV202209120026489,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-MV-OSP-NC,12-SEP-22
R-RM,RM202209060075473,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-RM-OSP-NC,06-SEP-22
R-RM,BAK202209070078648,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-BAK-OSP-NC,07-SEP-22
R-RM,MV202209120029919,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-MV-OSP-NC,12-SEP-22
R-RM,MF202209150065871,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,RM-MF-OSP-NC,15-SEP-22
R-RM,PYL202209060075747,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-PYL-OSP-NC,06-SEP-22
R-RM,WET202209120025485,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-WET-OSP-NC,12-SEP-22
R-RM,MV202209120028339,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-MV-OSP-NC,12-SEP-22
R-RM,RM202209200051368,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,RM-RM-OSP-NC,20-SEP-22
R-RM,MV202209210086694,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,RM-MV-OSP-NC,21-SEP-22
R-RM,MV202211020059829,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,RM-MV-OSP-NC,02-NOV-22
R-RM,PYL202209220036097,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,RM-PYL-OSP-NC,22-SEP-22
R-RM,MV202209120027092,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-MV-OSP-NC,12-SEP-22
R-RM,PYL202209220039649,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,RM-PYL-OSP-NC,22-SEP-22
R-RM,PYL202210070099869,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,RM-PYL-OSP-NC,07-OCT-22
R-RM,RM202209060075962,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-RM-OSP-NC,06-SEP-22
R-RM,MV202209120026609,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-MV-OSP-NC,12-SEP-22
R-RM,MV202209120027885,AB-CAB,DELETE,T>1M,REMV OSP_VOICE CPE,RM-MV-OSP-NC,12-SEP-22
R-RM,MV202210250027445,AB-CAB,DELETE,7D<T<=1M,REMV OSP & VOICE CPE,RM-MV-OSP-NC,25-OCT-22
R-RM,RM202211090029737,AB-CAB,DELETE,T<=3D,REMV OSP & VOICE CPE,RM-RM-OSP-NC,09-NOV-22
R-RM,PYL202209300069728,AB-CAB,DELETE,T>1M,REMV OSP & VOICE CPE,RM-PYL-OSP-NC,30-SEP-22
