RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-RM,RM202210070088875,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,RM-RTOFFICE,11-OCT-22
R-RM,RM202208080046799,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,RM-RTOFFICE,24-AUG-22
R-RM,MV202201240098953,AB-CAB,CREATE-OR,T>1M,RESOLVE CONST ISSUE,SALES-ENT-MB-ACCM,30-JAN-22
R-RM,MV202207120085408,AB-CAB,CREATE-OR,T>1M,WAIT SOP  PROVISION,RM-RTOFFICE,16-AUG-22
R-RM,BAK202110040004603,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,RM-RTOFFICE,06-OCT-21
R-RM,MV202212060047119,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,SALES-SME-WPC1-ACCM,06-DEC-22
R-RM,MV202206010003579,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,RM-RTOFFICE,03-JUN-22
R-RM,MV202205040066129,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,RM-RTOFFICE,13-MAY-22
R-RM,MV202204020058857,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,RM-RTOFFICE,07-APR-22
R-RM,MV202201210025456,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,RM-RTOFFICE,28-JAN-22
R-RM,MV202301020079974,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT VOICE SO,RM-RSFU,02-JAN-23
R-RM,PYL202209010098103,AB-CAB,CREATE-OR,T>1M,CLOSE IDD PROVISION,RM-RTOFFICE,13-SEP-22
R-RM,MV202107010041972,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,RM-RTOFFICE,02-JUL-21
R-RM,MLP202206080099339,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,RM-RTOFFICE,10-JUN-22
R-RM,MF202210280032679,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,RM-RTOFFICE,14-NOV-22
R-RM,EGD202301030093923,AB-CAB,CREATE-OR,3D<T<=7D,WAIT VOICE REG ID,RM-RTOFFICE,03-JAN-23
R-RM,MV202301040019233,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,RM-MV-OSP-NC,04-JAN-23
R-RM,RM202301040015311,AB-CAB,MODIFY-LOCATION,3D<T<=7D,RESERVE FACILITIES,RM-RSFU,04-JAN-23
R-RM,MV202107270085156,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,RM-RTOFFICE,04-AUG-21
R-RM,MV202203250037020,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,RM-RTOFFICE,31-MAR-22
