RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-WT,WT202007090007871,AB-CAB,CREATE,T>1M,RESERVE FACILITIES,WT-RTOFFICE,13-JUL-20
R-WT,WT202010130050885,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,WT-RTOFFICE,14-OCT-20
R-WT,RG202011100077265,AB-CAB,CREATE,T>1M,RESERVE FACILITIES,WT-RTOFFICE,11-NOV-20
R-WT,JL202012170051301,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,WT-RTOFFICE,23-DEC-20
R-WT,WT202012210066786,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,WT-RTOFFICE,22-DEC-20
R-WT,JL202101110002693,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,WT-RTOFFICE,11-JAN-21
R-WT,JL202103190061148,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,WT-RTOFFICE,27-MAR-21
R-WT,WT202105050006470,AB-CAB,CREATE,7D<T<=1M,CONSTRUCT OSP,WT-WT-OSP-NC,05-MAY-21
R-WT,JL202105040066990,AB-CAB,CREATE-RECON,7D<T<=1M,CONSTRUCT OSP,WT-JL-OSP-NC,04-MAY-21
R-WT,JL202010190013229,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,WT-RTOFFICE,19-OCT-20
R-WT,RG201910140043578,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,WT-RTOFFICE,22-NOV-19
R-WT,JL201910310044643,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,WT-RTOFFICE,27-NOV-19
R-WT,WT201911230016107,AB-CAB,CREATE,T>1M,RESERVE FACILITIES,WT-RTOFFICE,23-NOV-19
R-WT,WT201901230023444,AB-CAB,MODIFY-LOCATION,T>1M,CONSTRUCT OSP,WT-RTOFFICE,23-JAN-19
R-WT,JL201904060096102,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,WT-RTOFFICE,10-APR-19
R-WT,JL201907040031008,AB-CAB,CREATE,T>1M,CONSTRUCT OSP,WT-RTOFFICE,04-JUL-19
R-WT,JL202007170022648,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,WT-RTOFFICE,17-JUL-20
R-WT,JL202009160027847,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,WT-RTOFFICE,16-SEP-20
R-WT,WT202009280038601,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,WT-RTOFFICE,28-SEP-20
R-WT,WT202104160028515,AB-CAB,CREATE-OR,T>1M,CONSTRUCT OSP,WT-WT-OSP-NC,21-APR-21
R-WT,JL201904060094516,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,WT-RTOFFICE,11-APR-19
R-WT,RG201907260031250,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,WT-RTOFFICE,06-AUG-19
R-WT,RG202011040084534,AB-CAB,CREATE,T>1M,RESERVE FACILITIES,WT-RTOFFICE,11-NOV-20
R-WT,JL202101060054884,AB-CAB,CREATE,T>1M,WAIT NOTIFY CUSTOMER,WT-RTOFFICE,08-JAN-21
R-WT,JL202102250023263,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,WT-RTOFFICE,23-MAR-21
R-WT,JL202104170033133,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,WT-RTOFFICE,28-APR-21
R-WT,JL202104230025250,AB-CAB,CREATE,T>1M,WIRE MSAN,WT-RTOFFICE,23-APR-21
R-WT,WT202105050006997,AB-CAB,CREATE,7D<T<=1M,WAIT NOTIFY CUSTOMER,WT-RTOFFICE,05-MAY-21
R-WT,RG202105050006959,AB-CAB,MODIFY-LOCATION,7D<T<=1M,RESERVE FACILITIES,WT-RG-OSP-NC,05-MAY-21
