FDP LOCATION,FDP DESCRIPTION,FDP INDEX
WEL-BNT-00002,WEL-BNT-0527-004,004
WEL-BNT-00002,WEL-BNT-0527-005,005
WEL-BNT-00002,WEL-BNT-0527-006,006
SI-CMB-00003,SI-CMB-0515-003,003
SI-CMB-00003,SI-CMB-0515-004,004
DJ-DUL-00501,DJ-DUL-0553-001,001
DJ-DUL-00502,DJ-DUL-0553-002,001
DJ-DUL-00503,DJ-DUL-0553-003,001
DJ-DUL-00505,DJ-DUL-0553-005,001
DJ-DUL-00506,DJ-DUL-0553-006,001
DJ-DUL-00507,DJ-DUL-0553-007,001
DJ-DUL-00508,DJ-DUL-0553-008,001
DJ-DUL-00509,DJ-DUL-0553-009,001
AD-NKR-00503,AD-NKR-0506-003,001
AD-NKR-00509,AD-NKR-0506-009,001
AD-NKR-00508,AD-NKR-0506-008,001
AD-NKR-00510,AD-NKR-0506-010,001
AD-NKR-00511,AD-NKR-0506-011,001
AD-NKR-00512,AD-NKR-0506-012,001
AD-NKR-00516,AD-NKR-0506-016,001
AD-NNP-00506,AD-NNP-0528-006,001
AD-NNP-00507,AD-NNP-0528-007,001
BG-MST-00010,BG-MST-0507-010,001
BG-MST-00011,BG-MST-0507-011,001
MV-QRR-00035,MV-QRR-0520-035,001
RK-PNW-00501,RK-PNW-0503-001,001
RK-PNW-00502,RK-PNW-0503-002,001
RK-PNW-00505,RK-PNW-0503-005,001
RK-PNW-00506,RK-PNW-0503-006,001
RK-PNW-00507,RK-PNW-0503-007,001
MV-QRR-00033,MV-QRR-0520-033,001
MV-QRR-00030,MV-QRR-0520-030,001
BS-EDW-00015,BS-EDW-0505-015,001
BS-EDW-00023,BS-EDW-0505-023,001
BS-EDW-00026,BS-EDW-0505-026,001
HO-PTJ-00501,HO-PTJ-0563-001,001
HO-PTJ-00502,HO-PTJ-0563-002,001
HO-PTJ-00503,HO-PTJ-0563-003,001
HO-PTJ-00504,HO-PTJ-0563-004,001
HO-PTJ-00505,HO-PTJ-0563-005,001
HO-PTJ-00506,HO-PTJ-0563-006,001
HO-PTJ-00507,HO-PTJ-0563-007,001
HO-PTJ-00508,HO-PTJ-0563-008,001
