FDP LOCATION,FDP DESCRIPTION,FDP INDEX
BR-BR-00381,BR-DFA-0500-024,001
BR-CUR-00002,BR-CUR-0512-001,001
BT-DRG-00114,BT-DRG-0502-009,001
BT-DRG-00113,BT-DRG-0502-007,001
BT-DRG-00112,BT-DRG-0502-005,001
BT-DLG-00002,BT-DLG-0503-002,001
BT-BT-00314,BT-DFA-0500-005,001
BT-SNW-00118,BT-SNW-0504-014,001
KT-FSR-00003,KT-FSR-0510-003,001
KT-KT-00847,KT-DFA-0500-008,001
KT-RJM-00007,KT-RJM-0501-014,001
KT-RJM-00003,KT-RJM-0501-004,001
KT-RJM-00005,KT-RJM-0501-011,001
KT-GDS-00002,KT-GDS-0520-001,001
KT-GDS-00003,KT-GDS-0520-004,001
KT-GDS-00006,KT-GDS-0520-014,001
BT-FMP-00003,BT-FMP-0509-004,001
KT-FSR-00006,KT-FSR-0510-008,001
KT-FSR-00007,KT-FSR-0510-009,001
KT-FSR-00008,KT-FSR-0510-014,001
KT-KCB-00003,KT-KCB-0513-006,001
KT-PTR-00002,KT-PTR-0515-001,001
KT-RJM-00008,KT-RJM-0501-015,001
KT-RJM-00009,KT-RJM-0501-016,001
MGM-MGM-00380,MGM-MGM-0502-009,001
PH-NJW-00091,PH-NJW-0503-027,001
PH-NJW-00092,PH-NJW-0503-028,001
PH-UPR-00010,PH-UPR-0505-019,001
PH-PWT-00124,PH-PWT-0504-023,001
PH-WLN-00111,PH-WLN-0524-018,001
PH-PWT-00126,PH-PWT-0504-034,001
PH-PWT-00123,PH-PWT-0504-022,001
PH-PWT-00125,PH-PWT-0504-028,001
PH-WLN-00108,PH-WLN-0524-012,001
PH-WLN-00109,PH-WLN-0524-014,001
PH-WLN-00110,PH-WLN-0524-009,001
PH-NJW-00100,PH-NJW-0503-046,001
PH-NJW-00099,PH-NJW-0503-037,001
PH-NJW-00101,PH-NJW-0503-051,001
PH-NJW-00103,PH-NJW-0503-054,001
PH-PH-00878,PH-DFA-0500-011,001
DGD-DGD-00280,DGD-DFA-0500-009,001
