FDP LOCATION,FDP DESCRIPTION,FDP INDEX
AW-ARK-00002,AW-ARK-0512-002,001
AW-ARK-00011,AW-ARK-0512-011,001
AW-DRP-00008,AW-DRP-0515-008,001
AW-DRP-00017,AW-DRP-0515-017,001
AW-BOI-00029,AW-BOI-0501-029,001
AW-PWK-00021,AW-PWK-0502-021,001
AW-PWK-00018,AW-PWK-0502-018,001
AW-KDM-00022,AW-KDM-0506-022,001
AW-UKW-00004,AW-UKW-0503-004,001
AW-KDG-00141,AW-KDG-0505-041,001
AW-NRH-00002,AW-NRH-0509-002,001
BG-BLG-00103,BG-BLG-0501-003,001
BG-MST-00009,BG-MST-0507-009,001
BR-BR-00382,BR-DFA-0500-028,001
BR-BR-00379,BR-DFA-0500-021,001
BR-CUR-00005,BR-CUR-0512-007,001
BR-MGL-00078,BR-MGL-0511-011,001
BR-MGL-00071,BR-MGL-0511-001,001
BT-DRG-00119,BT-DRG-0502-016,001
BT-DRG-00115,BT-DRG-0502-010,001
BT-ABJ-00004,BT-ABJ-0505-013,001
BT-ABJ-00005,BT-ABJ-0505-015,001
BT-ARH-00035,BT-ARH-0512-003,001
BT-KWN-00033,BT-KWN-0501-005,001
BT-BT-00319,BT-DFA-0500-013,001
BT-DLG-00010,BT-DLG-0503-024,001
BT-KWN-00037,BT-KWN-0501-012,001
BT-KKW-00106,BT-KKW-0517-002,001
BT-SNW-00116,BT-SNW-0504-011,001
EH-DFA-00001,EH-DFA-0500-001,001
KOM-NFS-00001,KOM-NFS-0501-001,001
KOM-NFS-00005,KOM-NFS-0501-005,001
KOM-NCB-00009,KOM-NCB-0502-009,001
KOM-KAJ-00002,KOM-KAJ-0506-002,001
KE-WTJ-00517,KE-WTJ-0504-017,001
KE-HPJ-00512,KE-HPJ-0508-012,001
KE-CMB-00509,KE-CMB-0506-009,001
KE-PRG-00002,KE-PRG-509-002,001
KT-FSR-00003,KT-FSR-0510-003,001
KT-FSR-00005,KT-FSR-0510-005,001
KT-PTR-00002,KT-PTR-0515-001,001
KT-VGR-00007,KT-VGR-0528-0016,001
KT-MLG-00003,KT-MLG-0527-006,001
KT-MLG-00004,KT-MLG-0527-008,001
MNA-HMR-00501,MNA-HMR-0504-001,001
MNA-CRJ-00503,MNA-CRJ-0503-003,001
MNA-NRJ-00507,MNA-NRJ-0505-007,001
MNA-UTW-00505,MNA-UTW-0501-005,001
PH-UPR-00002,PH-UPR-0505-002,001
PH-UPR-00004,PH-UPR-0505-006,001
PH-PVR-00007,PH-PVR-0529-016,001
PH-PWT-00124,PH-PWT-0504-023,001
PH-NJW-00099,PH-NJW-0503-037,001
PH-NJW-00101,PH-NJW-0503-051,001
PH-MWJ-00042,PH-MWJ-0512-002,001
PH-PH-00876,PH-DFA-0500-009,001
PH-PH-00892,PH-DFA-0500-068,001
PH-PH-00887,PH-DFA-0500-034,001
RN-HPJ-00010,RN-HPJ-0505-010,001
RN-NWT-00001,RN-NWT-0506-001,001
RN-BMW-00020,RN-BMW-0504-020,001
WDW-WDW-01228,WDW-DFA-0500-026,001
WDW-WDW-01220,WDW-DFA-0500-007,001
KR-EDW-00501,KR-EDW-0507-001,001
KR-EDW-00505,KR-EDW-0507-008,001
KR-TWN-00008,KR-TWN-0504-008,001
KR-MLW-00001,KR-MLW-0505-001,001
KR-DLG-00111,KR-DLG-0503-003,001
KR-DLG-00113,KR-DLG-0503-004,001
PE-RHE-00504,PE-RHE-0502-004,001
PE-PET-00506,PE-PET-0501-006,001
DGD-PME-00126,DGD-DGD-0501-009,001
DGD-PME-00124,DGD-DGD-0501-006,001
DGD-DHN-00037,DGD-DHN-0503-005,001
DGD-WIP-00019,DGD-DHN-0504-001,001
