FDP LOCATION,FDP DESCRIPTION,FDP INDEX
PX-MNR-50005,PX-MNR-0501-005,001
PX-MNR-50001,PX-MNR-0501-001,001
PX-PCR-50003,PX-PCR-0504-003,001
PX-PCR-50004,PX-PCR-0504-004,001
PX-PCR-50005,PX-PCR-0504-005,001
PX-PCR-50006,PX-PCR-0504-006,001
CW-TWN-50002,CW-TWN-0511-002,001
CW-TWN-50003,CW-TWN-0511-003,001
CW-TWN-50004,CW-TWN-0511-004,001
CW-TWN-50005,CW-TWN-0511-005,001
CW-TWN-50006,CW-TWN-0511-006,001
CW-TWN-50007,CW-TWN-0511-007,001
CW-TWN-50008,CW-TWN-0511-008,001
CW-TWN-50010,CW-TWN-0511-010,001
CW-TWN-50011,CW-TWN-0511-011,001
CW-TWN-50012,CW-TWN-0511-012,001
CW-TWN-50014,CW-TWN-0511-014,001
CW-TWN-50015,CW-TWN-0511-015,001
CW-TWN-50017,CW-TWN-0511-017,001
CW-TWN-50019,CW-TWN-0511-019,001
CW-TWN-50022,CW-TWN-0511-022,001
CW-TWN-50023,CW-TWN-0511-023,001
CW-TWN-50026,CW-TWN-0511-026,001
CW-TWN-50028,CW-TWN-0511-028,001
CW-TWN-50030,CW-TWN-0511-030,001
CW-TWN-50032,CW-TWN-0511-032,001
CW-TWN-50033,CW-TWN-0511-033,001
CW-TWN-50034,CW-TWN-0511-034,001
CW-TWN-50035,CW-TWN-0511-035,001
CW-TWN-50036,CW-TWN-0511-036,001
CW-TWN-50038,CW-TWN-0511-038,001
CW-TWN-50039,CW-TWN-0511-039,001
CW-TWN-50041,CW-TWN-0511-041,001
CW-TWN-50043,CW-TWN-0511-043,001
CW-TWN-50046,CW-TWN-0511-046,001
CW-TWN-50047,CW-TWN-0511-047,001
CW-TWN-50052,CW-TWN-0511-052,001
CW-TWN-50054,CW-TWN-0511-054,001
CW-TWN-50055,CW-TWN-0511-055,001
CW-TWN-50057,CW-TWN-0511-057,001
CW-TWN-50058,CW-TWN-0511-058,001
CW-TWN-00533,CW-TWN-0511-033,001
CW-TWN-00534,CW-TWN-0511-034,001
CW-TWN-00539,CW-TWN-0511-002,001
CW-TWN-00555,CW-TWN-0511-055,001
CW-TWN-00557,CW-TWN-0511-057,001
CW-TWN-00558,CW-TWN-0511-058,001
CW-TWN-00511,CW-TWN-0511-011,001
BNG-MHG-00202,BNG-MHG-0502-002,001
BNG-MHG-00208,BNG-MHG-0502-008,001
CW-TWN-00519,CW-TWN-0511-019,001
CW-TWN-00523,CW-TWN-0511-023,001
KAP-KKL-00104,KAP-KKL-0502-004,001
KAP-KKL-00105,KAP-KKL-0502-005,001
KAP-KKL-00106,KAP-KKL-0502-006,001
KAP-KKL-00107,KAP-KKL-0502-007,001
KAP-KKL-00009,KAP-KKL-0501-009,001
KAP-KKL-00202,KAP-KKL-0503-002,001
KAP-KKL-00204,KAP-KKL-0503-004,001
MX-ODT-00004,MX-ODT-0501-07,001
MX-ODT-00008,MX-ODT-0501-008,001
KAP-MAX-00502,KAP-KKL-0504-002,001
KAP-MAX-00504,KAP-KKL-0504-004,001
KAP-MAX-00506,KAP-KKL-0504-006,001
KAP-MAX-00508,KAP-KKL-0504-008,001
