FDP LOCATION,FDP DESCRIPTION,FDP INDEX
CEN-SNG-00003,CEN-SNG-0516-007,001
CEN-SNG-00004,CEN-SNG-0516-011,001
CEN-SNG-00005,CEN-SNG-0516-012,001
CEN-SNG-00006,CEN-SNG-0516-015,001
CEN-SNG-00010,CEN-SNG-0516-022,001
CEN-SNG-00012,CEN-SNG-0516-024,001
CEN-SNG-00016,CEN-SNG-0516-039,001
CEN-SNG-00017,CEN-SNG-0516-044,001
CEN-SNG-00019,CEN-SNG-0516-049,001
CEN-SNG-00020,CEN-SNG-0516-053,001
CEN-JAM-00002,CEN-JAM-0524-003,001
CEN-JAM-00003,CEN-JAM-0524-004,001
CEN-JAM-00004,CEN-JAM-0524-007,001
CEN-JAM-00005,CEN-JAM-0524-009,001
CEN-JAM-00006,CEN-JAM-0524-010,001
CEN-JAM-00007,CEN-JAM-0524-015,001
CEN-JAM-00008,CEN-JAM-0524-018,001
CEN-JAM-00009,CEN-JAM-0524-019,001
CEN-JAM-00010,CEN-JAM-0524-024,001
CEN-JAM-00011,CEN-JAM-0524-025,001
CEN-JAM-00012,CEN-JAM-0524-027,001
CEN-JAM-00013,CEN-JAM-0524-030,001
CEN-JAM-00014,CEN-JAM-0524-031,001
CEN-JAM-00015,CEN-JAM-0524-032,001
CEN-JAM-00016,CEN-JAM-0524-033,001
CEN-JAM-00017,CEN-JAM-0524-035,001
CEN-JAM-00018,CEN-JAM-0524-038,001
CEN-JAM-00019,CEN-JAM-0524-043,001
CEN-JAM-00020,CEN-JAM-0524-046,001
CEN-JAM-00021,CEN-JAM-0524-047,001
CEN-JAM-00022,CEN-JAM-0524-048,001
CEN-JAM-00023,CEN-JAM-0524-049,001
CEN-JAM-00024,CEN-JAM-0524-050,001
CEN-JAM-00025,CEN-JAM-0524-057,001
CEN-JAM-00026,CEN-JAM-0524-061,001
CEN-EXP-00003,CEN-EXP-0539-001,001
CEN-EXP-00003,CEN-EXP-0539-005,005
CEN-EXP-00003,CEN-EXP-0539-007,007
CEN-EXP-00003,CEN-EXP-0539-008,008
CEN-EXP-00003,CEN-EXP-0539-009,009
CEN-EXP-00003,CEN-EXP-0539-010,010
CEN-WTC-00006,CEN-WTC-0503-005,001
CEN-WTC-00009,CEN-WTC-0503-008,001
CEN-WTC-00020,CEN-WTC-0503-019,001
CEN-WTC-00021,CEN-WTC-0503-020,001
CEN-WTC-00035,CEN-WTC-0503-034,001
CEN-WTC-00036,CEN-WTC-0503-035,001
CEN-WTC-00037,CEN-WTC-0503-036,001
CEN-WTC-00040,CEN-WTC-0503-039,001
CEN-WTC-00044,CEN-WTC-0503-043,001
CEN-WTC-00046,CEN-WTC-0503-045,001
CEN-WTC-00047,CEN-WTC-0503-046,001
CEN-WTC-00048,CEN-WTC-0503-047,001
CEN-WTC-00049,CEN-WTC-0503-048,001
CEN-SLT-00002,CEN-CEN-0500-001,001
CEN-SLT-00003,CEN-CEN-0500-001,001
