FDP LOCATION,FDP DESCRIPTION,FDP INDEX
HAV-MYA-00006,HAV-MYA-0504-007,001
HAV-VER-00002,HAV-VER-0503-001,001
HAV-HRR-00002,HAV-HRR-0538-001,001
HAV-HRR-00004,HAV-HRR-0538-003,001
HAV-HRR-00006,HAV-HRR-0538-005,001
HAV-HRR-00007,HAV-HRR-0538-006,001
HAV-HRR-00008,HAV-HRR-0538-007,001
HAV-PKL-00013,HAV-PKL-0511-031,001
HAV-SWR-00006,HAV-SWR-0505-013,005
HAV-SWR-00006,HAV-SWR-0505-014,006
HAV-SWR-00007,HAV-SWR-0505-019,003
HAV-SWR-00014,HAV-SWR-0505-035,001
HAV-EWA-00003,HAV-EWA-0501-002,001
HAV-EWA-00011,HAV-EWA-0501-011,001
HAV-EWA-00012,HAV-EWA-0501-012,001
HAV-EWA-00013,HAV-EWA-0501-013,001
HAV-HLC-00001,HAV-HLC-0503-001,001
HAV-HLC-00001,HAV-HLC-0503-002,002
HAV-HLC-00001,HAV-HLC-0503-004,004
HAV-HLC-00001,HAV-HLC-0503-016,016
HAV-HLC-00001,HAV-HLC-0503-018,018
HAV-HLC-00001,HAV-HLC-0503-020,020
HAV-HLC-00002,HAV-HLC-0504-016,016
HAV-HLC-00002,HAV-HLC-0504-017,017
HAV-HLC-00002,HAV-HLC-0504-019,019
HAV-SLR-00003,HAV-SLR-0506-004,001
HAV-PMR-00010,HAV-PMR-0507-012,001
HK-SJL-00009,HK-SJL-0509-001,001
HK-SJL-00009,HK-SJL-0509-002,002
HK-SME-00003,HK-SME-0501-004,002
HK-SME-00004,HK-SME-0501-005,001
HK-SME-00004,HK-SME-0501-006,002
HK-SME-00005,HK-SME-0501-007,001
HK-SME-00008,HK-SME-0501-013,002
HK-ALF-00018,HK-ALF-0502-009,001
HK-SCF-00003,HK-SCF-0514-002,002
HK-SCF-00006,HK-SCF-0514-009,001
HK-SCF-00011,HK-SCF-0514-016,001
HK-SCF-00017,HK-SCF-0514-024,001
HK-SCF-00018,HK-SCF-0514-025,001
HK-BLS-00010,HK-BLS-0531-028,001
HK-BGT-00003,HK-BGT-0535-009,004
HK-BGT-00003,HK-BGT-0535-011,005
HK-BGT-00006,HK-BGT-0535-017,001
HK-SNL-00101,HK-SNL-0536-001,001
HK-SNL-00102,HK-SNL-0536-003,001
HK-SNL-00104,HK-SNL-0536-009,001
HK-SNL-00106,HK-SNL-0536-019,001
HK-SNL-00107,HK-SNL-0536-030,001
HK-SNL-00108,HK-SNL-0536-032,001
HK-SNL-00110,HK-SNL-0536-008,001
HK-KOA-00013,HK-KOA-0518-054,001
HK-KOA-00013,HK-KOA-0518-055,002
HK-KOA-00013,HK-KOA-0518-056,003
HK-HLD-00015,HK-HLD-0512-028,001
HK-KPL-00023,HK-KPL-0504-008,001
HK-TRN-00012,HK-TRN-0528-001,001
HK-ELB-00004,HK-ELB-0306-005,001
HK-ELB-00004,HK-ELB-0306-007,003
HK-ELB-00005,HK-ELB-0306-009,001
HK-ELB-00008,HK-ELB-0306-018,002
HK-PRK-00002,HK-PRK-0305-001,001
HK-PRK-00002,HK-PRK-0305-003,003
HK-PRK-00004,HK-PRK-0305-005,001
HK-KPL-00012,HK-KPL-0504-033,001
HK-KPL-00020,HK-KPL-0504-058,001
