FDP LOCATION,FDP DESCRIPTION,FDP INDEX
KT-KT-00848,KT-DFA-0500-014,001
KT-GDS-00005,KT-GDS-0520-012,001
DGD-DHN-00036,DGD-DHN-0503-002,001
DGD-WIP-00018,DGD-DHN-0504-003,001
KT-MLG-00004,KT-MLG-0527-008,001
MGM-MGM-00376,MGM-MGM-0502-001,001
BT-DRG-00118,BT-DRG-0502-015,001
BT-DRG-00119,BT-DRG-0502-016,001
KT-KCB-00006,KT-KCB-0513-010,001
KT-KCB-00002,KT-KCB-0513-001,001
DGD-GMD-00003,DGD-GMD-0507-003,001
BT-ARH-00033,BT-ARH-0512-001,001
BR-BR-00381,BR-DFA-0500-024,001
BR-MAK-00022,BR-MAK-0507-004,001
KT-RJM-00002,KT-RJM-0501-001,001
BR-SMR-00003,BR-SMR-0510-003,001
KT-RJM-00010,KT-RJM-0501-017,001
KT-TPJ-00133,KT-TPJ-0514-005,001
BR-MGL-00071,BR-MGL-0511-001,001
BT-SNW-00119,BT-SNW-0504-015,001
BR-HTM-00027,BR-HTM-0513-017,001
MGM-MGM-00366,MGM-DFA-0500-005,001
MGM-MGM-00367,MGM-DFA-0500-006,001
DGD-HES-00126,DGD-DGD-0502-002,001
MGM-MGM-00385,MGM-MGM-0502-012,001
DGD-GMD-00002,DGD-GMD-0507-001,001
KT-CNJ-00142,KT-CNJ-0526-004,001
KT-CNJ-00140,KT-CNJ-0526-002,001
KT-CNJ-00141,KT-CNJ-0526-003,001
BR-SMR-00007,BR-SMR-0510-021,001
KT-VGR-00007,KT-VGR-0528-0016,001
KT-VGR-00002,KT-VGR-0528-005,001
