FDP LOCATION,FDP DESCRIPTION,FDP INDEX
HC-HKJ-00017,HC-HKJ-0523-042,001
NAW-MOC-00015,NAW-MOC-0505-014,001
HC-SAM-00002,HC-SAM-0520-001,001
HC-SAM-00015,HC-SAM-0520-032,001
HC-SUL-00012,HC-SUL-0510-024,001
KX-CPT-00002,KX-CPT-0547-001,001
KX-CPT-00003,KX-CPT-0547-002,001
KX-CPT-00004,KX-CPT-0547-003,001
KX-CPT-00006,KX-CPT-0547-005,001
HC-WRM-00004,HC-WRM-0525-006,001
HC-OLA-00010,HC-OLA-0551-019,001
HC-SUL-00010,HC-SUL-0510-020,001
KOT-PRM-00012,KOT-PRM-0510-022,002
KOT-PRM-00023,KOT-PRM-0510-043,002
KX-BAJ-00048,KX-BAJ-0511-103,001
KX-DFA-00015,KX-DFA-0500-031,001
HC-KRY-00003,HC-KRY-0521-006,001
MDW-TMP-00004,MDW-TMP-0503-003,001
MDW-TMP-00013,MDW-TMP-0503-012,001
MDW-TMP-00021,MDW-TMP-0503-020,001
MDW-TMP-00025,MDW-TMP-0503-024,001
TAL-SHP-00025,TAL-SHP-0509-010,001
HC-KKJ-00004,HC-KKJ-0536-004,001
HC-KKJ-00008,HC-KKJ-0536-008,001
KX-DMD-00019,KX-DMD-0506-043,001
KOT-PRG-00002,KOT-PRG-0516-002,001
TAN-ORT-00005,TAN-ORT-0518-004,001
TAN-ORT-00010,TAN-ORT-0518-009,001
TAN-URH-00003,TAN-URH-0519-001,001
TAN-URH-00003,TAN-URH-0519-002,002
TAN-URH-00004,TAN-URH-0519-003,001
TAN-URH-00004,TAN-URH-0519-004,002
TAN-URH-00005,TAN-URH-0519-005,001
TAN-URH-00005,TAN-URH-0519-006,002
TAN-URH-00006,TAN-URH-0519-007,001
TAN-URH-00006,TAN-URH-0519-008,002
TAN-URH-00007,TAN-URH-0519-009,001
TAN-URH-00007,TAN-URH-0519-010,002
TAN-URH-00008,TAN-URH-0519-011,001
TAN-URH-00008,TAN-URH-0519-012,002
BAT-AKR-00048,BAT-AKR-0504-078,001
BAT-AKR-00049,BAT-AKR-0504-079,001
KX-BAJ-00043,KX-BAJ-0511-098,001
TAN-BTW-00033,TAN-BTW-0520-047,001
TAN-BTW-00035,TAN-BTW-0520-049,001
TAN-BTW-00037,TAN-BTW-0520-053,001
TAN-BTW-00045,TAN-BTW-0520-063,001
TAN-BTW-00050,TAN-BTW-0520-069,001
BAT-AKR-00029,BAT-AKR-0504-045,001
TAN-URH-00018,TAN-URH-0519-031,001
TAN-URH-00018,TAN-URH-0519-032,002
TAN-URH-00019,TAN-URH-0519-033,001
TAN-URH-00019,TAN-URH-0519-034,002
