FDP LOCATION,FDP DESCRIPTION,FDP INDEX
PKL-CTJ-00107,PKL-CTJ-0501-007,001
KY-RVD-00110,KY-RVD-0531-010,001
KY-RVD-00120,KY-RVD-0531-020,001
KY-MWM-00102,KY-MWM-0527-002,001
KY-MWM-00103,KY-MWM-0527-003,001
KY-MWM-00107,KY-MWM-0527-007,001
KY-KKJ-00106,KY-KKJ-0532-006,001
KY-KKJ-00110,KY-KKJ-0532-010,001
KY-KKJ-00113,KY-KKJ-0532-013,001
KY-KKJ-00118,KY-KKJ-0532-018,001
KY-DDW-00101,KY-DDW-0537-001,001
KY-DDW-00104,KY-DDW-0537-004,001
PKL-BGW-00102,PKL-BGW-0509-002,001
KY-PRG-00118,KY-PRG-0530-018,001
KY-DSJ-00114,KY-DSJ-0528-014,001
KY-KPH-00103,KY-KPH-0507-003,001
KY-KPH-00104,KY-KPH-0507-004,001
KY-HNT-00109,KY-HNT-0541-009,001
KY-KKC-00002,KY-KCC-0502-002,001
KY-GHS-00111,KY-GHS-0513-011,001
KY-GHS-00114,KY-GHS-0513-014,001
KY-SWD-00504,KY-SWD-0543-004,001
KY-LEW-00105,KY-LEW-0516-005,001
KY-LEW-00113,KY-LEW-0516-013,001
KY-LEW-00123,KY-LEW-0516-023,001
KY-LEW-00124,KY-LEW-0516-024,001
KY-HER-00513,KY-HER-0533-013,001
KY-HER-00521,KY-HER-0533-021,001
KY-HER-00524,KY-HER-0533-024,001
KS-HMG-00615,KS-HMG-0504-015,001
KY-ART-00119,KY-ART-0525-019,001
KS-GOH-00603,KS-GOH-0505-003,001
KS-GOH-00601,KS-GOH-0505-001,001
KS-IKR-00607,KS-IKR-0503-007,001
KY-GHS-00140,KY-GHS-0513-040,001
KY-GHS-00132,KY-GHS-0513-032,001
KY-GHS-00136,KY-GHS-0513-036,001
KY-PSK-00101,KY-PSK-0511-001,001
PKL-WPT-00216,PKL-WPT-0503-016,001
PKL-WPT-00217,PKL-WPT-0503-017,001
KY-AMJ-00106,KY-AMJ-0514-006,001
KY-AMJ-00110,KY-AMJ-0514-010,001
KY-AMJ-00117,KY-AMJ-0514-017,001
KY-AMJ-00118,KY-AMJ-0514-018,001
KY-TKR-00113,KY-TKR-0542-013,001
PKL-DFA-00101,PKL-DFA-0500-001,001
KY-AMP-00104,KY-AMP-0519-004,001
KY-AMP-00125,KY-AMP-0519-025,001
KY-GHS-00106,KY-GHS-0513-006,001
KY-GHS-00110,KY-GHS-0513-010,001
KY-GAR-00101,KY-GAR-0518-001,001
KY-GAR-00105,KY-GAR-0518-005,001
KY-DSJ-00103,KY-DSJ-0528-003,001
KY-DSJ-00108,KY-DSJ-0528-008,001
KS-JMV-00103,KS-JMV-0502-003,001
KS-JMV-00104,KS-JMV-0502-004,001
KY-RVD-00118,KY-RVD-0531-018,001
KY-GHS-00104,KY-GHS-0513-004,001
KY-WAJ-00101,KY-WAJ-0517-001,001
KY-WTP-00107,KY-WTP-0526-007,001
KY-BMC-00103,KY-BMC-0521-003,001
KY-BMC-00104,KY-BMC-0521-004,001
KY-CHC-00104,KY-CHC-0540-004,001
KY-CHC-00105,KY-CHC-0540-005,001
KY-BMC-00112,KY-BMC-0521-012,001
KY-RHH-00102,KY-RHH-0539-002,001
KY-WTR-00104,KY-WTR-0529-004,001
KY-KEH-00106,KY-KEH-0510-006,001
KY-WTP-00106,KY-WTP-0526-006,001
KY-WTP-00128,KY-WTP-0526-028,001
KY-TKR-00118,KY-TKR-0542-018,001
KY-KKJ-00114,KY-KKJ-0532-014,001
KY-GER-00101,KY-GES-0538-001,001
PKL-YPT-00003,PKL-YPT-0508-003,001
KY-GER-00106,KY-GES-0538-006,001
KY-SDM-00122,KY-SDM-0505-022,001
PKL-BGE-00111,PKL-BGE-0510-011,001
PKL-BGE-00117,PKL-BGE-0510-017,001
KY-ARY-00101,KY-ARY-0524-001,001
KY-DTM-00109,KY-DTM-0536-009,001
KY-DTM-00110,KY-DTM-0536-010,001
KY-DVR-00109,KY-DVR-0523-009,001
KY-GKJ-00106,KY-GKJ-0522-006,001
KY-ASG-00512,KY-ASG-0520-012,001
KY-GHS-00108,KY-GHS-0513-008,001
KY-PBV-00101,KY-PBV-0512-001,001
KY-PBV-00102,KY-PBV-0512-002,001
KY-KPH-00101,KY-KPH-0507-001,001
KY-KPH-00113,KY-KPH-0507-013,001
KY-TCK-00101,KY-TCK-0506-001,001
KY-TCK-00110,KY-TCK-0506-010,001
KY-TCK-00118,KY-TCK-0506-018,001
KY-SRM-00104,KY-SRM-0504-004,001
PKL-MW-00105,PKL-MW-0507-005,001
