FDP LOCATION,FDP DESCRIPTION,FDP INDEX
MD-BMI-00104,MD-BMI-0546-003,001
MD-MTH-00087,MD-MTH-0542-155,001
MD-BCR-00002,MD-BCR-0515-001,001
MD-BCR-00003,MD-BCR-0515-003,001
MD-BCR-00005,MD-BCR-0515-006,001
MD-BCR-00007,MD-BCR-0515-010,001
MD-BCR-00013,MD-BCR-0515-019,001
MD-BCR-00022,MD-BCR-0515-037,001
MD-BCR-00024,MD-BCR-0515-041,001
MD-BCR-00025,MD-BCR-0515-043,001
RAM-SRP-00082,RAM-SRP-0501-003,001
KI-NRJ-00002,KI-NRJ-0538-004,001
MD-WHP-00004,MD-WHP-0524-005,001
KI-KDY-00002,KI-KDY-0516-004,001
KI-KDY-00003,KI-KDY-0516-005,001
KI-TOJ-00150,KI-TOJ-0536-009,001
MD-DSJ-00016,MD-DSJ-0541-067,001
MD-DSJ-00019,MD-DSJ-0541-076,001
KI-BNG-00004,KI-BNG-0533-010,001
KI-BNG-00007,KI-BNG-0533-022,001
KI-BNG-00010,KI-BNG-0533-038,001
KI-BNG-00011,KI-BNG-0533-041,001
KI-BNG-00013,KI-BNG-0533-044,001
MD-DWP-00005,MD-DWP-0509-004,001
MD-DWP-00006,MD-DWP-0509-005,001
MD-DWP-00008,MD-DWP-0509-007,001
MD-DWP-00009,MD-DWP-0509-008,001
MD-DWP-00014,MD-DWP-0509-031,001
WE-WKP-00002,WE-WKP-0517-001,001
KI-GWR-00038,KI-GWR-0525-012,001
WE-WKP-00008,WE-WKP-0517-009,001
MD-MTH-00057,MD-MTH-0542-098,001
MD-MTH-00066,MD-MTH-0542-116,001
MD-MTH-00067,MD-MTH-0542-118,001
MD-DWP-00018,MD-DWP-0509-046,001
KI-GWR-00044,KI-GWR-0525-043,001
KI-SKT-00003,KI-SKT-0535-010,001
KI-SKT-00009,KI-SKT-0535-042,001
MD-MTH-00072,MD-MTH-0542-129,001
MD-MTH-00077,MD-MTH-0542-137,001
MD-MTH-00084,MD-MTH-0542-150,001
KDW-MKG-00004,KDW-MKG-0509-021,001
MD-WHP-00007,MD-WHP-0524-011,001
MD-WHP-00013,MD-WHP-0524-025,001
MD-CCK-00003,MD-CCK-0530-008,001
MD-CCK-00017,MD-CCK-0530-037,001
MD-WHP-00023,MD-WHP-0524-060,001
MD-CSR-00002,MD-CSR-0547-001,001
MD-CSR-00003,MD-CSR-0547-002,001
