FDP LOCATION,FDP DESCRIPTION,FDP INDEX
PK-PSC-00002,PK-PSC-0500-001,001
ND-SRR-00008,ND-SRR-0521-024,001
ND-WJR-00321,ND-WJR-0517-040,001
ND-WJR-00322,ND-WJR-0517-046,001
ND-WJR-00323,ND-WJR-0517-047,001
ND-SRM-00321,ND-SRM-0513-016,001
MHG-LMR-00301,MHG-LMR-0506-001,001
MHG-OKR-00307,MHG-OKR-0518-008,001
KAU-ASA-00002,KAU-ASA-0504-002,001
ND-SHP-00012,ND-SHP-0525-017,001
ND-BHM-00322,ND-BHM-0503-010,001
MHG-OKR-00318,MHG-OKR-0518-020,001
ND-NSM-00335,ND-NSM-0516-089,001
MHG-OKR-00314,MHG-OKR-0518-015,001
MHG-OKR-00315,MHG-OKR-0518-016,001
ND-KTM-00317,ND-KTM-0507-006,001
ND-KMT-00306,ND-KTM-0507-008,001
ND-KMT-00309,ND-KTM-0507-011,001
MHG-WKR-00013,MHG-WKR-0519-014,001
MHG-WKR-00015,MHG-WKR-0519-016,001
MHG-WKR-00018,MHG-WKR-0519-019,001
MHG-MHW-00321,MHG-MHW-0504-032,001
MHG-MHW-00322,MHG-MHW-0504-035,001
KAU-HOP-00003,KAU-HOP-0506-003,001
KAU-HOP-00007,KAU-HOP-0506-013,001
KAU-HOP-00008,KAU-HOP-0506-014,001
KAU-HOP-00010,KAU-HOP-0506-019,001
KAU-HOP-00011,KAU-HOP-0506-020,001
KAU-HOP-00015,KAU-HOP-0506-032,001
KAU-HOP-00016,KAU-HOP-0506-034,001
KIR-CVC-00301,KIR-CVC-0501-002,001
KIR-CVC-00302,KIR-CVC-0501-004,001
KIR-CVC-00303,KIR-CVC-0501-005,001
KIR-CVC-00304,KIR-CVC-0501-006,001
KIR-CVC-00305,KIR-CVC-0501-007,001
KIR-CVC-00306,KIR-CVC-0501-008,001
KIR-CVC-00307,KIR-CVC-0501-010,001
KIR-CVC-00316,KIR-CVC-0501-025,001
ND-EMT-00035,ND-EMT-0501-055,001
GNA-DKJ-00324,GNA-DKJ-0515-034,001
GNA-DKJ-00331,GNA-DKJ-0515-041,001
GNA-DKJ-00335,GNA-DKJ-0515-045,001
ND-PPJ-00318,ND-PPJ-0512-026,001
KIR-SSR-00005,KIR-SSR-0503-008,001
KIR-SSR-00006,KIR-SSR-0503-009,001
KIR-SSR-00007,KIR-SSR-0503-010,001
KIR-SSR-00008,KIR-SSR-0503-012,001
KIR-SSR-00009,KIR-SSR-0503-015,001
ND-BHM-00304,ND-BHM-0503-007,001
ND-SGM-00314,ND-SGM-0506-021,001
ND-SGM-00316,ND-SGM-0506-024,001
ND-NSM-00310,ND-NSM-0516-009,001
ND-NSM-00317,ND-NSM-0516-023,001
ND-KWJ-00004,ND-KWJ-0505-004,001
ND-KWJ-00008,ND-KWJ-0505-010,001
KIR-RGM-00309,KIR-RGM-0502-014,001
MHG-TPR-00331,MHG-TPR-0520-036,001
MHG-TPR-00334,MHG-TPR-0520-041,001
KIR-KPA-00310,KIR-KPA-0505-032,001
KIR-KPA-00316,KIR-KPA-0505-040,001
ND-KWJ-00023,ND-KWJ-0505-034,001
ND-KWJ-00031,ND-KWJ-0505-046,001
ND-KWJ-00033,ND-KWJ-0505-048,001
ND-BRN-00307,ND-BRN-0508-007,001
ND-BRN-00317,ND-BRN-0508-021,001
ND-BRN-00331,ND-BRN-0508-037,001
MHG-DWR-00308,MHG-DWR-0507-012,001
MHG-DWR-00309,MHG-DWR-0507-013,001
ND-TPZ-00001,ND-TPZ-0533-001,001
ND-SHP-00020,ND-SHP-0525-00030,001
ND-SHP-00023,ND-SHP-0525-035,001
ND-MHR-00314,ND-MHR-0522-035,001
ND-MHR-00316,ND-MHR-0522-037,001
MHG-PMJ-00041,MHG-PMJ-0521-012,001
MHG-PMJ-00046,MHG-PMJ-0521-018,001
ND-ND-00020,ND-DFA-0500-020,001
ND-ND-00031,ND-DFA-0500-056,001
ND-ND-00026,ND-DFA-0500-048,001
ND-ND-00028,ND-DFA-0500-051,001
ND-ND-00029,ND-DFA-0500-059,001
ND-ND-00043,ND-DFA-0500-031,001
ND-ND-00044,ND-DFA-0500-032,001
ND-ND-00019,ND-DFA-0500-021,001
KAU-SVR-00007,KAU-SVR-0508-009,001
KAU-DSR-00008,KAU-DSR-0507-014,001
KAU-DSR-00014,KAU-DSR-0507-031,001
KAU-DSR-00021,KAU-DSR-0507-044,001
KAU-JYM-00005,KAU-JYM-0505-005,001
KAU-JYM-00016,KAU-JYM-0505-024,001
KAU-JYM-00018,KAU-JYM-0505-027,001
KAU-JYM-00022,KAU-JYM-0505-040,001
ND-WDA-00006,ND-WDA-0510-007,001
ND-WDA-00010,ND-WDA-0510-012,001
ND-FLL-00029,ND-FLL-0514-042,001
ND-PPM-00007,ND-PPM-0511-012,001
GNA-PSM-00305,GNA-PSM-0503-009,001
KIR-DFA-00004,KIR-DFA-0500-004,001
ND-EMT-00010,ND-EMT-0501-014,001
ND-SRM-00307,ND-SRM-0513-024,001
KAU-ANR-00021,KAU-ANR-0511-042,001
MHG-FSL-00118,MHG-FSL-0522-027,001
KAU-ANR-00004,KAU-ANR-0511-008,001
MHG-FSL-00124,MHG-FSL-0522-038,001
ND-NSM-00302,ND-NSM-0516-034,001
ND-NSM-00306,ND-NSM-0516-040,001
ND-NSM-00308,ND-NSM-0516-042,001
ND-SDR-00111,ND-SDR-0509-019,001
ND-SDR-00116,ND-SDR-0509-029,001
KIR-CVC-00330,KIR-CVC-0501-070,001
KIR-CVC-00331,KIR-CVC-0501-071,001
KIR-CVC-00332,KIR-CVC-0501-072,001
KAU-KDR-00006,KAU-KDR-0512-014,001
ND-EKW-00303,ND-EKW-0528-003,001
ND-EKW-00304,ND-EKW-0528-004,001
ND-EKW-00316,ND-EKW-0528-018,001
ND-EKW-00330,ND-EKW-0528-040,001
ND-ANB-00327,ND-ANB-0532-062,001
ND-SRR-00021,ND-SRR-0521-018,001
ND-SRR-00022,ND-SRR-0521-019,001
ND-SRR-00023,ND-SRR-0521-021,001
ND-SRR-00026,ND-SRR-0521-046,001
MHG-MOR-00001,MHG-MOR-0523-001,001
MHG-MOR-00002,MHG-MOR-0523-002,001
MHG-MOR-00003,MHG-MOR-0523-003,001
MHG-MOR-00004,MHG-MOR-0523-004,001
MHG-MOR-00005,MHG-MOR-0523-006,001
MHG-MOR-00006,MHG-MOR-0523-007,001
MHG-MOR-00007,MHG-MOR-0523-009,001
MHG-MOR-00008,MHG-MOR-0523-010,001
MHG-MOR-00009,MHG-MOR-0523-011,001
MHG-MOR-00010,MHG-MOR-0523-012,001
MHG-MOR-00011,MHG-MOR-0523-013,001
MHG-MOR-00012,MHG-MOR-0523-014,001
MHG-MOR-00013,MHG-MOR-0523-015,001
MHG-MOR-00014,MHG-MOR-0523-016,001
MHG-MOR-00015,MHG-MOR-0523-017,001
MHG-MOR-00016,MHG-MOR-0523-021,001
MHG-MOR-00017,MHG-MOR-0523-022,001
MHG-MOR-00018,MHG-MOR-0523-023,001
MHG-MOR-00019,MHG-MOR-0523-025,001
ND-IPM-00017,ND-IPM-0530-014,001
ND-IPM-00019,ND-IPM-0530-016,001
ND-IPM-00021,ND-IPM-0530-022,001
ND-IPM-00022,ND-IPM-0530-027,001
ND-IPM-00028,ND-IPM-0530-038,001
ND-IPM-00033,ND-IPM-0530-053,001
ND-EMT-00026,ND-EMT-0501-055,001
ND-EMT-00027,ND-EMT-0501-056,001
KIR-KLM-00303,KIR-KLM-0506-011,001
KIR-KLM-00313,KIR-KLM-0506-034,001
KIR-KLM-00316,KIR-KLM-0506-046,001
KIR-KLM-00322,KIR-KLM-0506-063,001
ND-MHJ-00307,ND-MHJ-0523-012,001
ND-IPM-00008,ND-IPM-0530-026,001
KAU-AWA-00003,KAU-AWA-0503-003,001
KAU-AWA-00007,KAU-AWA-0503-010,001
KAU-AWA-00008,KAU-AWA-0503-017,001
KAU-SNR-00010,KAU-SNR-0509-010,001
KAU-HOS-00010,KAU-HOS-0502-010,001
KAU-HOS-00011,KAU-HOS-0502-011,001
KAU-HOS-00026,KAU-HOS-0502-026,001
KAU-HOS-00027,KAU-HOS-0502-027,001
KAU-HOS-00038,KAU-HOS-0502-038,001
KAU-HOS-00037,KAU-HOS-0502-037,001
KAU-HOS-00041,KAU-HOS-0502-041,001
KAU-HOS-00043,KAU-HOS-0502-043,001
KAU-SNR-00028,KAU-SNR-0509-028,001
KAU-SNR-00029,KAU-SNR-0509-029,001
KAU-SNR-00031,KAU-SNR-0509-031,001
ND-DFA-00016,ND-DFA-0500-016,001
ND-DFA-00027,ND-DFA-0500-027,001
ND-DFA-00028,ND-DFA-0500-028,001
ND-DFA-00030,ND-DFA-0500-030,001
ND-DFA-00066,ND-DFA-0500-066,001
KAU-HOS-00003,KAU-HOS-0502-003,001
KIR-DFA-00014,KIR-DFA-0500-009,001
ND-SMW-00015,ND-SMW-0518-018,001
MHG-PKJ-00301,MHG-PKJ-0501-001,001
KAU-KDR-00008,KAU-KDR-0512-017,001
KAU-ASM-00002,KAU-ASM-0501-002,001
KAU-ASM-00004,KAU-ASM-0501-004,001
KAU-ASM-00017,KAU-ASM-0501-017,001
KIR-CVC-00322,KIR-CVC-0501-011,001
MHG-MKJ-00014,MHG-MKJ-0505-020,001
MHG-MKJ-00015,MHG-MKJ-0505-022,001
MHG-MKJ-00016,MHG-MKJ-0505-023,001
ND-JWP-00024,ND-JWP-0526-044,001
MHG-AMW-00302,MHG-AMW-0517-005,001
