FDP LOCATION,FDP DESCRIPTION,FDP INDEX
MV-KAJ-00042,MV-KAJ-0528-042,001
MV-WLM-00073,MV-WLM-0506-073,001
MF-BDM-00028,MF-BDM-0508-028,001
MF-BDM-00030,MF-BDM-0508-030,001
MV-BGV-00029,MV-BGV-0504-029,001
MV-BGV-00035,MV-BGV-0504-035,001
MV-BKR-00016,MV-BKR-0537-016,001
MV-BKR-00061,MV-BKR-0537-061,001
MV-KDT-00057,MV-KDT-0531-057,001
MV-KDT-00071,MV-KDT-0531-071,001
MV-PPR-00231,MV-PPR-0512-031,001
RM-DFA-00008,RM-DFA-0500-008,001
RM-RSR-00103,RM-RSR-0515-003,001
MV-PPY-00021,MV-PPY-0513-021,001
MV-PPY-00027,MV-PPY-0513-027,001
MF-SCA-00003,MF-SCA-0514-003,001
MV-SWJ-00058,MV-SWJ-0519-058,001
MV-PKM-00001,MV-PKM-0536-001,001
MV-PKM-00016,MV-PKM-0536-016,001
MV-KPD-00003,MV-KPD-0532-003,001
EGD-HDM-00023,EGD-HDM-0501-023,001
EGD-HDM-00033,EGD-HDM-0501-033,001
EGD-HDM-00040,EGD-HDM-0501-040,001
RM-PRM-00018,RM-PRM-0513-018,001
MV-SRT-00534,FDP-IN,001
MV-SRT-00539,FDP-IN,001
MV-SRT-00539,MV-SRT-0560-039,001
MF-CSR-00018,FDP-IN,001
MV-CHK-00042,MV-CHK-0544-042,001
MF-DFA-00007,MF-DFA-0500-007,001
MF-DFA-00018,MF-DFA-0500-018,001
MV-KKW-00073,MV-KKW-0539-073,001
MV-BTR-00035,MV-BTR-0511-004,002
MV-CHK-00010,MV-CHK-0544-002,001
MV-CHK-00025,MV-CHK-0544-002,001
MV-CHK-00002,MV-CHK-0544-002,001
MV-CHK-00007,MV-CHK-0544-002,001
MV-AAV-00024,MV-AAV-0522-024,001
MV-HOR-00044,MV-HOR-0563-044,001
MF-DMR-00033,MF-DMR-0503-033,001
RM-DSR-00206,RM-DSR-0507-006,001
RM-DSR-00209,RM-DSR-0507-009,001
MV-SWJ-0519-084,MV-SWJ-0519-004,001
MV-DPR-00144,MV-DPR-0555-044,001
EGD-GRM-00025,EGD-GRM-0502-025,001
MV-MHM-00049,MV-MHM-0554-049,001
MV-DPR-00012,MV-DPR-0555-012,001
MV-DPR-00040,MV-DPR-0555-040,001
MV-MRC-00004,MV-MRC-0564-004,001
MV-MRC-00008,MV-MRC-0564-008,001
MV-MRC-00010,MV-MRC-0564-010,001
MV-MRC-00014,MV-MRC-0564-014,001
MV-MRC-00015,MV-MRC-0564-015,001
MV-MRC-00018,MV-MRC-0564-018,001
MV-MRC-00022,MV-MRC-0564-022,001
MV-MRC-00023,MV-MRC-0564-023,001
MV-AUB-00024,MV-AUB-0553-024,001
MV-KDR-00026,MV-KDR-0517-026,001
MV-FLR-00003,MV-FLR-0565-003,001
MV-GGD-00021,MV-GGD-540-021,001
MV-GGD-00004,MV-GGD-540-004,001
MV-GGD-00011,MV-GGD-540-011,001
MV-GGD-00015,MV-GGD-540-015,001
MF-TTC-00002,MF-TTC-0501-002,001
MF-TTC-00003,MF-TTC-0501-003,001
MF-TTC-00001,MF-TTC-0501-001,001
MF-TTC-00007,MF-TTC-0501-007,001
MF-TTC-00008,MF-TTC-0501-008,001
MV-CSR-00009,MV-CSR-0529-009,001
MV-CSR-00015,MV-CSR-0529-015,001
MV-CSR-00017,MV-CSR-0529-017,001
MV-KBV-00004,MV-KBV-0505-004,001
MV-KBV-00036,MV-KBV-0505-036,001
MV-HSJ-00013,MV-HSJ-0509-013,001
MF-BDM-00002,MF-BDM-0508-002,001
MV-PKR-00040,MV-PKR-0518-040,001
MV-WWT-00073,MV-WWT-0551-073,001
MV-FZR-00038,MV-FZR-0549-038,001
MV-FZR-00039,MV-FZR-0549-039,001
MV-FZR-00050,MV-FZR-0549-050,001
MV-STR-00105,MV-STR-0552-019,001
MV-STR-00102,MV-STR-0552-016,001
MV-PTS-00013,MV-PTS-0550-013,001
MV-PTS-00016,MV-PTS-0550-016,001
MV-SVR-00026,MV-SVR-0503-026,001
MV-HOR-00006,MV-HOR-0563-006,001
MV-UNM-00004,MV-UNM-0535-004,001
MF-POW-00053,MF-POW-0504-053,001
MF-POW-00055,MF-POW-0504-055,001
MF-POW-00049,MF-POW-0504-049,001
MF-POW-00051,MF-POW-0504-051,001
MF-POW-00057,MF-POW-0504-057,001
MF-POW-00059,MF-POW-0504-059,001
MF-POW-00060,MF-POW-0504-060,001
MF-POW-00063,MF-POW-0504-063,001
MF-POW-00064,MF-POW-0504-064,001
MF-POW-00065,MF-POW-0504-065,001
MF-POW-00066,MF-POW-0504-066,001
MF-POW-00072,MF-POW-0504-072,001
MF-POW-00074,MF-POW-0504-074,001
MF-POW-00075,MF-POW-0504-075,001
MF-POW-00079,MF-POW-0504-079,001
MF-POW-00005,MF-POW-0504-005,001
MF-POW-00003,MF-POW-0504-003,001
MF-POW-00009,MF-POW-0504-009,001
MF-POW-00015,MF-POW-0504-015,001
MF-POW-00081,MF-POW-0504-081,001
MF-POW-00083,MF-POW-0504-083,001
MF-POW-00085,MF-POW-0504-085,001
MF-POW-00089,MF-POW-0504-089,001
MF-POW-00099,MF-POW-0504-099,001
MF-POW-00101,MF-POW-0504-101,001
MF-POW-00032,MF-POW-0504-032,001
MF-POW-00036,MF-POW-0504-036,001
MF-POW-00046,MF-POW-0504-046,001
MV-CRD-00050,MV-CRD-0562-050,001
