FDP LOCATION,FDP DESCRIPTION,FDP INDEX
JL-NFS-00020,JL-NFS-0533-035,001
JL-NFS-00021,JL-NFS-0533-039,001
JL-ONR-00006,JL-ONR-0512-009,001
JL-ONR-00008,JL-ONR-0512-014,001
JL-ONR-00009,JL-ONR-0512-017,001
JL-ONR-00016,JL-ONR-0512-037,001
JL-RUK-00002,JL-RUK-0507-001,001
JL-RUK-00003,JL-RUK-0507-004,001
JL-RUK-00004,JL-RUK-0507-005,001
JL-RUK-00013,JL-RUK-0507-026,001
JL-RUK-00021,JL-RUK-0507-035,001
JL-TDL-00194,JL-TDL-0506-053,001
JL-TDL-00196,JL-TDL-0506-071,001
JL-ODR-00039,JL-ODR-0532-021,001
JL-ODR-00040,JL-ODR-0532-025,001
JL-UDM-00113,JL-UDM-0501-039,001
JL-UDM-00117,JL-UDM-0501-051,001
JL-PMJ-00002,JL-PMJ-0513-008,001
JL-PMJ-00006,JL-PMJ-0513-016,001
JL-PMJ-00012,JL-PMJ-0513-029,001
JL-ODR-00032,JL-ODR-0532-006,001
JL-XVR-00010,JL-XVR-0516-014,001
JL-KWR-00003,JL-KWR-0520-004,001
JL-KWR-00005,JL-KWR-0520-006,001
JL-KWR-00008,JL-KWR-0520-014,001
JL-PLJ-00002,JL-PLJ-0510-002,001
JL-NCR-00013,JL-NCR-0531-039,001
JL-KER-00003,JL-KER-0517-004,001
JL-STR-00002,JL-STR-0518-001,001
JL-STR-00005,JL-STR-0518-007,001
JL-STR-00006,JL-STR-0518-008,001
JL-STR-00007,JL-STR-0518-009,001
JL-STR-00020,JL-STR-0518-036,001
JL-STR-00023,JL-STR-0518-042,001
JL-KER-00008,JL-KER-0517-017,001
JL-KER-00009,JL-KER-0517-019,001
JL-KER-00010,JL-KER-0517-021,001
JL-LBS-00002,JL-LBS-0502-001,001
JL-MNR-00006,JL-MNR-0503-012,001
JL-GLP-00004,JL-GLP-0504-003,001
JL-GLP-00007,JL-GLP-0504-013,001
JL-GLP-00009,JL-GLP-0504-016,001
JL-SMW-00008,JL-SMW-0530-017,001
JL-SMW-00012,JL-SMW-0530-025,001
JL-ARG-00008,JL-ARG-0508-014,001
JL-KDJ-00005,JL-KDJ-0523-008,001
JL-KDJ-00007,JL-KDJ-0523-012,001
JL-KDJ-00013,JL-KDJ-0523-020,001
JL-KDJ-00019,JL-KDJ-0523-032,001
JL-KDJ-00020,JL-KDJ-0523-036,001
JL-KDJ-00024,JL-KDJ-0523-054,001
JL-PNT-00007,JL-PNT-0524-018,001
JL-PNT-00009,JL-PNT-0524-021,001
JL-GNP-00003,JL-GNP-0519-003,001
JL-GNP-00004,JL-GNP-0519-004,001
JL-GNP-00005,JL-GNP-0519-007,001
JL-MNW-00004,JL-MNW-0505-005,001
JL-MNW-00006,JL-MNW-0505-010,001
JL-MNW-00010,JL-MNW-0505-018,001
JL-MNW-00012,JL-MNW-0505-029,001
JL-WNM-00008,JL-WNM-0509-010,001
JL-WNM-00009,JL-WNM-0509-012,001
JL-WNM-00010,JL-WNM-0509-013,001
JL-ONR-00021,JL-ONR-0512-001,001
JL-BPT-00023,JL-BPT-0511-003,001
RG-NWJ-00011,RG-NWJ-0513-028,001
RG-NWJ-00020,RG-NWJ-0513-043,001
RG-PPR-00003,RG-PPR-0502-007,001
RG-PPR-00005,RG-PPR-0502-012,001
RG-BSK-00002,RG-BSK-0509-001,001
RG-BSK-00004,RG-BSK-0509-004,001
RG-BSK-00005,RG-BSK-0509-009,001
RG-BSK-00008,RG-BSK-0509-014,001
RG-BSK-00011,RG-BSK-0509-021,001
RG-BSK-00013,RG-BSK-0509-025,001
RG-HKD-00006,RG-HKD-0501-008,001
RG-HKD-00008,RG-HKD-0501-014,001
RG-HKD-00010,RG-HKD-0501-018,001
RG-ANH-00004,RG-ANH-0506-012,001
RG-ANH-00008,RG-ANH-0506-033,001
RG-SWM-00003,RG-SWM-0503-006,001
RG-SWM-00004,RG-SWM-0503-009,001
RG-KUR-00502,RG-KUR-0563-002,001
RG-NWG-00539,RG-NWG-0552-039,001
RG-ANK-00513,RG-ANK-0553-013,001
RG-NWV-00518,RG-NWV-0554-018,001
RG-WST-00005,RG-WST-0514-030,001
RG-WST-00011,RG-WST-0514-044,001
RG-WST-00019,RG-WST-0514-073,001
RG-DLP-00104,RG-DLP-0504-008,001
RG-DLP-00107,RG-DLP-0504-012,001
RG-DLP-00111,RG-DLP-0504-023,001
